step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.7913,10.7906,1.30e+13,1.32e+13,1310720
40,10.7903,10.7901,2.59e+13,2.65e+13,2621440
60,10.7905,10.7905,3.89e+13,3.97e+13,3932160
80,10.7907,10.7911,5.19e+13,5.30e+13,5242880
100,10.7929,10.7916,6.49e+13,6.62e+13,6553600
120,10.7920,10.7920,7.78e+13,7.95e+13,7864320
140,10.7919,10.7924,9.08e+13,9.27e+13,9175040
160,10.7938,10.7928,1.04e+14,1.06e+14,10485760
180,10.7938,10.7931,1.17e+14,1.19e+14,11796480
200,10.7925,10.7934,1.30e+14,1.32e+14,13107200
220,10.7942,10.7937,1.43e+14,1.46e+14,14417920
240,10.7943,10.7940,1.56e+14,1.59e+14,15728640
260,10.7938,10.7942,1.69e+14,1.72e+14,17039360
280,10.7937,10.7943,1.82e+14,1.85e+14,18350080
300,10.7954,10.7944,1.95e+14,1.99e+14,19660800
320,10.7947,10.7945,2.08e+14,2.12e+14,20971520
340,10.7947,10.7946,2.21e+14,2.25e+14,22282240
360,10.7951,10.7946,2.34e+14,2.38e+14,23592960
380,10.7948,10.7947,2.47e+14,2.52e+14,24903680
