step,training_loss,validation_loss,total_flops_profiler
0,10.8045,10.8048,0.00e+00
0,10.8055,10.8048,0.00e+00
0,10.8046,10.8048,0.00e+00
50,8.7295,8.7141,7.97e+12
50,8.7295,8.7141,7.97e+12
50,8.7084,8.7141,7.97e+12
50,8.7220,8.7141,7.97e+12
50,8.7143,8.7141,7.97e+12
100,7.3068,7.3085,1.59e+13
100,7.3068,7.3085,1.59e+13
100,7.2985,7.3085,1.59e+13
100,7.3039,7.3085,1.59e+13
100,7.3261,7.3085,1.59e+13
150,6.8613,6.8292,2.39e+13
150,6.8613,6.8292,2.39e+13
150,6.8406,6.8292,2.39e+13
150,6.8343,6.8292,2.39e+13
150,6.8031,6.8292,2.39e+13
200,6.5578,6.5554,3.19e+13
200,6.5578,6.5554,3.19e+13
200,6.5767,6.5554,3.19e+13
200,6.5313,6.5554,3.19e+13
200,6.5459,6.5554,3.19e+13
250,6.2774,6.3316,3.98e+13
250,6.2774,6.3316,3.98e+13
250,6.3125,6.3316,3.98e+13
250,6.2739,6.3316,3.98e+13
250,6.3087,6.3316,3.98e+13
300,6.1344,6.1548,4.78e+13
300,6.1344,6.1548,4.78e+13
300,6.1746,6.1548,4.78e+13
300,6.1434,6.1548,4.78e+13
300,6.1405,6.1548,4.78e+13
350,6.0052,6.0476,5.58e+13
350,6.0052,6.0476,5.58e+13
350,5.9929,6.0476,5.58e+13
350,5.9983,6.0476,5.58e+13
350,5.9559,6.0476,5.58e+13
400,5.9565,5.9614,6.37e+13
400,5.9565,5.9614,6.37e+13
400,5.8896,5.9614,6.37e+13
400,5.8631,5.9614,6.37e+13
400,5.9233,5.9614,6.37e+13
450,5.8658,5.8862,7.17e+13
450,5.8658,5.8862,7.17e+13
450,5.8860,5.8862,7.17e+13
450,5.8736,5.8862,7.17e+13
450,5.8864,5.8862,7.17e+13
500,5.7950,5.8457,7.97e+13
500,5.7950,5.8457,7.97e+13
500,5.8035,5.8457,7.97e+13
500,5.7632,5.8457,7.97e+13
500,5.8126,5.8457,7.97e+13
550,5.7526,5.8107,8.76e+13
550,5.7526,5.8107,8.76e+13
550,5.7697,5.8107,8.76e+13
550,5.7805,5.8107,8.76e+13
550,5.7934,5.8107,8.76e+13
600,5.7761,5.7800,9.56e+13
600,5.7761,5.7800,9.56e+13
600,5.7210,5.7800,9.56e+13
600,5.7296,5.7800,9.56e+13
600,5.7364,5.7800,9.56e+13
650,5.7068,5.7668,1.04e+14
650,5.7068,5.7668,1.04e+14
650,5.7080,5.7668,1.04e+14
650,5.7021,5.7668,1.04e+14
650,5.7026,5.7668,1.04e+14
700,5.7032,5.7575,1.12e+14
700,5.7032,5.7575,1.12e+14
700,5.6939,5.7575,1.12e+14
700,5.7051,5.7575,1.12e+14
700,5.7105,5.7575,1.12e+14
750,5.6838,5.7492,1.19e+14
750,5.6838,5.7492,1.19e+14
750,5.6827,5.7492,1.19e+14
750,5.6825,5.7492,1.19e+14
750,5.6846,5.7492,1.19e+14
