step,training_loss,validation_loss,total_flops_profiler
0,10.7344,10.7398,0.00e+00
0,10.7307,10.7398,0.00e+00
0,10.7383,10.7398,0.00e+00
0,10.7374,10.7398,0.00e+00
0,10.7371,10.7398,0.00e+00
0,10.7335,10.7398,0.00e+00
0,10.7324,10.7398,0.00e+00
0,10.7387,10.7398,0.00e+00
0,10.7393,10.7398,0.00e+00
0,10.7349,10.7398,0.00e+00
0,10.7378,10.7398,0.00e+00
0,10.7285,10.7398,0.00e+00
0,10.7434,10.7398,0.00e+00
0,10.7429,10.7398,0.00e+00
0,10.7481,10.7398,0.00e+00
50,7.4079,7.4887,9.84e+12
50,7.4079,7.4887,9.84e+12
50,7.4075,7.4887,9.84e+12
50,7.5161,7.4887,9.84e+12
50,7.5212,7.4887,9.84e+12
50,7.5973,7.4887,9.84e+12
50,7.5341,7.4887,9.84e+12
50,7.4360,7.4887,9.84e+12
50,7.4092,7.4887,9.84e+12
50,7.4944,7.4887,9.84e+12
50,7.4110,7.4887,9.84e+12
50,7.5503,7.4887,9.84e+12
50,7.5770,7.4887,9.84e+12
50,7.4887,7.4887,9.84e+12
50,7.4324,7.4887,9.84e+12
50,7.6467,7.4887,9.84e+12
50,7.4321,7.4887,9.84e+12
100,7.2297,7.2055,1.97e+13
100,7.2297,7.2055,1.97e+13
100,7.1922,7.2055,1.97e+13
100,7.2961,7.2055,1.97e+13
100,7.1860,7.2055,1.97e+13
100,7.1990,7.2055,1.97e+13
100,7.2261,7.2055,1.97e+13
100,7.2080,7.2055,1.97e+13
100,7.2648,7.2055,1.97e+13
100,7.0689,7.2055,1.97e+13
100,7.1868,7.2055,1.97e+13
100,7.1173,7.2055,1.97e+13
100,7.2406,7.2055,1.97e+13
100,7.1585,7.2055,1.97e+13
100,7.1719,7.2055,1.97e+13
100,7.1059,7.2055,1.97e+13
100,7.2756,7.2055,1.97e+13
150,6.9011,6.8347,2.95e+13
150,6.9011,6.8347,2.95e+13
150,6.7571,6.8347,2.95e+13
150,6.8139,6.8347,2.95e+13
150,6.9325,6.8347,2.95e+13
150,6.7610,6.8347,2.95e+13
150,6.6945,6.8347,2.95e+13
150,6.9344,6.8347,2.95e+13
150,6.8050,6.8347,2.95e+13
150,6.7506,6.8347,2.95e+13
150,6.8881,6.8347,2.95e+13
150,6.8639,6.8347,2.95e+13
150,6.7370,6.8347,2.95e+13
150,6.8750,6.8347,2.95e+13
150,6.7725,6.8347,2.95e+13
150,6.8047,6.8347,2.95e+13
150,6.7397,6.8347,2.95e+13
200,6.6430,6.5839,3.94e+13
200,6.6430,6.5839,3.94e+13
200,6.4870,6.5839,3.94e+13
200,6.5742,6.5839,3.94e+13
200,6.7254,6.5839,3.94e+13
200,6.6026,6.5839,3.94e+13
200,6.6786,6.5839,3.94e+13
200,6.5773,6.5839,3.94e+13
200,6.6320,6.5839,3.94e+13
200,6.6613,6.5839,3.94e+13
200,6.6234,6.5839,3.94e+13
200,6.6886,6.5839,3.94e+13
200,6.5649,6.5839,3.94e+13
200,6.5118,6.5839,3.94e+13
200,6.6987,6.5839,3.94e+13
200,6.6913,6.5839,3.94e+13
200,6.6116,6.5839,3.94e+13
250,6.3605,6.3443,4.92e+13
250,6.3605,6.3443,4.92e+13
250,6.4227,6.3443,4.92e+13
250,6.2327,6.3443,4.92e+13
250,6.3787,6.3443,4.92e+13
250,6.2188,6.3443,4.92e+13
250,6.4802,6.3443,4.92e+13
250,6.3287,6.3443,4.92e+13
250,6.1716,6.3443,4.92e+13
250,6.3601,6.3443,4.92e+13
250,6.3375,6.3443,4.92e+13
250,6.3382,6.3443,4.92e+13
250,6.4050,6.3443,4.92e+13
250,6.4078,6.3443,4.92e+13
250,6.3534,6.3443,4.92e+13
250,6.3366,6.3443,4.92e+13
250,6.2815,6.3443,4.92e+13
300,5.8335,6.1138,5.90e+13
300,5.8335,6.1138,5.90e+13
300,6.1339,6.1138,5.90e+13
300,6.0888,6.1138,5.90e+13
300,6.0841,6.1138,5.90e+13
300,6.0642,6.1138,5.90e+13
300,6.1160,6.1138,5.90e+13
300,6.0626,6.1138,5.90e+13
300,6.2706,6.1138,5.90e+13
300,6.1491,6.1138,5.90e+13
300,5.9742,6.1138,5.90e+13
300,6.0944,6.1138,5.90e+13
300,6.2062,6.1138,5.90e+13
300,6.1841,6.1138,5.90e+13
300,5.9724,6.1138,5.90e+13
300,6.0126,6.1138,5.90e+13
300,5.9425,6.1138,5.90e+13
350,6.1326,5.9127,6.89e+13
350,6.1326,5.9127,6.89e+13
350,5.8275,5.9127,6.89e+13
350,5.9508,5.9127,6.89e+13
350,6.0429,5.9127,6.89e+13
350,6.0162,5.9127,6.89e+13
350,6.0371,5.9127,6.89e+13
