step,training_loss,validation_loss,total_flops_profiler
0,10.8118,10.8117,0.00e+00
0,10.8126,10.8117,0.00e+00
0,10.8099,10.8117,0.00e+00
0,10.8120,10.8117,0.00e+00
0,10.8129,10.8117,0.00e+00
0,10.8127,10.8117,0.00e+00
0,10.8117,10.8117,0.00e+00
0,10.8117,10.8117,0.00e+00
0,10.8093,10.8117,0.00e+00
0,10.8105,10.8117,0.00e+00
0,10.8134,10.8117,0.00e+00
0,10.8128,10.8117,0.00e+00
0,10.8124,10.8117,0.00e+00
0,10.8121,10.8117,0.00e+00
0,10.8119,10.8117,0.00e+00
50,8.9819,8.9456,1.51e+12
50,8.9819,8.9456,1.51e+12
50,8.9225,8.9456,1.51e+12
50,8.9964,8.9456,1.51e+12
50,8.9196,8.9456,1.51e+12
50,8.9908,8.9456,1.51e+12
50,8.9515,8.9456,1.51e+12
50,8.9290,8.9456,1.51e+12
50,8.9213,8.9456,1.51e+12
50,8.9658,8.9456,1.51e+12
50,8.9442,8.9456,1.51e+12
50,8.9368,8.9456,1.51e+12
50,8.9616,8.9456,1.51e+12
50,8.8926,8.9456,1.51e+12
50,8.9382,8.9456,1.51e+12
50,8.9615,8.9456,1.51e+12
50,8.9767,8.9456,1.51e+12
100,7.7178,7.7339,3.02e+12
100,7.7178,7.7339,3.02e+12
100,7.7486,7.7339,3.02e+12
100,7.6811,7.7339,3.02e+12
100,7.7908,7.7339,3.02e+12
100,7.7987,7.7339,3.02e+12
100,7.7506,7.7339,3.02e+12
100,7.7257,7.7339,3.02e+12
100,7.7524,7.7339,3.02e+12
100,7.7298,7.7339,3.02e+12
100,7.6971,7.7339,3.02e+12
100,7.7612,7.7339,3.02e+12
100,7.7353,7.7339,3.02e+12
100,7.7868,7.7339,3.02e+12
100,7.7458,7.7339,3.02e+12
100,7.7486,7.7339,3.02e+12
100,7.7911,7.7339,3.02e+12
150,7.2342,7.2418,4.52e+12
150,7.2342,7.2418,4.52e+12
150,7.2952,7.2418,4.52e+12
150,7.3016,7.2418,4.52e+12
150,7.2482,7.2418,4.52e+12
150,7.3017,7.2418,4.52e+12
150,7.2298,7.2418,4.52e+12
150,7.2992,7.2418,4.52e+12
150,7.1543,7.2418,4.52e+12
150,7.2820,7.2418,4.52e+12
150,7.2469,7.2418,4.52e+12
150,7.2628,7.2418,4.52e+12
150,7.2964,7.2418,4.52e+12
150,7.2504,7.2418,4.52e+12
150,7.2370,7.2418,4.52e+12
150,7.2262,7.2418,4.52e+12
150,7.2742,7.2418,4.52e+12
200,6.9433,6.9437,6.03e+12
200,6.9433,6.9437,6.03e+12
200,6.9685,6.9437,6.03e+12
200,6.9182,6.9437,6.03e+12
200,6.9272,6.9437,6.03e+12
200,7.0130,6.9437,6.03e+12
200,6.9071,6.9437,6.03e+12
200,6.8841,6.9437,6.03e+12
200,6.8923,6.9437,6.03e+12
200,7.0200,6.9437,6.03e+12
200,6.9002,6.9437,6.03e+12
200,6.9407,6.9437,6.03e+12
200,6.9495,6.9437,6.03e+12
200,6.9059,6.9437,6.03e+12
200,6.8843,6.9437,6.03e+12
200,7.0121,6.9437,6.03e+12
200,6.9078,6.9437,6.03e+12
250,6.7021,6.6513,7.54e+12
250,6.7021,6.6513,7.54e+12
250,6.7493,6.6513,7.54e+12
250,6.5962,6.6513,7.54e+12
250,6.6646,6.6513,7.54e+12
250,6.7322,6.6513,7.54e+12
250,6.7053,6.6513,7.54e+12
250,6.6259,6.6513,7.54e+12
250,6.7034,6.6513,7.54e+12
250,6.6324,6.6513,7.54e+12
250,6.6381,6.6513,7.54e+12
250,6.5695,6.6513,7.54e+12
250,6.5856,6.6513,7.54e+12
250,6.6235,6.6513,7.54e+12
250,6.6198,6.6513,7.54e+12
250,6.7602,6.6513,7.54e+12
250,6.6167,6.6513,7.54e+12
300,6.3985,6.4005,9.05e+12
300,6.3985,6.4005,9.05e+12
300,6.3525,6.4005,9.05e+12
300,6.4591,6.4005,9.05e+12
300,6.3623,6.4005,9.05e+12
300,6.4397,6.4005,9.05e+12
300,6.4814,6.4005,9.05e+12
300,6.4464,6.4005,9.05e+12
300,6.4356,6.4005,9.05e+12
300,6.3561,6.4005,9.05e+12
300,6.4139,6.4005,9.05e+12
300,6.3469,6.4005,9.05e+12
300,6.5577,6.4005,9.05e+12
