step,training_loss,validation_loss,total_flops_profiler
0,10.6652,10.6657,0.00e+00
0,10.6687,10.6657,0.00e+00
0,10.6608,10.6657,0.00e+00
0,10.6689,10.6657,0.00e+00
0,10.6579,10.6657,0.00e+00
0,10.6599,10.6657,0.00e+00
0,10.6658,10.6657,0.00e+00
0,10.6636,10.6657,0.00e+00
0,10.6619,10.6657,0.00e+00
0,10.6673,10.6657,0.00e+00
0,10.6731,10.6657,0.00e+00
0,10.6671,10.6657,0.00e+00
0,10.6645,10.6657,0.00e+00
0,10.6634,10.6657,0.00e+00
0,10.6637,10.6657,0.00e+00
50,7.4233,7.4851,6.74e+12
50,7.4233,7.4851,6.74e+12
50,7.5083,7.4851,6.74e+12
50,7.4508,7.4851,6.74e+12
50,7.5133,7.4851,6.74e+12
50,7.6387,7.4851,6.74e+12
50,7.4903,7.4851,6.74e+12
50,7.4858,7.4851,6.74e+12
50,7.5212,7.4851,6.74e+12
50,7.4766,7.4851,6.74e+12
50,7.4649,7.4851,6.74e+12
50,7.4221,7.4851,6.74e+12
50,7.5545,7.4851,6.74e+12
50,7.5006,7.4851,6.74e+12
50,7.4338,7.4851,6.74e+12
50,7.5165,7.4851,6.74e+12
50,7.5244,7.4851,6.74e+12
100,7.4736,7.4706,1.35e+13
100,7.4736,7.4706,1.35e+13
100,7.4390,7.4706,1.35e+13
100,7.4949,7.4706,1.35e+13
100,7.4499,7.4706,1.35e+13
100,7.4914,7.4706,1.35e+13
100,7.5416,7.4706,1.35e+13
100,7.5482,7.4706,1.35e+13
100,7.3723,7.4706,1.35e+13
100,7.3951,7.4706,1.35e+13
100,7.4670,7.4706,1.35e+13
100,7.4994,7.4706,1.35e+13
100,7.4574,7.4706,1.35e+13
100,7.4815,7.4706,1.35e+13
100,7.3251,7.4706,1.35e+13
100,7.3900,7.4706,1.35e+13
100,7.3952,7.4706,1.35e+13
150,7.1835,7.2045,2.02e+13
150,7.1835,7.2045,2.02e+13
150,7.2599,7.2045,2.02e+13
150,7.1547,7.2045,2.02e+13
150,7.1648,7.2045,2.02e+13
150,7.2599,7.2045,2.02e+13
150,7.1327,7.2045,2.02e+13
150,7.1823,7.2045,2.02e+13
150,7.2915,7.2045,2.02e+13
150,7.2890,7.2045,2.02e+13
150,7.2564,7.2045,2.02e+13
150,7.3520,7.2045,2.02e+13
150,7.2317,7.2045,2.02e+13
150,7.1991,7.2045,2.02e+13
150,7.2686,7.2045,2.02e+13
150,7.2909,7.2045,2.02e+13
150,7.2002,7.2045,2.02e+13
200,7.0347,6.9554,2.70e+13
200,7.0347,6.9554,2.70e+13
200,6.9315,6.9554,2.70e+13
200,6.9434,6.9554,2.70e+13
200,6.9406,6.9554,2.70e+13
200,6.9264,6.9554,2.70e+13
200,6.9413,6.9554,2.70e+13
200,6.8907,6.9554,2.70e+13
200,7.0602,6.9554,2.70e+13
200,6.9815,6.9554,2.70e+13
200,6.9533,6.9554,2.70e+13
200,6.8502,6.9554,2.70e+13
200,6.8964,6.9554,2.70e+13
200,7.0402,6.9554,2.70e+13
200,7.0406,6.9554,2.70e+13
200,6.9629,6.9554,2.70e+13
200,6.8702,6.9554,2.70e+13
250,6.7799,6.7699,3.37e+13
250,6.7799,6.7699,3.37e+13
250,6.7342,6.7699,3.37e+13
250,6.7879,6.7699,3.37e+13
250,6.7453,6.7699,3.37e+13
250,6.6896,6.7699,3.37e+13
250,6.6004,6.7699,3.37e+13
250,6.7119,6.7699,3.37e+13
250,6.7586,6.7699,3.37e+13
250,6.6459,6.7699,3.37e+13
250,6.7724,6.7699,3.37e+13
250,6.8177,6.7699,3.37e+13
250,6.7863,6.7699,3.37e+13
250,6.6747,6.7699,3.37e+13
250,6.6928,6.7699,3.37e+13
250,6.7379,6.7699,3.37e+13
250,6.7612,6.7699,3.37e+13
300,6.7121,6.6147,4.05e+13
300,6.7121,6.6147,4.05e+13
300,6.6309,6.6147,4.05e+13
300,6.5379,6.6147,4.05e+13
