step,training_loss,validation_loss,total_flops_profiler
0,10.7989,10.7989,0.00e+00
0,10.7993,10.7989,0.00e+00
0,10.7984,10.7989,0.00e+00
0,10.7993,10.7989,0.00e+00
0,10.7985,10.7989,0.00e+00
0,10.7999,10.7989,0.00e+00
0,10.7996,10.7989,0.00e+00
0,10.7983,10.7989,0.00e+00
0,10.7992,10.7989,0.00e+00
0,10.7986,10.7989,0.00e+00
0,10.7990,10.7989,0.00e+00
0,10.8004,10.7989,0.00e+00
0,10.7998,10.7989,0.00e+00
0,10.7991,10.7989,0.00e+00
0,10.7978,10.7989,0.00e+00
50,8.9474,8.9135,1.51e+12
50,8.9474,8.9135,1.51e+12
50,8.8904,8.9135,1.51e+12
50,8.9661,8.9135,1.51e+12
50,8.8889,8.9135,1.51e+12
50,8.9606,8.9135,1.51e+12
50,8.9221,8.9135,1.51e+12
50,8.8959,8.9135,1.51e+12
50,8.8893,8.9135,1.51e+12
50,8.9335,8.9135,1.51e+12
50,8.9110,8.9135,1.51e+12
50,8.9070,8.9135,1.51e+12
50,8.9318,8.9135,1.51e+12
50,8.8603,8.9135,1.51e+12
50,8.9048,8.9135,1.51e+12
50,8.9305,8.9135,1.51e+12
50,8.9454,8.9135,1.51e+12
100,7.7208,7.7458,3.02e+12
100,7.7208,7.7458,3.02e+12
100,7.7606,7.7458,3.02e+12
100,7.6881,7.7458,3.02e+12
100,7.8047,7.7458,3.02e+12
100,7.8094,7.7458,3.02e+12
100,7.7634,7.7458,3.02e+12
100,7.7373,7.7458,3.02e+12
100,7.7652,7.7458,3.02e+12
100,7.7435,7.7458,3.02e+12
100,7.7084,7.7458,3.02e+12
100,7.7708,7.7458,3.02e+12
100,7.7478,7.7458,3.02e+12
100,7.7985,7.7458,3.02e+12
100,7.7563,7.7458,3.02e+12
100,7.7609,7.7458,3.02e+12
100,7.8052,7.7458,3.02e+12
150,7.4794,7.4702,4.52e+12
150,7.4794,7.4702,4.52e+12
150,7.5283,7.4702,4.52e+12
150,7.5320,7.4702,4.52e+12
150,7.4710,7.4702,4.52e+12
150,7.5219,7.4702,4.52e+12
150,7.4568,7.4702,4.52e+12
150,7.5282,7.4702,4.52e+12
150,7.3863,7.4702,4.52e+12
150,7.5010,7.4702,4.52e+12
150,7.4779,7.4702,4.52e+12
150,7.4903,7.4702,4.52e+12
150,7.5320,7.4702,4.52e+12
150,7.4855,7.4702,4.52e+12
150,7.4620,7.4702,4.52e+12
150,7.4516,7.4702,4.52e+12
150,7.5021,7.4702,4.52e+12
200,7.4671,7.4582,6.03e+12
200,7.4671,7.4582,6.03e+12
200,7.4791,7.4582,6.03e+12
200,7.4303,7.4582,6.03e+12
200,7.4361,7.4582,6.03e+12
200,7.4978,7.4582,6.03e+12
200,7.4493,7.4582,6.03e+12
200,7.3985,7.4582,6.03e+12
200,7.4114,7.4582,6.03e+12
200,7.5162,7.4582,6.03e+12
200,7.4275,7.4582,6.03e+12
200,7.4553,7.4582,6.03e+12
200,7.4927,7.4582,6.03e+12
200,7.4257,7.4582,6.03e+12
200,7.3995,7.4582,6.03e+12
200,7.5158,7.4582,6.03e+12
200,7.4428,7.4582,6.03e+12
250,7.5053,7.4544,7.54e+12
250,7.5053,7.4544,7.54e+12
250,7.5186,7.4544,7.54e+12
250,7.3823,7.4544,7.54e+12
250,7.4585,7.4544,7.54e+12
250,7.5357,7.4544,7.54e+12
250,7.5132,7.4544,7.54e+12
250,7.4363,7.4544,7.54e+12
250,7.4765,7.4544,7.54e+12
250,7.4236,7.4544,7.54e+12
250,7.4342,7.4544,7.54e+12
250,7.4007,7.4544,7.54e+12
250,7.3767,7.4544,7.54e+12
250,7.4396,7.4544,7.54e+12
250,7.4668,7.4544,7.54e+12
250,7.5717,7.4544,7.54e+12
250,7.4057,7.4544,7.54e+12
300,7.4572,7.4525,9.05e+12
300,7.4572,7.4525,9.05e+12
300,7.4580,7.4525,9.05e+12
300,7.4988,7.4525,9.05e+12
300,7.3956,7.4525,9.05e+12
