step,training_loss,validation_loss,total_flops_profiler
0,10.8011,10.7993,0.00e+00
0,10.7995,10.7993,0.00e+00
0,10.7995,10.7993,0.00e+00
0,10.7987,10.7993,0.00e+00
0,10.7987,10.7993,0.00e+00
0,10.7985,10.7993,0.00e+00
0,10.7973,10.7993,0.00e+00
0,10.7988,10.7993,0.00e+00
0,10.7981,10.7993,0.00e+00
0,10.8002,10.7993,0.00e+00
0,10.7951,10.7993,0.00e+00
0,10.7977,10.7993,0.00e+00
0,10.7993,10.7993,0.00e+00
0,10.7983,10.7993,0.00e+00
0,10.8017,10.7993,0.00e+00
50,9.3044,9.2603,4.26e+12
50,9.3044,9.2603,4.26e+12
50,9.2126,9.2603,4.26e+12
50,9.2317,9.2603,4.26e+12
50,9.2400,9.2603,4.26e+12
50,9.2751,9.2603,4.26e+12
50,9.2275,9.2603,4.26e+12
50,9.2144,9.2603,4.26e+12
50,9.2215,9.2603,4.26e+12
50,9.2638,9.2603,4.26e+12
50,9.3048,9.2603,4.26e+12
50,9.2301,9.2603,4.26e+12
50,9.3061,9.2603,4.26e+12
50,9.2392,9.2603,4.26e+12
50,9.3036,9.2603,4.26e+12
50,9.2683,9.2603,4.26e+12
50,9.2985,9.2603,4.26e+12
100,8.3656,8.3764,8.51e+12
100,8.3656,8.3764,8.51e+12
100,8.3778,8.3764,8.51e+12
100,8.4710,8.3764,8.51e+12
100,8.3357,8.3764,8.51e+12
100,8.4438,8.3764,8.51e+12
100,8.3757,8.3764,8.51e+12
100,8.3616,8.3764,8.51e+12
100,8.3060,8.3764,8.51e+12
100,8.4166,8.3764,8.51e+12
100,8.3376,8.3764,8.51e+12
100,8.3431,8.3764,8.51e+12
100,8.3648,8.3764,8.51e+12
100,8.2816,8.3764,8.51e+12
100,8.3741,8.3764,8.51e+12
100,8.3627,8.3764,8.51e+12
100,8.3744,8.3764,8.51e+12
150,8.1760,8.1424,1.28e+13
150,8.1760,8.1424,1.28e+13
150,8.2104,8.1424,1.28e+13
150,8.1404,8.1424,1.28e+13
150,8.0953,8.1424,1.28e+13
150,8.0394,8.1424,1.28e+13
150,8.1876,8.1424,1.28e+13
150,8.1696,8.1424,1.28e+13
150,8.2464,8.1424,1.28e+13
150,8.1074,8.1424,1.28e+13
150,8.0911,8.1424,1.28e+13
150,8.1057,8.1424,1.28e+13
150,8.2053,8.1424,1.28e+13
150,8.1645,8.1424,1.28e+13
150,8.1535,8.1424,1.28e+13
150,8.2033,8.1424,1.28e+13
150,8.0634,8.1424,1.28e+13
200,8.0130,8.0837,1.70e+13
200,8.0130,8.0837,1.70e+13
200,8.0799,8.0837,1.70e+13
200,8.1103,8.0837,1.70e+13
200,8.1380,8.0837,1.70e+13
200,8.1144,8.0837,1.70e+13
200,8.0355,8.0837,1.70e+13
200,8.0500,8.0837,1.70e+13
200,8.0925,8.0837,1.70e+13
200,7.9773,8.0837,1.70e+13
200,8.0656,8.0837,1.70e+13
200,8.1481,8.0837,1.70e+13
200,8.0212,8.0837,1.70e+13
200,8.0139,8.0837,1.70e+13
200,8.1304,8.0837,1.70e+13
200,8.1529,8.0837,1.70e+13
200,7.9246,8.0837,1.70e+13
250,8.1092,8.0667,2.13e+13
250,8.1092,8.0667,2.13e+13
250,8.0619,8.0667,2.13e+13
250,8.1190,8.0667,2.13e+13
250,8.0669,8.0667,2.13e+13
250,8.0925,8.0667,2.13e+13
250,8.0200,8.0667,2.13e+13
250,8.0667,8.0667,2.13e+13
250,8.1424,8.0667,2.13e+13
250,8.0085,8.0667,2.13e+13
250,8.1274,8.0667,2.13e+13
250,8.0865,8.0667,2.13e+13
250,8.0575,8.0667,2.13e+13
250,8.0759,8.0667,2.13e+13
250,8.0869,8.0667,2.13e+13
250,8.0977,8.0667,2.13e+13
250,8.0520,8.0667,2.13e+13
300,8.1012,8.0632,2.55e+13
300,8.1012,8.0632,2.55e+13
300,8.0506,8.0632,2.55e+13
300,8.0419,8.0632,2.55e+13
300,7.8932,8.0632,2.55e+13
300,8.1477,8.0632,2.55e+13
300,8.1385,8.0632,2.55e+13
300,8.0051,8.0632,2.55e+13
300,8.1538,8.0632,2.55e+13
300,8.0494,8.0632,2.55e+13
300,8.1284,8.0632,2.55e+13
300,8.2141,8.0632,2.55e+13
300,8.0582,8.0632,2.55e+13
300,8.0895,8.0632,2.55e+13
300,8.1741,8.0632,2.55e+13
300,8.0656,8.0632,2.55e+13
300,8.1012,8.0632,2.55e+13
350,8.2016,8.0632,2.98e+13
350,8.2016,8.0632,2.98e+13
350,8.1001,8.0632,2.98e+13
350,8.1752,8.0632,2.98e+13
350,8.0421,8.0632,2.98e+13
350,8.0492,8.0632,2.98e+13
350,8.0895,8.0632,2.98e+13
350,8.0972,8.0632,2.98e+13
350,8.0999,8.0632,2.98e+13
350,8.0423,8.0632,2.98e+13
350,8.0512,8.0632,2.98e+13
350,8.0431,8.0632,2.98e+13
350,8.1143,8.0632,2.98e+13
350,8.0928,8.0632,2.98e+13
350,8.1142,8.0632,2.98e+13
350,7.9655,8.0632,2.98e+13
350,8.1000,8.0632,2.98e+13
400,7.9172,8.0616,3.40e+13
400,7.9172,8.0616,3.40e+13
400,7.9959,8.0616,3.40e+13
400,8.0269,8.0616,3.40e+13
400,8.0733,8.0616,3.40e+13
400,7.9787,8.0616,3.40e+13
400,8.1188,8.0616,3.40e+13
400,8.0385,8.0616,3.40e+13
400,8.0375,8.0616,3.40e+13
400,8.0277,8.0616,3.40e+13
400,8.1851,8.0616,3.40e+13
400,8.1014,8.0616,3.40e+13
400,8.0538,8.0616,3.40e+13
400,8.0742,8.0616,3.40e+13
400,8.0111,8.0616,3.40e+13
400,7.9940,8.0616,3.40e+13
400,7.9763,8.0616,3.40e+13
450,8.0163,8.0614,3.83e+13
450,8.0163,8.0614,3.83e+13
450,8.0271,8.0614,3.83e+13
450,8.0232,8.0614,3.83e+13
450,8.0794,8.0614,3.83e+13
450,8.0282,8.0614,3.83e+13
450,8.0282,8.0614,3.83e+13
450,8.0815,8.0614,3.83e+13
450,7.9955,8.0614,3.83e+13
450,8.0184,8.0614,3.83e+13
450,7.9068,8.0614,3.83e+13
450,7.9560,8.0614,3.83e+13
450,8.0984,8.0614,3.83e+13
450,7.9874,8.0614,3.83e+13
450,8.0690,8.0614,3.83e+13
450,7.9977,8.0614,3.83e+13
450,8.1426,8.0614,3.83e+13
500,8.0156,8.0620,4.26e+13
500,8.0156,8.0620,4.26e+13
500,8.1231,8.0620,4.26e+13
500,8.1766,8.0620,4.26e+13
500,8.0459,8.0620,4.26e+13
500,8.0488,8.0620,4.26e+13
500,7.9284,8.0620,4.26e+13
500,8.1379,8.0620,4.26e+13
500,8.0202,8.0620,4.26e+13
500,8.0364,8.0620,4.26e+13
500,8.0005,8.0620,4.26e+13
500,8.1282,8.0620,4.26e+13
500,8.1115,8.0620,4.26e+13
500,7.9934,8.0620,4.26e+13
500,8.0760,8.0620,4.26e+13
500,8.0515,8.0620,4.26e+13
500,8.1087,8.0620,4.26e+13
550,7.9773,8.0635,4.68e+13
550,7.9773,8.0635,4.68e+13
550,8.0218,8.0635,4.68e+13
550,8.0299,8.0635,4.68e+13
550,8.1105,8.0635,4.68e+13
550,8.0738,8.0635,4.68e+13
550,8.0183,8.0635,4.68e+13
550,8.1215,8.0635,4.68e+13
550,7.9386,8.0635,4.68e+13
550,8.1489,8.0635,4.68e+13
550,8.0103,8.0635,4.68e+13
550,8.0742,8.0635,4.68e+13
550,8.0703,8.0635,4.68e+13
550,8.0781,8.0635,4.68e+13
550,8.0183,8.0635,4.68e+13
550,7.9711,8.0635,4.68e+13
550,7.9406,8.0635,4.68e+13
600,8.1461,8.0626,5.11e+13
600,8.1461,8.0626,5.11e+13
600,8.0644,8.0626,5.11e+13
600,8.1155,8.0626,5.11e+13
600,8.0270,8.0626,5.11e+13
600,8.1333,8.0626,5.11e+13
600,8.0153,8.0626,5.11e+13
600,8.0690,8.0626,5.11e+13
600,8.1829,8.0626,5.11e+13
600,8.0450,8.0626,5.11e+13
600,8.0284,8.0626,5.11e+13
600,7.9785,8.0626,5.11e+13
600,8.1900,8.0626,5.11e+13
600,8.0216,8.0626,5.11e+13
600,8.1330,8.0626,5.11e+13
600,8.0399,8.0626,5.11e+13
600,7.9660,8.0626,5.11e+13
650,8.0720,8.0606,5.53e+13
