step,training_loss,validation_loss,total_flops_profiler
0,10.7867,10.7797,0.00e+00
0,10.7769,10.7797,0.00e+00
0,10.7757,10.7797,0.00e+00
0,10.7769,10.7797,0.00e+00
0,10.7803,10.7797,0.00e+00
0,10.7830,10.7797,0.00e+00
0,10.7790,10.7797,0.00e+00
0,10.7722,10.7797,0.00e+00
0,10.7809,10.7797,0.00e+00
0,10.7811,10.7797,0.00e+00
0,10.7721,10.7797,0.00e+00
0,10.7784,10.7797,0.00e+00
0,10.7765,10.7797,0.00e+00
0,10.7839,10.7797,0.00e+00
0,10.7804,10.7797,0.00e+00
20,8.5528,8.4388,2.68e+13
20,8.5528,8.4388,2.68e+13
20,8.4053,8.4388,2.68e+13
20,8.5039,8.4388,2.68e+13
20,8.4434,8.4388,2.68e+13
20,8.4391,8.4388,2.68e+13
20,8.3802,8.4388,2.68e+13
20,8.4649,8.4388,2.68e+13
20,8.4070,8.4388,2.68e+13
20,8.4487,8.4388,2.68e+13
20,8.4408,8.4388,2.68e+13
20,8.4859,8.4388,2.68e+13
20,8.3633,8.4388,2.68e+13
20,8.4795,8.4388,2.68e+13
20,8.4074,8.4388,2.68e+13
20,8.4011,8.4388,2.68e+13
20,8.4456,8.4388,2.68e+13
40,7.3363,7.2401,5.37e+13
40,7.3363,7.2401,5.37e+13
40,7.2931,7.2401,5.37e+13
40,7.2664,7.2401,5.37e+13
40,7.2562,7.2401,5.37e+13
40,7.2906,7.2401,5.37e+13
40,7.2594,7.2401,5.37e+13
40,7.2627,7.2401,5.37e+13
40,7.1849,7.2401,5.37e+13
40,7.2660,7.2401,5.37e+13
40,7.2432,7.2401,5.37e+13
40,7.2377,7.2401,5.37e+13
40,7.3020,7.2401,5.37e+13
40,7.2505,7.2401,5.37e+13
40,7.1894,7.2401,5.37e+13
40,7.2534,7.2401,5.37e+13
40,7.2716,7.2401,5.37e+13
60,6.7819,6.7742,8.05e+13
60,6.7819,6.7742,8.05e+13
60,6.8042,6.7742,8.05e+13
60,6.7205,6.7742,8.05e+13
60,6.8005,6.7742,8.05e+13
60,6.6361,6.7742,8.05e+13
60,6.7531,6.7742,8.05e+13
60,6.6741,6.7742,8.05e+13
60,6.8135,6.7742,8.05e+13
60,6.8773,6.7742,8.05e+13
60,6.7486,6.7742,8.05e+13
60,6.8492,6.7742,8.05e+13
60,6.8085,6.7742,8.05e+13
60,6.7920,6.7742,8.05e+13
60,6.8619,6.7742,8.05e+13
60,6.7060,6.7742,8.05e+13
60,6.7143,6.7742,8.05e+13
80,6.4876,6.4859,1.07e+14
80,6.4876,6.4859,1.07e+14
80,6.4364,6.4859,1.07e+14
80,6.5404,6.4859,1.07e+14
80,6.3718,6.4859,1.07e+14
80,6.4514,6.4859,1.07e+14
80,6.3654,6.4859,1.07e+14
80,6.5394,6.4859,1.07e+14
80,6.4115,6.4859,1.07e+14
80,6.4228,6.4859,1.07e+14
80,6.5238,6.4859,1.07e+14
80,6.5785,6.4859,1.07e+14
80,6.5571,6.4859,1.07e+14
80,6.4268,6.4859,1.07e+14
80,6.4047,6.4859,1.07e+14
80,6.5738,6.4859,1.07e+14
80,6.4244,6.4859,1.07e+14
100,6.2359,6.2969,1.34e+14
100,6.2359,6.2969,1.34e+14
100,6.2773,6.2969,1.34e+14
100,6.3080,6.2969,1.34e+14
100,6.1807,6.2969,1.34e+14
100,6.2500,6.2969,1.34e+14
100,6.2356,6.2969,1.34e+14
100,6.3654,6.2969,1.34e+14
100,6.2890,6.2969,1.34e+14
100,6.3353,6.2969,1.34e+14
100,6.1649,6.2969,1.34e+14
100,6.2604,6.2969,1.34e+14
100,6.3005,6.2969,1.34e+14
100,6.4310,6.2969,1.34e+14
100,6.1039,6.2969,1.34e+14
100,6.4249,6.2969,1.34e+14
100,6.2368,6.2969,1.34e+14
120,6.1654,6.1456,1.61e+14
120,6.1654,6.1456,1.61e+14
120,6.1987,6.1456,1.61e+14
120,6.1020,6.1456,1.61e+14
120,6.1136,6.1456,1.61e+14
120,6.1358,6.1456,1.61e+14
120,6.1254,6.1456,1.61e+14
120,6.0956,6.1456,1.61e+14
120,6.1385,6.1456,1.61e+14
120,5.9971,6.1456,1.61e+14
120,6.2045,6.1456,1.61e+14
120,6.0108,6.1456,1.61e+14
120,6.2119,6.1456,1.61e+14
120,6.1321,6.1456,1.61e+14
120,6.1063,6.1456,1.61e+14
120,6.1806,6.1456,1.61e+14
120,6.0441,6.1456,1.61e+14
140,6.0334,6.0317,1.88e+14
140,6.0334,6.0317,1.88e+14
140,5.9161,6.0317,1.88e+14
140,5.9527,6.0317,1.88e+14
140,5.9440,6.0317,1.88e+14
140,5.9034,6.0317,1.88e+14
140,5.9520,6.0317,1.88e+14
140,6.1670,6.0317,1.88e+14
140,6.1060,6.0317,1.88e+14
140,5.8900,6.0317,1.88e+14
140,5.9620,6.0317,1.88e+14
140,5.9201,6.0317,1.88e+14
140,5.9630,6.0317,1.88e+14
140,6.2128,6.0317,1.88e+14
140,6.0484,6.0317,1.88e+14
140,6.0149,6.0317,1.88e+14
140,6.1023,6.0317,1.88e+14
160,5.9867,5.9358,2.15e+14
160,5.9867,5.9358,2.15e+14
160,5.8635,5.9358,2.15e+14
160,5.9884,5.9358,2.15e+14
160,6.0544,5.9358,2.15e+14
160,6.1174,5.9358,2.15e+14
160,5.8691,5.9358,2.15e+14
160,5.9562,5.9358,2.15e+14
160,6.0332,5.9358,2.15e+14
160,6.0247,5.9358,2.15e+14
160,5.9582,5.9358,2.15e+14
160,5.9419,5.9358,2.15e+14
160,6.0142,5.9358,2.15e+14
160,6.0886,5.9358,2.15e+14
160,5.9558,5.9358,2.15e+14
160,5.9475,5.9358,2.15e+14
160,6.0108,5.9358,2.15e+14
180,5.7987,5.8538,2.42e+14
180,5.7987,5.8538,2.42e+14
180,5.8705,5.8538,2.42e+14
180,5.8640,5.8538,2.42e+14
180,5.8855,5.8538,2.42e+14
180,5.8289,5.8538,2.42e+14
180,5.6807,5.8538,2.42e+14
180,5.7482,5.8538,2.42e+14
180,5.8280,5.8538,2.42e+14
180,5.8909,5.8538,2.42e+14
180,5.7841,5.8538,2.42e+14
180,5.8413,5.8538,2.42e+14
180,5.8168,5.8538,2.42e+14
180,5.7653,5.8538,2.42e+14
180,5.7704,5.8538,2.42e+14
180,5.9371,5.8538,2.42e+14
180,5.8404,5.8538,2.42e+14
200,5.6823,5.7782,2.68e+14
200,5.6823,5.7782,2.68e+14
200,5.6768,5.7782,2.68e+14
200,5.8882,5.7782,2.68e+14
200,5.7981,5.7782,2.68e+14
200,5.6781,5.7782,2.68e+14
200,5.7779,5.7782,2.68e+14
200,5.8501,5.7782,2.68e+14
200,5.8316,5.7782,2.68e+14
200,5.8344,5.7782,2.68e+14
200,5.8612,5.7782,2.68e+14
200,5.7670,5.7782,2.68e+14
200,5.7647,5.7782,2.68e+14
200,5.7963,5.7782,2.68e+14
200,5.9792,5.7782,2.68e+14
200,5.6074,5.7782,2.68e+14
200,5.6570,5.7782,2.68e+14
220,5.7486,5.7122,2.95e+14
220,5.7486,5.7122,2.95e+14
220,5.7573,5.7122,2.95e+14
220,5.6123,5.7122,2.95e+14
220,5.7860,5.7122,2.95e+14
220,5.5889,5.7122,2.95e+14
220,5.7410,5.7122,2.95e+14
220,5.6644,5.7122,2.95e+14
220,5.8730,5.7122,2.95e+14
220,5.7731,5.7122,2.95e+14
220,5.6426,5.7122,2.95e+14
220,5.6636,5.7122,2.95e+14
220,5.6230,5.7122,2.95e+14
220,5.7194,5.7122,2.95e+14
220,5.7747,5.7122,2.95e+14
220,5.7676,5.7122,2.95e+14
220,5.7031,5.7122,2.95e+14
240,5.7221,5.6528,3.22e+14
240,5.7221,5.6528,3.22e+14
240,5.5565,5.6528,3.22e+14
240,5.5815,5.6528,3.22e+14
240,5.8166,5.6528,3.22e+14
240,5.5570,5.6528,3.22e+14
240,5.5755,5.6528,3.22e+14
240,5.6052,5.6528,3.22e+14
240,5.5375,5.6528,3.22e+14
240,5.5965,5.6528,3.22e+14
240,5.5473,5.6528,3.22e+14
240,5.6316,5.6528,3.22e+14
240,5.6170,5.6528,3.22e+14
240,5.6147,5.6528,3.22e+14
240,5.6360,5.6528,3.22e+14
240,5.6060,5.6528,3.22e+14
240,5.6380,5.6528,3.22e+14
260,5.5847,5.5970,3.49e+14
260,5.5847,5.5970,3.49e+14
260,5.5127,5.5970,3.49e+14
260,5.5589,5.5970,3.49e+14
260,5.5241,5.5970,3.49e+14
260,5.5818,5.5970,3.49e+14
260,5.5848,5.5970,3.49e+14
260,5.5052,5.5970,3.49e+14
260,5.5775,5.5970,3.49e+14
260,5.5831,5.5970,3.49e+14
260,5.6848,5.5970,3.49e+14
260,5.5353,5.5970,3.49e+14
260,5.5001,5.5970,3.49e+14
260,5.6711,5.5970,3.49e+14
260,5.5370,5.5970,3.49e+14
260,5.5742,5.5970,3.49e+14
260,5.7574,5.5970,3.49e+14
280,5.5793,5.5461,3.76e+14
280,5.5793,5.5461,3.76e+14
280,5.6243,5.5461,3.76e+14
280,5.6331,5.5461,3.76e+14
280,5.6267,5.5461,3.76e+14
280,5.5804,5.5461,3.76e+14
280,5.5753,5.5461,3.76e+14
280,5.4356,5.5461,3.76e+14
280,5.6492,5.5461,3.76e+14
280,5.5124,5.5461,3.76e+14
280,5.3993,5.5461,3.76e+14
280,5.5314,5.5461,3.76e+14
280,5.4580,5.5461,3.76e+14
280,5.5260,5.5461,3.76e+14
280,5.7611,5.5461,3.76e+14
280,5.7147,5.5461,3.76e+14
280,5.4384,5.5461,3.76e+14
300,5.6035,5.5027,4.03e+14
300,5.6035,5.5027,4.03e+14
300,5.4251,5.5027,4.03e+14
300,5.5367,5.5027,4.03e+14
300,5.5092,5.5027,4.03e+14
300,5.2859,5.5027,4.03e+14
300,5.4306,5.5027,4.03e+14
300,5.5510,5.5027,4.03e+14
300,5.5462,5.5027,4.03e+14
300,5.3426,5.5027,4.03e+14
300,5.5821,5.5027,4.03e+14
300,5.5190,5.5027,4.03e+14
300,5.5933,5.5027,4.03e+14
300,5.5865,5.5027,4.03e+14
300,5.5943,5.5027,4.03e+14
300,5.4547,5.5027,4.03e+14
300,5.6781,5.5027,4.03e+14
320,5.5292,5.4628,4.30e+14
320,5.5292,5.4628,4.30e+14
320,5.4481,5.4628,4.30e+14
320,5.4503,5.4628,4.30e+14
320,5.3864,5.4628,4.30e+14
320,5.3406,5.4628,4.30e+14
320,5.4939,5.4628,4.30e+14
320,5.4190,5.4628,4.30e+14
320,5.4295,5.4628,4.30e+14
320,5.4910,5.4628,4.30e+14
320,5.4703,5.4628,4.30e+14
320,5.5188,5.4628,4.30e+14
320,5.3648,5.4628,4.30e+14
320,5.4620,5.4628,4.30e+14
320,5.4626,5.4628,4.30e+14
320,5.5107,5.4628,4.30e+14
320,5.4162,5.4628,4.30e+14
340,5.5074,5.4319,4.56e+14
340,5.5074,5.4319,4.56e+14
340,5.5149,5.4319,4.56e+14
340,5.3471,5.4319,4.56e+14
340,5.3973,5.4319,4.56e+14
340,5.4330,5.4319,4.56e+14
340,5.4630,5.4319,4.56e+14
340,5.3107,5.4319,4.56e+14
340,5.4764,5.4319,4.56e+14
340,5.4242,5.4319,4.56e+14
340,5.2443,5.4319,4.56e+14
340,5.3323,5.4319,4.56e+14
340,5.3537,5.4319,4.56e+14
340,5.4736,5.4319,4.56e+14
340,5.4216,5.4319,4.56e+14
340,5.4631,5.4319,4.56e+14
340,5.4626,5.4319,4.56e+14
360,5.3200,5.3916,4.83e+14
360,5.3200,5.3916,4.83e+14
360,5.2955,5.3916,4.83e+14
360,5.3943,5.3916,4.83e+14
360,5.4743,5.3916,4.83e+14
360,5.4625,5.3916,4.83e+14
360,5.4705,5.3916,4.83e+14
