step,training_loss,validation_loss,total_flops_profiler
0,10.8273,10.8261,0.00e+00
0,10.8249,10.8261,0.00e+00
0,10.8270,10.8261,0.00e+00
0,10.8275,10.8261,0.00e+00
0,10.8274,10.8261,0.00e+00
0,10.8245,10.8261,0.00e+00
0,10.8267,10.8261,0.00e+00
0,10.8270,10.8261,0.00e+00
0,10.8257,10.8261,0.00e+00
0,10.8251,10.8261,0.00e+00
0,10.8274,10.8261,0.00e+00
0,10.8250,10.8261,0.00e+00
0,10.8261,10.8261,0.00e+00
0,10.8253,10.8261,0.00e+00
0,10.8263,10.8261,0.00e+00
50,10.8186,10.8181,2.02e+12
50,10.8186,10.8181,2.02e+12
50,10.8192,10.8181,2.02e+12
50,10.8177,10.8181,2.02e+12
50,10.8167,10.8181,2.02e+12
50,10.8188,10.8181,2.02e+12
50,10.8175,10.8181,2.02e+12
50,10.8174,10.8181,2.02e+12
50,10.8199,10.8181,2.02e+12
50,10.8188,10.8181,2.02e+12
50,10.8185,10.8181,2.02e+12
50,10.8178,10.8181,2.02e+12
50,10.8189,10.8181,2.02e+12
50,10.8171,10.8181,2.02e+12
50,10.8180,10.8181,2.02e+12
50,10.8194,10.8181,2.02e+12
50,10.8192,10.8181,2.02e+12
100,10.7698,10.7694,4.04e+12
100,10.7698,10.7694,4.04e+12
100,10.7697,10.7694,4.04e+12
100,10.7706,10.7694,4.04e+12
100,10.7702,10.7694,4.04e+12
100,10.7692,10.7694,4.04e+12
100,10.7680,10.7694,4.04e+12
100,10.7680,10.7694,4.04e+12
100,10.7709,10.7694,4.04e+12
100,10.7682,10.7694,4.04e+12
100,10.7680,10.7694,4.04e+12
100,10.7689,10.7694,4.04e+12
100,10.7710,10.7694,4.04e+12
100,10.7700,10.7694,4.04e+12
100,10.7699,10.7694,4.04e+12
100,10.7692,10.7694,4.04e+12
100,10.7702,10.7694,4.04e+12
150,10.7016,10.7020,6.07e+12
150,10.7016,10.7020,6.07e+12
150,10.7045,10.7020,6.07e+12
150,10.7016,10.7020,6.07e+12
150,10.7064,10.7020,6.07e+12
150,10.7007,10.7020,6.07e+12
150,10.6996,10.7020,6.07e+12
150,10.7036,10.7020,6.07e+12
150,10.7030,10.7020,6.07e+12
150,10.7025,10.7020,6.07e+12
150,10.7018,10.7020,6.07e+12
150,10.7015,10.7020,6.07e+12
150,10.7005,10.7020,6.07e+12
150,10.6985,10.7020,6.07e+12
150,10.7024,10.7020,6.07e+12
150,10.7023,10.7020,6.07e+12
150,10.7055,10.7020,6.07e+12
200,10.6584,10.6573,8.09e+12
200,10.6584,10.6573,8.09e+12
200,10.6585,10.6573,8.09e+12
200,10.6550,10.6573,8.09e+12
200,10.6563,10.6573,8.09e+12
200,10.6592,10.6573,8.09e+12
200,10.6573,10.6573,8.09e+12
200,10.6599,10.6573,8.09e+12
200,10.6583,10.6573,8.09e+12
200,10.6591,10.6573,8.09e+12
200,10.6584,10.6573,8.09e+12
200,10.6587,10.6573,8.09e+12
200,10.6559,10.6573,8.09e+12
200,10.6567,10.6573,8.09e+12
200,10.6583,10.6573,8.09e+12
200,10.6546,10.6573,8.09e+12
200,10.6573,10.6573,8.09e+12
250,10.6206,10.6222,1.01e+13
250,10.6206,10.6222,1.01e+13
250,10.6213,10.6222,1.01e+13
250,10.6208,10.6222,1.01e+13
250,10.6287,10.6222,1.01e+13
250,10.6214,10.6222,1.01e+13
250,10.6249,10.6222,1.01e+13
250,10.6197,10.6222,1.01e+13
250,10.6242,10.6222,1.01e+13
250,10.6227,10.6222,1.01e+13
250,10.6247,10.6222,1.01e+13
250,10.6234,10.6222,1.01e+13
250,10.6218,10.6222,1.01e+13
250,10.6228,10.6222,1.01e+13
250,10.6274,10.6222,1.01e+13
250,10.6239,10.6222,1.01e+13
250,10.6207,10.6222,1.01e+13
300,10.5924,10.5925,1.21e+13
