step,training_loss,validation_loss,total_flops_profiler
0,10.8280,10.8273,0.00e+00
0,10.8266,10.8273,0.00e+00
0,10.8283,10.8273,0.00e+00
0,10.8279,10.8273,0.00e+00
0,10.8282,10.8273,0.00e+00
0,10.8300,10.8273,0.00e+00
0,10.8282,10.8273,0.00e+00
0,10.8272,10.8273,0.00e+00
0,10.8276,10.8273,0.00e+00
0,10.8264,10.8273,0.00e+00
0,10.8267,10.8273,0.00e+00
0,10.8269,10.8273,0.00e+00
0,10.8272,10.8273,0.00e+00
0,10.8286,10.8273,0.00e+00
0,10.8295,10.8273,0.00e+00
50,9.5297,9.4960,4.19e+12
50,9.5297,9.4960,4.19e+12
50,9.4930,9.4960,4.19e+12
50,9.4948,9.4960,4.19e+12
50,9.5040,9.4960,4.19e+12
50,9.4969,9.4960,4.19e+12
50,9.4975,9.4960,4.19e+12
50,9.5030,9.4960,4.19e+12
50,9.5085,9.4960,4.19e+12
50,9.4891,9.4960,4.19e+12
50,9.5121,9.4960,4.19e+12
50,9.5109,9.4960,4.19e+12
50,9.4893,9.4960,4.19e+12
50,9.4905,9.4960,4.19e+12
50,9.4655,9.4960,4.19e+12
50,9.4798,9.4960,4.19e+12
50,9.4946,9.4960,4.19e+12
100,7.5398,7.4893,8.39e+12
100,7.5398,7.4893,8.39e+12
100,7.5356,7.4893,8.39e+12
100,7.6213,7.4893,8.39e+12
100,7.5059,7.4893,8.39e+12
100,7.5104,7.4893,8.39e+12
100,7.5119,7.4893,8.39e+12
100,7.4210,7.4893,8.39e+12
100,7.4910,7.4893,8.39e+12
100,7.5172,7.4893,8.39e+12
100,7.4566,7.4893,8.39e+12
100,7.5662,7.4893,8.39e+12
100,7.5518,7.4893,8.39e+12
100,7.4794,7.4893,8.39e+12
100,7.5107,7.4893,8.39e+12
100,7.4888,7.4893,8.39e+12
100,7.4659,7.4893,8.39e+12
150,6.6203,6.6862,1.26e+13
150,6.6203,6.6862,1.26e+13
150,6.8088,6.6862,1.26e+13
150,6.6241,6.6862,1.26e+13
150,6.8112,6.6862,1.26e+13
150,6.5904,6.6862,1.26e+13
150,6.7934,6.6862,1.26e+13
150,6.6992,6.6862,1.26e+13
150,6.7342,6.6862,1.26e+13
150,6.7846,6.6862,1.26e+13
150,6.6018,6.6862,1.26e+13
150,6.6196,6.6862,1.26e+13
150,6.7208,6.6862,1.26e+13
150,6.6517,6.6862,1.26e+13
150,6.6862,6.6862,1.26e+13
150,6.7053,6.6862,1.26e+13
150,6.6123,6.6862,1.26e+13
200,6.2809,6.1885,1.68e+13
200,6.2809,6.1885,1.68e+13
200,6.1448,6.1885,1.68e+13
200,6.0706,6.1885,1.68e+13
200,6.3552,6.1885,1.68e+13
200,6.1404,6.1885,1.68e+13
200,6.1071,6.1885,1.68e+13
200,6.1726,6.1885,1.68e+13
200,6.3469,6.1885,1.68e+13
200,6.0713,6.1885,1.68e+13
200,6.2495,6.1885,1.68e+13
200,6.1389,6.1885,1.68e+13
200,6.1634,6.1885,1.68e+13
200,6.2969,6.1885,1.68e+13
200,6.1554,6.1885,1.68e+13
200,6.1457,6.1885,1.68e+13
200,5.9697,6.1885,1.68e+13
250,5.7939,5.9260,2.10e+13
250,5.7939,5.9260,2.10e+13
250,5.8957,5.9260,2.10e+13
250,5.9683,5.9260,2.10e+13
250,6.0537,5.9260,2.10e+13
250,5.9152,5.9260,2.10e+13
250,5.9140,5.9260,2.10e+13
250,5.8700,5.9260,2.10e+13
250,6.0855,5.9260,2.10e+13
250,6.0865,5.9260,2.10e+13
250,5.9776,5.9260,2.10e+13
250,6.0781,5.9260,2.10e+13
250,5.8267,5.9260,2.10e+13
250,5.9085,5.9260,2.10e+13
250,5.9786,5.9260,2.10e+13
250,5.9340,5.9260,2.10e+13
250,5.9257,5.9260,2.10e+13
300,5.7397,5.7424,2.52e+13
300,5.7397,5.7424,2.52e+13
300,5.8800,5.7424,2.52e+13
300,5.7186,5.7424,2.52e+13
