step,training_loss,validation_loss,total_flops_profiler
0,10.8287,10.8280,0.00e+00
0,10.8273,10.8280,0.00e+00
0,10.8290,10.8280,0.00e+00
0,10.8287,10.8280,0.00e+00
0,10.8289,10.8280,0.00e+00
0,10.8307,10.8280,0.00e+00
0,10.8289,10.8280,0.00e+00
0,10.8279,10.8280,0.00e+00
0,10.8283,10.8280,0.00e+00
0,10.8271,10.8280,0.00e+00
0,10.8276,10.8280,0.00e+00
0,10.8276,10.8280,0.00e+00
0,10.8280,10.8280,0.00e+00
0,10.8293,10.8280,0.00e+00
0,10.8303,10.8280,0.00e+00
50,9.5329,9.4989,4.19e+12
50,9.5329,9.4989,4.19e+12
50,9.4959,9.4989,4.19e+12
50,9.4977,9.4989,4.19e+12
50,9.5069,9.4989,4.19e+12
50,9.4999,9.4989,4.19e+12
50,9.5004,9.4989,4.19e+12
50,9.5058,9.4989,4.19e+12
50,9.5113,9.4989,4.19e+12
50,9.4920,9.4989,4.19e+12
50,9.5149,9.4989,4.19e+12
50,9.5138,9.4989,4.19e+12
50,9.4921,9.4989,4.19e+12
50,9.4933,9.4989,4.19e+12
50,9.4684,9.4989,4.19e+12
50,9.4827,9.4989,4.19e+12
50,9.4974,9.4989,4.19e+12
100,7.5401,7.5020,8.39e+12
100,7.5401,7.5020,8.39e+12
100,7.5460,7.5020,8.39e+12
100,7.6327,7.5020,8.39e+12
100,7.5202,7.5020,8.39e+12
100,7.5203,7.5020,8.39e+12
100,7.5226,7.5020,8.39e+12
100,7.4354,7.5020,8.39e+12
100,7.5044,7.5020,8.39e+12
100,7.5273,7.5020,8.39e+12
100,7.4710,7.5020,8.39e+12
100,7.5785,7.5020,8.39e+12
100,7.5610,7.5020,8.39e+12
100,7.4885,7.5020,8.39e+12
100,7.5246,7.5020,8.39e+12
100,7.4997,7.5020,8.39e+12
100,7.4796,7.5020,8.39e+12
150,6.6307,6.6970,1.26e+13
150,6.6307,6.6970,1.26e+13
150,6.8170,6.6970,1.26e+13
150,6.6367,6.6970,1.26e+13
150,6.8189,6.6970,1.26e+13
150,6.6004,6.6970,1.26e+13
150,6.8022,6.6970,1.26e+13
150,6.7078,6.6970,1.26e+13
150,6.7466,6.6970,1.26e+13
150,6.7977,6.6970,1.26e+13
150,6.6160,6.6970,1.26e+13
150,6.6292,6.6970,1.26e+13
150,6.7296,6.6970,1.26e+13
150,6.6614,6.6970,1.26e+13
150,6.6970,6.6970,1.26e+13
150,6.7165,6.6970,1.26e+13
150,6.6229,6.6970,1.26e+13
200,6.2824,6.1927,1.68e+13
200,6.2824,6.1927,1.68e+13
200,6.1508,6.1927,1.68e+13
200,6.0801,6.1927,1.68e+13
200,6.3640,6.1927,1.68e+13
200,6.1488,6.1927,1.68e+13
200,6.1087,6.1927,1.68e+13
200,6.1715,6.1927,1.68e+13
200,6.3489,6.1927,1.68e+13
200,6.0728,6.1927,1.68e+13
200,6.2522,6.1927,1.68e+13
200,6.1435,6.1927,1.68e+13
200,6.1645,6.1927,1.68e+13
200,6.2995,6.1927,1.68e+13
200,6.1621,6.1927,1.68e+13
200,6.1425,6.1927,1.68e+13
200,5.9784,6.1927,1.68e+13
250,5.7747,5.9156,2.10e+13
250,5.7747,5.9156,2.10e+13
250,5.8884,5.9156,2.10e+13
250,5.9663,5.9156,2.10e+13
250,6.0474,5.9156,2.10e+13
250,5.9116,5.9156,2.10e+13
250,5.9046,5.9156,2.10e+13
250,5.8571,5.9156,2.10e+13
250,6.0678,5.9156,2.10e+13
250,6.0720,5.9156,2.10e+13
250,5.9581,5.9156,2.10e+13
250,6.0736,5.9156,2.10e+13
250,5.8131,5.9156,2.10e+13
250,5.8925,5.9156,2.10e+13
250,5.9720,5.9156,2.10e+13
250,5.9218,5.9156,2.10e+13
250,5.9212,5.9156,2.10e+13
300,5.7202,5.7145,2.52e+13
300,5.7202,5.7145,2.52e+13
300,5.8511,5.7145,2.52e+13
300,5.6846,5.7145,2.52e+13
300,5.8140,5.7145,2.52e+13
300,5.6216,5.7145,2.52e+13
300,5.7265,5.7145,2.52e+13
300,5.7125,5.7145,2.52e+13
300,5.8104,5.7145,2.52e+13
300,5.7914,5.7145,2.52e+13
300,5.7635,5.7145,2.52e+13
300,5.6709,5.7145,2.52e+13
300,5.5353,5.7145,2.52e+13
300,5.7576,5.7145,2.52e+13
300,5.7678,5.7145,2.52e+13
300,5.6473,5.7145,2.52e+13
300,5.6659,5.7145,2.52e+13
350,5.6475,5.5692,2.94e+13
350,5.6475,5.5692,2.94e+13
350,5.6791,5.5692,2.94e+13
350,5.9485,5.5692,2.94e+13
350,5.7641,5.5692,2.94e+13
350,5.6323,5.5692,2.94e+13
350,5.4935,5.5692,2.94e+13
350,5.4939,5.5692,2.94e+13
350,5.5652,5.5692,2.94e+13
350,5.5241,5.5692,2.94e+13
350,5.4720,5.5692,2.94e+13
350,5.3862,5.5692,2.94e+13
350,5.5847,5.5692,2.94e+13
350,5.5358,5.5692,2.94e+13
350,5.5120,5.5692,2.94e+13
350,5.5796,5.5692,2.94e+13
350,5.5911,5.5692,2.94e+13
400,5.4806,5.4437,3.36e+13
400,5.4806,5.4437,3.36e+13
400,5.4551,5.4437,3.36e+13
400,5.3199,5.4437,3.36e+13
400,5.3628,5.4437,3.36e+13
400,5.4848,5.4437,3.36e+13
400,5.4070,5.4437,3.36e+13
400,5.3762,5.4437,3.36e+13
400,5.4238,5.4437,3.36e+13
400,5.5197,5.4437,3.36e+13
400,5.3637,5.4437,3.36e+13
400,5.5304,5.4437,3.36e+13
400,5.3963,5.4437,3.36e+13
400,5.5705,5.4437,3.36e+13
400,5.5130,5.4437,3.36e+13
400,5.6375,5.4437,3.36e+13
400,5.2835,5.4437,3.36e+13
450,5.2340,5.3515,3.78e+13
450,5.2340,5.3515,3.78e+13
450,5.3661,5.3515,3.78e+13
450,5.3333,5.3515,3.78e+13
450,5.5275,5.3515,3.78e+13
450,5.2895,5.3515,3.78e+13
450,5.4224,5.3515,3.78e+13
450,5.2889,5.3515,3.78e+13
450,5.2845,5.3515,3.78e+13
450,5.5624,5.3515,3.78e+13
450,5.3841,5.3515,3.78e+13
450,5.4463,5.3515,3.78e+13
450,5.4073,5.3515,3.78e+13
450,5.2405,5.3515,3.78e+13
450,5.3140,5.3515,3.78e+13
450,5.2839,5.3515,3.78e+13
450,5.3689,5.3515,3.78e+13
500,5.2615,5.2664,4.19e+13
500,5.2615,5.2664,4.19e+13
500,5.3229,5.2664,4.19e+13
500,5.2277,5.2664,4.19e+13
500,5.2598,5.2664,4.19e+13
500,5.1989,5.2664,4.19e+13
500,5.3600,5.2664,4.19e+13
500,5.3122,5.2664,4.19e+13
500,5.2189,5.2664,4.19e+13
500,5.2431,5.2664,4.19e+13
500,5.2947,5.2664,4.19e+13
500,5.1478,5.2664,4.19e+13
500,4.9924,5.2664,4.19e+13
500,5.2378,5.2664,4.19e+13
500,5.2836,5.2664,4.19e+13
500,5.3317,5.2664,4.19e+13
500,5.3473,5.2664,4.19e+13
550,5.1228,5.2015,4.61e+13
550,5.1228,5.2015,4.61e+13
550,5.2581,5.2015,4.61e+13
550,5.3670,5.2015,4.61e+13
550,5.1043,5.2015,4.61e+13
550,5.0794,5.2015,4.61e+13
550,4.9296,5.2015,4.61e+13
550,5.2012,5.2015,4.61e+13
550,5.2304,5.2015,4.61e+13
550,5.2284,5.2015,4.61e+13
550,5.2053,5.2015,4.61e+13
550,5.0871,5.2015,4.61e+13
550,5.1777,5.2015,4.61e+13
550,5.2270,5.2015,4.61e+13
550,5.0389,5.2015,4.61e+13
550,5.2727,5.2015,4.61e+13
550,5.0568,5.2015,4.61e+13
600,5.0453,5.1426,5.03e+13
600,5.0453,5.1426,5.03e+13
600,5.0367,5.1426,5.03e+13
600,5.0004,5.1426,5.03e+13
600,5.0598,5.1426,5.03e+13
600,4.9775,5.1426,5.03e+13
600,5.0466,5.1426,5.03e+13
600,5.1473,5.1426,5.03e+13
600,5.2622,5.1426,5.03e+13
600,5.0316,5.1426,5.03e+13
600,5.1548,5.1426,5.03e+13
600,4.9070,5.1426,5.03e+13
600,5.1027,5.1426,5.03e+13
600,5.2844,5.1426,5.03e+13
600,5.1166,5.1426,5.03e+13
600,5.1248,5.1426,5.03e+13
600,5.0568,5.1426,5.03e+13
650,4.9173,5.0947,5.45e+13
650,4.9173,5.0947,5.45e+13
650,5.1564,5.0947,5.45e+13
650,5.1637,5.0947,5.45e+13
650,5.0446,5.0947,5.45e+13
650,5.2201,5.0947,5.45e+13
650,4.9697,5.0947,5.45e+13
650,4.9634,5.0947,5.45e+13
650,4.9490,5.0947,5.45e+13
650,4.9756,5.0947,5.45e+13
650,4.9846,5.0947,5.45e+13
650,5.1569,5.0947,5.45e+13
650,5.0617,5.0947,5.45e+13
650,4.9150,5.0947,5.45e+13
650,5.1785,5.0947,5.45e+13
650,5.0281,5.0947,5.45e+13
650,5.2491,5.0947,5.45e+13
700,5.0217,5.0548,5.87e+13
700,5.0217,5.0548,5.87e+13
700,4.9699,5.0548,5.87e+13
700,5.1442,5.0548,5.87e+13
700,5.0682,5.0548,5.87e+13
700,5.0969,5.0548,5.87e+13
700,5.0068,5.0548,5.87e+13
700,5.1019,5.0548,5.87e+13
700,4.9529,5.0548,5.87e+13
700,5.0164,5.0548,5.87e+13
700,5.0457,5.0548,5.87e+13
700,5.0332,5.0548,5.87e+13
700,4.9322,5.0548,5.87e+13
700,5.0964,5.0548,5.87e+13
700,5.0313,5.0548,5.87e+13
700,5.0342,5.0548,5.87e+13
700,5.1680,5.0548,5.87e+13
750,5.0386,5.0163,6.29e+13
750,5.0386,5.0163,6.29e+13
750,4.9725,5.0163,6.29e+13
750,4.8620,5.0163,6.29e+13
750,4.8242,5.0163,6.29e+13
750,4.8282,5.0163,6.29e+13
750,5.0225,5.0163,6.29e+13
750,5.1206,5.0163,6.29e+13
750,5.0240,5.0163,6.29e+13
750,4.8813,5.0163,6.29e+13
750,5.1350,5.0163,6.29e+13
750,5.0191,5.0163,6.29e+13
750,5.0340,5.0163,6.29e+13
750,5.0797,5.0163,6.29e+13
750,5.0418,5.0163,6.29e+13
750,5.0081,5.0163,6.29e+13
750,5.0352,5.0163,6.29e+13
800,5.0139,4.9833,6.71e+13
800,5.0139,4.9833,6.71e+13
800,5.0701,4.9833,6.71e+13
800,4.8541,4.9833,6.71e+13
800,4.9724,4.9833,6.71e+13
800,4.8487,4.9833,6.71e+13
800,4.8798,4.9833,6.71e+13
800,4.9663,4.9833,6.71e+13
800,4.8948,4.9833,6.71e+13
800,5.0210,4.9833,6.71e+13
800,4.7590,4.9833,6.71e+13
800,4.9245,4.9833,6.71e+13
800,5.0162,4.9833,6.71e+13
800,5.0829,4.9833,6.71e+13
800,5.1051,4.9833,6.71e+13
800,5.0015,4.9833,6.71e+13
800,5.1411,4.9833,6.71e+13
850,4.9378,4.9542,7.13e+13
850,4.9378,4.9542,7.13e+13
850,5.0305,4.9542,7.13e+13
850,4.9270,4.9542,7.13e+13
850,4.8986,4.9542,7.13e+13
850,4.8530,4.9542,7.13e+13
850,4.9625,4.9542,7.13e+13
850,5.0367,4.9542,7.13e+13
850,4.9761,4.9542,7.13e+13
850,5.0881,4.9542,7.13e+13
850,4.9671,4.9542,7.13e+13
850,4.8918,4.9542,7.13e+13
850,4.9723,4.9542,7.13e+13
850,4.7731,4.9542,7.13e+13
850,4.8905,4.9542,7.13e+13
850,5.0059,4.9542,7.13e+13
850,5.1088,4.9542,7.13e+13
900,4.9813,4.9303,7.55e+13
900,4.9813,4.9303,7.55e+13
900,5.0450,4.9303,7.55e+13
900,4.8418,4.9303,7.55e+13
900,5.0264,4.9303,7.55e+13
900,4.9906,4.9303,7.55e+13
900,4.7727,4.9303,7.55e+13
900,4.9486,4.9303,7.55e+13
900,4.8797,4.9303,7.55e+13
900,4.9343,4.9303,7.55e+13
900,4.8663,4.9303,7.55e+13
900,4.8510,4.9303,7.55e+13
900,4.8201,4.9303,7.55e+13
900,4.9578,4.9303,7.55e+13
900,4.9354,4.9303,7.55e+13
900,4.9475,4.9303,7.55e+13
900,4.8912,4.9303,7.55e+13
950,4.8562,4.9064,7.97e+13
950,4.8562,4.9064,7.97e+13
950,4.9463,4.9064,7.97e+13
950,5.0836,4.9064,7.97e+13
950,4.8763,4.9064,7.97e+13
950,4.9772,4.9064,7.97e+13
950,4.7391,4.9064,7.97e+13
950,4.9138,4.9064,7.97e+13
950,4.8668,4.9064,7.97e+13
950,4.8695,4.9064,7.97e+13
950,4.8800,4.9064,7.97e+13
950,4.8821,4.9064,7.97e+13
950,4.8764,4.9064,7.97e+13
950,4.9321,4.9064,7.97e+13
950,4.8301,4.9064,7.97e+13
950,4.8214,4.9064,7.97e+13
950,4.8977,4.9064,7.97e+13
1000,4.7768,4.8850,8.39e+13
1000,4.7768,4.8850,8.39e+13
1000,4.7313,4.8850,8.39e+13
1000,4.8980,4.8850,8.39e+13
1000,4.9075,4.8850,8.39e+13
1000,4.8842,4.8850,8.39e+13
1000,4.9565,4.8850,8.39e+13
1000,4.8975,4.8850,8.39e+13
1000,4.9280,4.8850,8.39e+13
1000,4.8648,4.8850,8.39e+13
1000,4.6926,4.8850,8.39e+13
1000,4.9466,4.8850,8.39e+13
1000,4.7691,4.8850,8.39e+13
1000,4.9457,4.8850,8.39e+13
1000,5.0727,4.8850,8.39e+13
1000,4.8956,4.8850,8.39e+13
1000,4.7818,4.8850,8.39e+13
1050,4.9308,4.8683,8.81e+13
1050,4.9308,4.8683,8.81e+13
1050,4.9629,4.8683,8.81e+13
1050,4.8750,4.8683,8.81e+13
1050,4.9165,4.8683,8.81e+13
1050,5.0213,4.8683,8.81e+13
1050,4.8493,4.8683,8.81e+13
1050,4.9014,4.8683,8.81e+13
1050,4.8113,4.8683,8.81e+13
1050,4.8574,4.8683,8.81e+13
1050,4.9229,4.8683,8.81e+13
1050,4.6897,4.8683,8.81e+13
1050,4.9193,4.8683,8.81e+13
1050,4.9925,4.8683,8.81e+13
1050,4.9282,4.8683,8.81e+13
1050,4.7766,4.8683,8.81e+13
1050,4.8430,4.8683,8.81e+13
1100,4.7781,4.8500,9.23e+13
1100,4.7781,4.8500,9.23e+13
1100,4.8451,4.8500,9.23e+13
