step,training_loss,validation_loss,total_flops_profiler
0,10.8287,10.8280,0.00e+00
0,10.8273,10.8280,0.00e+00
0,10.8290,10.8280,0.00e+00
0,10.8287,10.8280,0.00e+00
0,10.8289,10.8280,0.00e+00
0,10.8307,10.8280,0.00e+00
0,10.8289,10.8280,0.00e+00
0,10.8279,10.8280,0.00e+00
0,10.8283,10.8280,0.00e+00
0,10.8271,10.8280,0.00e+00
0,10.8276,10.8280,0.00e+00
0,10.8276,10.8280,0.00e+00
0,10.8280,10.8280,0.00e+00
0,10.8293,10.8280,0.00e+00
0,10.8303,10.8280,0.00e+00
50,10.8197,10.8180,4.19e+12
50,10.8197,10.8180,4.19e+12
50,10.8177,10.8180,4.19e+12
50,10.8190,10.8180,4.19e+12
50,10.8185,10.8180,4.19e+12
50,10.8165,10.8180,4.19e+12
50,10.8190,10.8180,4.19e+12
50,10.8157,10.8180,4.19e+12
50,10.8186,10.8180,4.19e+12
50,10.8182,10.8180,4.19e+12
50,10.8191,10.8180,4.19e+12
50,10.8193,10.8180,4.19e+12
50,10.8184,10.8180,4.19e+12
50,10.8183,10.8180,4.19e+12
50,10.8183,10.8180,4.19e+12
50,10.8165,10.8180,4.19e+12
50,10.8202,10.8180,4.19e+12
100,10.7692,10.7687,8.39e+12
100,10.7692,10.7687,8.39e+12
100,10.7702,10.7687,8.39e+12
100,10.7754,10.7687,8.39e+12
100,10.7695,10.7687,8.39e+12
100,10.7698,10.7687,8.39e+12
100,10.7682,10.7687,8.39e+12
100,10.7653,10.7687,8.39e+12
100,10.7698,10.7687,8.39e+12
100,10.7704,10.7687,8.39e+12
100,10.7663,10.7687,8.39e+12
100,10.7710,10.7687,8.39e+12
100,10.7692,10.7687,8.39e+12
100,10.7693,10.7687,8.39e+12
100,10.7707,10.7687,8.39e+12
100,10.7708,10.7687,8.39e+12
100,10.7687,10.7687,8.39e+12
150,10.6482,10.6486,1.26e+13
150,10.6482,10.6486,1.26e+13
150,10.6491,10.6486,1.26e+13
150,10.6477,10.6486,1.26e+13
150,10.6541,10.6486,1.26e+13
150,10.6467,10.6486,1.26e+13
150,10.6492,10.6486,1.26e+13
150,10.6484,10.6486,1.26e+13
150,10.6509,10.6486,1.26e+13
150,10.6534,10.6486,1.26e+13
150,10.6411,10.6486,1.26e+13
150,10.6460,10.6486,1.26e+13
150,10.6482,10.6486,1.26e+13
150,10.6464,10.6486,1.26e+13
150,10.6508,10.6486,1.26e+13
150,10.6492,10.6486,1.26e+13
150,10.6471,10.6486,1.26e+13
200,10.5343,10.5276,1.68e+13
200,10.5343,10.5276,1.68e+13
200,10.5252,10.5276,1.68e+13
200,10.5236,10.5276,1.68e+13
200,10.5384,10.5276,1.68e+13
200,10.5284,10.5276,1.68e+13
200,10.5261,10.5276,1.68e+13
200,10.5219,10.5276,1.68e+13
200,10.5352,10.5276,1.68e+13
200,10.5246,10.5276,1.68e+13
200,10.5303,10.5276,1.68e+13
200,10.5269,10.5276,1.68e+13
200,10.5269,10.5276,1.68e+13
200,10.5341,10.5276,1.68e+13
200,10.5292,10.5276,1.68e+13
200,10.5251,10.5276,1.68e+13
200,10.5212,10.5276,1.68e+13
250,10.4227,10.4302,2.10e+13
250,10.4227,10.4302,2.10e+13
250,10.4293,10.4302,2.10e+13
250,10.4327,10.4302,2.10e+13
250,10.4355,10.4302,2.10e+13
250,10.4270,10.4302,2.10e+13
250,10.4278,10.4302,2.10e+13
250,10.4289,10.4302,2.10e+13
250,10.4371,10.4302,2.10e+13
250,10.4346,10.4302,2.10e+13
250,10.4334,10.4302,2.10e+13
250,10.4416,10.4302,2.10e+13
250,10.4254,10.4302,2.10e+13
250,10.4306,10.4302,2.10e+13
250,10.4328,10.4302,2.10e+13
250,10.4310,10.4302,2.10e+13
250,10.4299,10.4302,2.10e+13
300,10.3470,10.3488,2.52e+13
300,10.3470,10.3488,2.52e+13
300,10.3626,10.3488,2.52e+13
300,10.3499,10.3488,2.52e+13
300,10.3559,10.3488,2.52e+13
300,10.3404,10.3488,2.52e+13
300,10.3513,10.3488,2.52e+13
300,10.3518,10.3488,2.52e+13
300,10.3513,10.3488,2.52e+13
300,10.3530,10.3488,2.52e+13
300,10.3488,10.3488,2.52e+13
300,10.3465,10.3488,2.52e+13
300,10.3404,10.3488,2.52e+13
300,10.3553,10.3488,2.52e+13
300,10.3530,10.3488,2.52e+13
300,10.3483,10.3488,2.52e+13
300,10.3532,10.3488,2.52e+13
350,10.2856,10.2780,2.94e+13
350,10.2856,10.2780,2.94e+13
350,10.2779,10.2780,2.94e+13
350,10.2998,10.2780,2.94e+13
350,10.2947,10.2780,2.94e+13
350,10.2758,10.2780,2.94e+13
350,10.2799,10.2780,2.94e+13
350,10.2734,10.2780,2.94e+13
350,10.2742,10.2780,2.94e+13
350,10.2737,10.2780,2.94e+13
350,10.2805,10.2780,2.94e+13
350,10.2616,10.2780,2.94e+13
350,10.2721,10.2780,2.94e+13
350,10.2751,10.2780,2.94e+13
350,10.2770,10.2780,2.94e+13
350,10.2770,10.2780,2.94e+13
350,10.2756,10.2780,2.94e+13
400,10.2193,10.2149,3.36e+13
400,10.2193,10.2149,3.36e+13
400,10.2077,10.2149,3.36e+13
400,10.2052,10.2149,3.36e+13
400,10.2123,10.2149,3.36e+13
400,10.2142,10.2149,3.36e+13
400,10.2138,10.2149,3.36e+13
400,10.2108,10.2149,3.36e+13
400,10.2216,10.2149,3.36e+13
400,10.2204,10.2149,3.36e+13
400,10.2122,10.2149,3.36e+13
400,10.2160,10.2149,3.36e+13
400,10.2147,10.2149,3.36e+13
400,10.2217,10.2149,3.36e+13
400,10.2230,10.2149,3.36e+13
400,10.2296,10.2149,3.36e+13
400,10.2120,10.2149,3.36e+13
450,10.1478,10.1577,3.78e+13
450,10.1478,10.1577,3.78e+13
450,10.1641,10.1577,3.78e+13
450,10.1645,10.1577,3.78e+13
450,10.1700,10.1577,3.78e+13
450,10.1521,10.1577,3.78e+13
450,10.1575,10.1577,3.78e+13
450,10.1484,10.1577,3.78e+13
450,10.1516,10.1577,3.78e+13
450,10.1765,10.1577,3.78e+13
450,10.1595,10.1577,3.78e+13
450,10.1575,10.1577,3.78e+13
450,10.1599,10.1577,3.78e+13
450,10.1533,10.1577,3.78e+13
450,10.1581,10.1577,3.78e+13
450,10.1528,10.1577,3.78e+13
450,10.1552,10.1577,3.78e+13
500,10.1074,10.1052,4.19e+13
500,10.1074,10.1052,4.19e+13
500,10.1113,10.1052,4.19e+13
500,10.0993,10.1052,4.19e+13
500,10.1003,10.1052,4.19e+13
500,10.1070,10.1052,4.19e+13
500,10.1096,10.1052,4.19e+13
500,10.1121,10.1052,4.19e+13
500,10.1053,10.1052,4.19e+13
500,10.0975,10.1052,4.19e+13
500,10.1040,10.1052,4.19e+13
500,10.0956,10.1052,4.19e+13
500,10.0837,10.1052,4.19e+13
500,10.1059,10.1052,4.19e+13
500,10.1104,10.1052,4.19e+13
500,10.1083,10.1052,4.19e+13
500,10.1080,10.1052,4.19e+13
550,10.0467,10.0566,4.61e+13
550,10.0467,10.0566,4.61e+13
550,10.0613,10.0566,4.61e+13
550,10.0706,10.0566,4.61e+13
550,10.0413,10.0566,4.61e+13
550,10.0454,10.0566,4.61e+13
550,10.0400,10.0566,4.61e+13
550,10.0558,10.0566,4.61e+13
550,10.0579,10.0566,4.61e+13
550,10.0598,10.0566,4.61e+13
550,10.0589,10.0566,4.61e+13
550,10.0517,10.0566,4.61e+13
550,10.0505,10.0566,4.61e+13
550,10.0572,10.0566,4.61e+13
550,10.0463,10.0566,4.61e+13
550,10.0561,10.0566,4.61e+13
550,10.0451,10.0566,4.61e+13
600,10.0139,10.0111,5.03e+13
600,10.0139,10.0111,5.03e+13
600,10.0089,10.0111,5.03e+13
600,10.0067,10.0111,5.03e+13
600,9.9980,10.0111,5.03e+13
600,10.0000,10.0111,5.03e+13
600,10.0052,10.0111,5.03e+13
600,10.0026,10.0111,5.03e+13
600,10.0176,10.0111,5.03e+13
600,10.0194,10.0111,5.03e+13
600,10.0022,10.0111,5.03e+13
600,9.9860,10.0111,5.03e+13
600,10.0205,10.0111,5.03e+13
600,10.0244,10.0111,5.03e+13
600,10.0109,10.0111,5.03e+13
600,10.0177,10.0111,5.03e+13
600,10.0039,10.0111,5.03e+13
650,9.9612,9.9683,5.45e+13
650,9.9612,9.9683,5.45e+13
650,9.9760,9.9683,5.45e+13
650,9.9753,9.9683,5.45e+13
650,9.9770,9.9683,5.45e+13
650,9.9791,9.9683,5.45e+13
650,9.9560,9.9683,5.45e+13
650,9.9521,9.9683,5.45e+13
650,9.9612,9.9683,5.45e+13
650,9.9677,9.9683,5.45e+13
650,9.9572,9.9683,5.45e+13
650,9.9663,9.9683,5.45e+13
650,9.9664,9.9683,5.45e+13
650,9.9552,9.9683,5.45e+13
650,9.9757,9.9683,5.45e+13
650,9.9624,9.9683,5.45e+13
650,9.9799,9.9683,5.45e+13
700,9.9332,9.9278,5.87e+13
700,9.9332,9.9278,5.87e+13
700,9.9138,9.9278,5.87e+13
700,9.9328,9.9278,5.87e+13
700,9.9359,9.9278,5.87e+13
700,9.9359,9.9278,5.87e+13
700,9.9172,9.9278,5.87e+13
700,9.9404,9.9278,5.87e+13
700,9.9159,9.9278,5.87e+13
700,9.9218,9.9278,5.87e+13
700,9.9198,9.9278,5.87e+13
700,9.9284,9.9278,5.87e+13
700,9.9207,9.9278,5.87e+13
700,9.9323,9.9278,5.87e+13
700,9.9173,9.9278,5.87e+13
700,9.9165,9.9278,5.87e+13
700,9.9232,9.9278,5.87e+13
750,9.8917,9.8895,6.29e+13
750,9.8917,9.8895,6.29e+13
750,9.8827,9.8895,6.29e+13
750,9.8778,9.8895,6.29e+13
750,9.8654,9.8895,6.29e+13
750,9.8840,9.8895,6.29e+13
750,9.8992,9.8895,6.29e+13
750,9.9132,9.8895,6.29e+13
750,9.8816,9.8895,6.29e+13
750,9.8846,9.8895,6.29e+13
750,9.8889,9.8895,6.29e+13
750,9.8913,9.8895,6.29e+13
750,9.9008,9.8895,6.29e+13
750,9.8784,9.8895,6.29e+13
750,9.8817,9.8895,6.29e+13
750,9.8847,9.8895,6.29e+13
750,9.8830,9.8895,6.29e+13
800,9.8515,9.8530,6.71e+13
800,9.8515,9.8530,6.71e+13
800,9.8528,9.8530,6.71e+13
800,9.8425,9.8530,6.71e+13
800,9.8406,9.8530,6.71e+13
800,9.8459,9.8530,6.71e+13
800,9.8556,9.8530,6.71e+13
800,9.8627,9.8530,6.71e+13
800,9.8587,9.8530,6.71e+13
800,9.8638,9.8530,6.71e+13
800,9.8433,9.8530,6.71e+13
800,9.8577,9.8530,6.71e+13
800,9.8529,9.8530,6.71e+13
800,9.8586,9.8530,6.71e+13
800,9.8624,9.8530,6.71e+13
800,9.8576,9.8530,6.71e+13
800,9.8656,9.8530,6.71e+13
850,9.8203,9.8181,7.13e+13
850,9.8203,9.8181,7.13e+13
850,9.8306,9.8181,7.13e+13
850,9.8144,9.8181,7.13e+13
850,9.8106,9.8181,7.13e+13
850,9.8103,9.8181,7.13e+13
850,9.8231,9.8181,7.13e+13
850,9.8413,9.8181,7.13e+13
850,9.8182,9.8181,7.13e+13
850,9.8307,9.8181,7.13e+13
850,9.8060,9.8181,7.13e+13
850,9.8010,9.8181,7.13e+13
850,9.8303,9.8181,7.13e+13
850,9.8003,9.8181,7.13e+13
850,9.8044,9.8181,7.13e+13
850,9.8246,9.8181,7.13e+13
850,9.8305,9.8181,7.13e+13
900,9.7980,9.7846,7.55e+13
900,9.7980,9.7846,7.55e+13
900,9.7821,9.7846,7.55e+13
900,9.7598,9.7846,7.55e+13
900,9.7971,9.7846,7.55e+13
900,9.7940,9.7846,7.55e+13
900,9.7677,9.7846,7.55e+13
900,9.7970,9.7846,7.55e+13
900,9.7921,9.7846,7.55e+13
900,9.7742,9.7846,7.55e+13
900,9.7958,9.7846,7.55e+13
900,9.7715,9.7846,7.55e+13
900,9.7804,9.7846,7.55e+13
900,9.7975,9.7846,7.55e+13
900,9.7883,9.7846,7.55e+13
900,9.7849,9.7846,7.55e+13
900,9.7719,9.7846,7.55e+13
950,9.7464,9.7525,7.97e+13
950,9.7464,9.7525,7.97e+13
950,9.7783,9.7525,7.97e+13
950,9.7845,9.7525,7.97e+13
950,9.7422,9.7525,7.97e+13
950,9.7621,9.7525,7.97e+13
950,9.7249,9.7525,7.97e+13
950,9.7502,9.7525,7.97e+13
950,9.7495,9.7525,7.97e+13
950,9.7527,9.7525,7.97e+13
950,9.7541,9.7525,7.97e+13
950,9.7497,9.7525,7.97e+13
950,9.7649,9.7525,7.97e+13
950,9.7590,9.7525,7.97e+13
950,9.7470,9.7525,7.97e+13
950,9.7647,9.7525,7.97e+13
950,9.7548,9.7525,7.97e+13
1000,9.7086,9.7216,8.39e+13
1000,9.7086,9.7216,8.39e+13
1000,9.6953,9.7216,8.39e+13
1000,9.7265,9.7216,8.39e+13
1000,9.7188,9.7216,8.39e+13
1000,9.7403,9.7216,8.39e+13
1000,9.7176,9.7216,8.39e+13
1000,9.7312,9.7216,8.39e+13
1000,9.7198,9.7216,8.39e+13
1000,9.7249,9.7216,8.39e+13
1000,9.7070,9.7216,8.39e+13
1000,9.7282,9.7216,8.39e+13
1000,9.7152,9.7216,8.39e+13
1000,9.7293,9.7216,8.39e+13
1000,9.7314,9.7216,8.39e+13
1000,9.7288,9.7216,8.39e+13
1000,9.7139,9.7216,8.39e+13
1050,9.7036,9.6917,8.81e+13
1050,9.7036,9.6917,8.81e+13
1050,9.6910,9.6917,8.81e+13
1050,9.7007,9.6917,8.81e+13
1050,9.6870,9.6917,8.81e+13
1050,9.7025,9.6917,8.81e+13
1050,9.6835,9.6917,8.81e+13
1050,9.6933,9.6917,8.81e+13
1050,9.6760,9.6917,8.81e+13
1050,9.6817,9.6917,8.81e+13
1050,9.7065,9.6917,8.81e+13
1050,9.6797,9.6917,8.81e+13
1050,9.6883,9.6917,8.81e+13
1050,9.6995,9.6917,8.81e+13
1050,9.7061,9.6917,8.81e+13
1050,9.6936,9.6917,8.81e+13
1050,9.6692,9.6917,8.81e+13
1100,9.6614,9.6629,9.23e+13
1100,9.6614,9.6629,9.23e+13
1100,9.6630,9.6629,9.23e+13
