step,training_loss,validation_loss,total_flops_profiler
0,10.8188,10.8172,0.00e+00
0,10.8158,10.8172,0.00e+00
0,10.8181,10.8172,0.00e+00
0,10.8183,10.8172,0.00e+00
0,10.8174,10.8172,0.00e+00
0,10.8156,10.8172,0.00e+00
0,10.8176,10.8172,0.00e+00
0,10.8178,10.8172,0.00e+00
0,10.8168,10.8172,0.00e+00
0,10.8162,10.8172,0.00e+00
0,10.8185,10.8172,0.00e+00
0,10.8163,10.8172,0.00e+00
0,10.8170,10.8172,0.00e+00
0,10.8166,10.8172,0.00e+00
0,10.8169,10.8172,0.00e+00
50,8.9205,8.8500,2.02e+12
50,8.9205,8.8500,2.02e+12
50,8.8827,8.8500,2.02e+12
50,8.8744,8.8500,2.02e+12
50,8.8878,8.8500,2.02e+12
50,8.8502,8.8500,2.02e+12
50,8.8859,8.8500,2.02e+12
50,8.8233,8.8500,2.02e+12
50,8.8546,8.8500,2.02e+12
50,8.8418,8.8500,2.02e+12
50,8.8356,8.8500,2.02e+12
50,8.8257,8.8500,2.02e+12
50,8.9070,8.8500,2.02e+12
50,8.8724,8.8500,2.02e+12
50,8.8791,8.8500,2.02e+12
50,8.8271,8.8500,2.02e+12
50,8.8212,8.8500,2.02e+12
100,7.6556,7.6800,4.04e+12
100,7.6556,7.6800,4.04e+12
100,7.6256,7.6800,4.04e+12
100,7.6740,7.6800,4.04e+12
100,7.7361,7.6800,4.04e+12
100,7.7332,7.6800,4.04e+12
100,7.6792,7.6800,4.04e+12
100,7.6664,7.6800,4.04e+12
100,7.7011,7.6800,4.04e+12
100,7.6677,7.6800,4.04e+12
100,7.7378,7.6800,4.04e+12
100,7.6361,7.6800,4.04e+12
100,7.6274,7.6800,4.04e+12
100,7.6691,7.6800,4.04e+12
100,7.7111,7.6800,4.04e+12
100,7.6378,7.6800,4.04e+12
100,7.7176,7.6800,4.04e+12
150,7.2123,7.2328,6.07e+12
150,7.2123,7.2328,6.07e+12
150,7.2907,7.2328,6.07e+12
150,7.2261,7.2328,6.07e+12
150,7.2664,7.2328,6.07e+12
150,7.2242,7.2328,6.07e+12
150,7.1356,7.2328,6.07e+12
150,7.2726,7.2328,6.07e+12
150,7.2463,7.2328,6.07e+12
150,7.2918,7.2328,6.07e+12
150,7.2192,7.2328,6.07e+12
150,7.2406,7.2328,6.07e+12
150,7.1844,7.2328,6.07e+12
150,7.1654,7.2328,6.07e+12
150,7.1703,7.2328,6.07e+12
150,7.3003,7.2328,6.07e+12
