step,training_loss,validation_loss,total_flops_profiler
0,10.8249,10.8238,0.00e+00
0,10.8218,10.8238,0.00e+00
0,10.8231,10.8238,0.00e+00
0,10.8243,10.8238,0.00e+00
0,10.8251,10.8238,0.00e+00
0,10.8224,10.8238,0.00e+00
0,10.8240,10.8238,0.00e+00
0,10.8238,10.8238,0.00e+00
0,10.8236,10.8238,0.00e+00
0,10.8244,10.8238,0.00e+00
0,10.8245,10.8238,0.00e+00
0,10.8228,10.8238,0.00e+00
0,10.8230,10.8238,0.00e+00
0,10.8246,10.8238,0.00e+00
0,10.8242,10.8238,0.00e+00
50,10.7414,10.7369,2.02e+12
50,10.7414,10.7369,2.02e+12
50,10.7350,10.7369,2.02e+12
50,10.7384,10.7369,2.02e+12
50,10.7393,10.7369,2.02e+12
50,10.7364,10.7369,2.02e+12
50,10.7346,10.7369,2.02e+12
50,10.7381,10.7369,2.02e+12
50,10.7403,10.7369,2.02e+12
50,10.7379,10.7369,2.02e+12
50,10.7344,10.7369,2.02e+12
50,10.7325,10.7369,2.02e+12
50,10.7375,10.7369,2.02e+12
50,10.7391,10.7369,2.02e+12
50,10.7392,10.7369,2.02e+12
50,10.7396,10.7369,2.02e+12
50,10.7387,10.7369,2.02e+12
100,10.6435,10.6391,4.04e+12
100,10.6435,10.6391,4.04e+12
100,10.6373,10.6391,4.04e+12
100,10.6294,10.6391,4.04e+12
100,10.6485,10.6391,4.04e+12
100,10.6359,10.6391,4.04e+12
100,10.6395,10.6391,4.04e+12
100,10.6391,10.6391,4.04e+12
100,10.6378,10.6391,4.04e+12
100,10.6409,10.6391,4.04e+12
100,10.6381,10.6391,4.04e+12
100,10.6339,10.6391,4.04e+12
100,10.6330,10.6391,4.04e+12
100,10.6419,10.6391,4.04e+12
100,10.6320,10.6391,4.04e+12
100,10.6397,10.6391,4.04e+12
100,10.6341,10.6391,4.04e+12
150,10.5663,10.5547,6.07e+12
150,10.5663,10.5547,6.07e+12
150,10.5588,10.5547,6.07e+12
150,10.5524,10.5547,6.07e+12
150,10.5560,10.5547,6.07e+12
150,10.5575,10.5547,6.07e+12
150,10.5547,10.5547,6.07e+12
150,10.5637,10.5547,6.07e+12
150,10.5622,10.5547,6.07e+12
