step,training_loss,validation_loss,total_flops_profiler
0,10.7718,10.7683,0.00e+00
0,10.7678,10.7683,0.00e+00
0,10.7651,10.7683,0.00e+00
0,10.7744,10.7683,0.00e+00
0,10.7674,10.7683,0.00e+00
0,10.7647,10.7683,0.00e+00
0,10.7668,10.7683,0.00e+00
0,10.7694,10.7683,0.00e+00
0,10.7668,10.7683,0.00e+00
0,10.7663,10.7683,0.00e+00
0,10.7659,10.7683,0.00e+00
0,10.7742,10.7683,0.00e+00
0,10.7660,10.7683,0.00e+00
0,10.7639,10.7683,0.00e+00
0,10.7700,10.7683,0.00e+00
50,6.9645,6.8876,6.75e+12
50,6.9645,6.8876,6.75e+12
50,6.8850,6.8876,6.75e+12
50,6.8638,6.8876,6.75e+12
50,6.9626,6.8876,6.75e+12
50,6.9502,6.8876,6.75e+12
50,6.7718,6.8876,6.75e+12
50,6.8769,6.8876,6.75e+12
50,6.9169,6.8876,6.75e+12
50,6.9266,6.8876,6.75e+12
50,6.7849,6.8876,6.75e+12
50,6.8515,6.8876,6.75e+12
50,6.9150,6.8876,6.75e+12
50,6.8317,6.8876,6.75e+12
50,6.8147,6.8876,6.75e+12
50,6.8400,6.8876,6.75e+12
50,6.8894,6.8876,6.75e+12
100,6.3318,6.3654,1.35e+13
100,6.3318,6.3654,1.35e+13
100,6.2613,6.3654,1.35e+13
100,6.3864,6.3654,1.35e+13
100,6.3261,6.3654,1.35e+13
100,6.3831,6.3654,1.35e+13
100,6.4444,6.3654,1.35e+13
100,6.2270,6.3654,1.35e+13
100,6.4198,6.3654,1.35e+13
100,6.2821,6.3654,1.35e+13
100,6.3415,6.3654,1.35e+13
100,6.3645,6.3654,1.35e+13
100,6.2974,6.3654,1.35e+13
100,6.3443,6.3654,1.35e+13
100,6.3682,6.3654,1.35e+13
100,6.2832,6.3654,1.35e+13
100,6.3660,6.3654,1.35e+13
150,5.9765,6.0221,2.02e+13
150,5.9765,6.0221,2.02e+13
150,5.9388,6.0221,2.02e+13
150,6.0603,6.0221,2.02e+13
150,5.9813,6.0221,2.02e+13
150,5.9541,6.0221,2.02e+13
150,6.1815,6.0221,2.02e+13
150,6.0178,6.0221,2.02e+13
150,6.0199,6.0221,2.02e+13
150,5.9989,6.0221,2.02e+13
150,6.1620,6.0221,2.02e+13
150,5.9609,6.0221,2.02e+13
150,5.9899,6.0221,2.02e+13
150,6.0256,6.0221,2.02e+13
150,5.9710,6.0221,2.02e+13
150,6.0690,6.0221,2.02e+13
150,5.9992,6.0221,2.02e+13
200,5.6991,5.7831,2.70e+13
200,5.6991,5.7831,2.70e+13
200,5.6451,5.7831,2.70e+13
200,5.7215,5.7831,2.70e+13
200,5.8867,5.7831,2.70e+13
200,5.7333,5.7831,2.70e+13
200,5.7968,5.7831,2.70e+13
200,5.7222,5.7831,2.70e+13
200,5.8541,5.7831,2.70e+13
200,5.6094,5.7831,2.70e+13
200,5.9312,5.7831,2.70e+13
200,5.8004,5.7831,2.70e+13
200,5.7850,5.7831,2.70e+13
200,5.8639,5.7831,2.70e+13
200,5.8080,5.7831,2.70e+13
200,5.7502,5.7831,2.70e+13
200,5.6966,5.7831,2.70e+13
250,5.5855,5.6043,3.37e+13
250,5.5855,5.6043,3.37e+13
250,5.6456,5.6043,3.37e+13
250,5.6791,5.6043,3.37e+13
250,5.6172,5.6043,3.37e+13
250,5.6168,5.6043,3.37e+13
250,5.5539,5.6043,3.37e+13
250,5.6708,5.6043,3.37e+13
250,5.7991,5.6043,3.37e+13
250,5.5616,5.6043,3.37e+13
250,5.6974,5.6043,3.37e+13
250,5.6948,5.6043,3.37e+13
250,5.4018,5.6043,3.37e+13
250,5.5787,5.6043,3.37e+13
250,5.5888,5.6043,3.37e+13
250,5.5572,5.6043,3.37e+13
250,5.5654,5.6043,3.37e+13
300,5.4491,5.4458,4.05e+13
300,5.4491,5.4458,4.05e+13
300,5.5188,5.4458,4.05e+13
300,5.5124,5.4458,4.05e+13
300,5.5266,5.4458,4.05e+13
300,5.5185,5.4458,4.05e+13
300,5.5047,5.4458,4.05e+13
300,5.4837,5.4458,4.05e+13
300,5.3445,5.4458,4.05e+13
300,5.3504,5.4458,4.05e+13
300,5.5641,5.4458,4.05e+13
300,5.3929,5.4458,4.05e+13
300,5.5000,5.4458,4.05e+13
300,5.6031,5.4458,4.05e+13
300,5.5008,5.4458,4.05e+13
300,5.4006,5.4458,4.05e+13
300,5.4232,5.4458,4.05e+13
350,5.3325,5.3176,4.72e+13
350,5.3325,5.3176,4.72e+13
350,5.4768,5.3176,4.72e+13
350,5.4451,5.3176,4.72e+13
