step,training_loss,validation_loss,total_flops_profiler
0,10.8076,10.8066,0.00e+00
0,10.8049,10.8066,0.00e+00
0,10.8061,10.8066,0.00e+00
0,10.8055,10.8066,0.00e+00
0,10.8064,10.8066,0.00e+00
0,10.8065,10.8066,0.00e+00
0,10.8076,10.8066,0.00e+00
0,10.8070,10.8066,0.00e+00
0,10.8051,10.8066,0.00e+00
0,10.8060,10.8066,0.00e+00
0,10.8073,10.8066,0.00e+00
0,10.8053,10.8066,0.00e+00
0,10.8074,10.8066,0.00e+00
0,10.8068,10.8066,0.00e+00
0,10.8063,10.8066,0.00e+00
50,8.8892,8.8680,2.02e+12
50,8.8892,8.8680,2.02e+12
50,8.8798,8.8680,2.02e+12
50,8.9001,8.8680,2.02e+12
50,8.8441,8.8680,2.02e+12
50,8.8876,8.8680,2.02e+12
50,8.8271,8.8680,2.02e+12
50,8.8992,8.8680,2.02e+12
50,8.9149,8.8680,2.02e+12
50,8.8611,8.8680,2.02e+12
50,8.8095,8.8680,2.02e+12
50,8.8780,8.8680,2.02e+12
50,8.8738,8.8680,2.02e+12
50,8.8846,8.8680,2.02e+12
50,8.8511,8.8680,2.02e+12
50,8.8659,8.8680,2.02e+12
50,8.8142,8.8680,2.02e+12
100,7.7251,7.7208,4.04e+12
100,7.7251,7.7208,4.04e+12
100,7.7016,7.7208,4.04e+12
100,7.7462,7.7208,4.04e+12
100,7.7001,7.7208,4.04e+12
100,7.7077,7.7208,4.04e+12
100,7.6756,7.7208,4.04e+12
100,7.6515,7.7208,4.04e+12
100,7.7474,7.7208,4.04e+12
100,7.6533,7.7208,4.04e+12
100,7.7539,7.7208,4.04e+12
100,7.6486,7.7208,4.04e+12
100,7.7278,7.7208,4.04e+12
100,7.7296,7.7208,4.04e+12
100,7.7720,7.7208,4.04e+12
100,7.6546,7.7208,4.04e+12
100,7.7796,7.7208,4.04e+12
150,7.2898,7.2623,6.07e+12
150,7.2898,7.2623,6.07e+12
150,7.2139,7.2623,6.07e+12
150,7.2568,7.2623,6.07e+12
150,7.2665,7.2623,6.07e+12
150,7.2543,7.2623,6.07e+12
150,7.2586,7.2623,6.07e+12
150,7.3107,7.2623,6.07e+12
150,7.2289,7.2623,6.07e+12
150,7.3082,7.2623,6.07e+12
150,7.2322,7.2623,6.07e+12
150,7.2353,7.2623,6.07e+12
150,7.2704,7.2623,6.07e+12
150,7.2473,7.2623,6.07e+12
150,7.2150,7.2623,6.07e+12
150,7.2695,7.2623,6.07e+12
