step,training_loss,validation_loss,total_flops_profiler
0,10.8020,10.8012,0.00e+00
0,10.7999,10.8012,0.00e+00
0,10.8009,10.8012,0.00e+00
0,10.7999,10.8012,0.00e+00
0,10.8006,10.8012,0.00e+00
0,10.8018,10.8012,0.00e+00
0,10.8022,10.8012,0.00e+00
0,10.8014,10.8012,0.00e+00
0,10.7993,10.8012,0.00e+00
0,10.8008,10.8012,0.00e+00
0,10.8016,10.8012,0.00e+00
0,10.7995,10.8012,0.00e+00
0,10.8015,10.8012,0.00e+00
0,10.8016,10.8012,0.00e+00
0,10.8003,10.8012,0.00e+00
50,8.8956,8.8740,2.02e+12
50,8.8956,8.8740,2.02e+12
50,8.8861,8.8740,2.02e+12
50,8.9051,8.8740,2.02e+12
50,8.8502,8.8740,2.02e+12
50,8.8936,8.8740,2.02e+12
50,8.8336,8.8740,2.02e+12
50,8.9052,8.8740,2.02e+12
50,8.9213,8.8740,2.02e+12
50,8.8670,8.8740,2.02e+12
50,8.8160,8.8740,2.02e+12
50,8.8842,8.8740,2.02e+12
50,8.8800,8.8740,2.02e+12
50,8.8913,8.8740,2.02e+12
50,8.8572,8.8740,2.02e+12
50,8.8724,8.8740,2.02e+12
50,8.8203,8.8740,2.02e+12
100,7.7286,7.7241,4.04e+12
100,7.7286,7.7241,4.04e+12
100,7.7059,7.7241,4.04e+12
100,7.7487,7.7241,4.04e+12
100,7.7019,7.7241,4.04e+12
100,7.7098,7.7241,4.04e+12
100,7.6783,7.7241,4.04e+12
100,7.6537,7.7241,4.04e+12
100,7.7505,7.7241,4.04e+12
100,7.6566,7.7241,4.04e+12
100,7.7569,7.7241,4.04e+12
100,7.6530,7.7241,4.04e+12
100,7.7315,7.7241,4.04e+12
100,7.7332,7.7241,4.04e+12
100,7.7739,7.7241,4.04e+12
100,7.6579,7.7241,4.04e+12
100,7.7834,7.7241,4.04e+12
150,7.2929,7.2674,6.07e+12
150,7.2929,7.2674,6.07e+12
150,7.2203,7.2674,6.07e+12
150,7.2624,7.2674,6.07e+12
150,7.2718,7.2674,6.07e+12
150,7.2585,7.2674,6.07e+12
150,7.2654,7.2674,6.07e+12
150,7.3145,7.2674,6.07e+12
150,7.2324,7.2674,6.07e+12
150,7.3142,7.2674,6.07e+12
150,7.2366,7.2674,6.07e+12
150,7.2381,7.2674,6.07e+12
150,7.2746,7.2674,6.07e+12
150,7.2508,7.2674,6.07e+12
150,7.2201,7.2674,6.07e+12
150,7.2735,7.2674,6.07e+12
150,7.2869,7.2674,6.07e+12
200,6.8993,6.9750,8.09e+12
200,6.8993,6.9750,8.09e+12
200,6.9835,6.9750,8.09e+12
200,6.9872,6.9750,8.09e+12
200,6.9304,6.9750,8.09e+12
200,6.9362,6.9750,8.09e+12
200,7.0217,6.9750,8.09e+12
200,6.9552,6.9750,8.09e+12
200,7.0066,6.9750,8.09e+12
200,7.0049,6.9750,8.09e+12
200,7.0264,6.9750,8.09e+12
200,6.9403,6.9750,8.09e+12
200,6.9396,6.9750,8.09e+12
200,7.0165,6.9750,8.09e+12
200,6.9935,6.9750,8.09e+12
200,6.9237,6.9750,8.09e+12
200,6.9570,6.9750,8.09e+12
250,6.8461,6.7077,1.01e+13
250,6.8461,6.7077,1.01e+13
250,6.8006,6.7077,1.01e+13
250,6.7835,6.7077,1.01e+13
250,6.6241,6.7077,1.01e+13
250,6.7347,6.7077,1.01e+13
250,6.6769,6.7077,1.01e+13
250,6.7353,6.7077,1.01e+13
250,6.6486,6.7077,1.01e+13
250,6.6300,6.7077,1.01e+13
250,6.6858,6.7077,1.01e+13
250,6.6240,6.7077,1.01e+13
250,6.6862,6.7077,1.01e+13
250,6.7742,6.7077,1.01e+13
250,6.7497,6.7077,1.01e+13
250,6.6340,6.7077,1.01e+13
250,6.7678,6.7077,1.01e+13
300,6.4971,6.4857,1.21e+13
300,6.4971,6.4857,1.21e+13
300,6.4798,6.4857,1.21e+13
300,6.5021,6.4857,1.21e+13
300,6.3658,6.4857,1.21e+13
300,6.4897,6.4857,1.21e+13
300,6.5577,6.4857,1.21e+13
300,6.5548,6.4857,1.21e+13
300,6.4606,6.4857,1.21e+13
300,6.4282,6.4857,1.21e+13
300,6.4980,6.4857,1.21e+13
300,6.5243,6.4857,1.21e+13
300,6.4531,6.4857,1.21e+13
300,6.2994,6.4857,1.21e+13
300,6.4641,6.4857,1.21e+13
300,6.4486,6.4857,1.21e+13
300,6.4300,6.4857,1.21e+13
350,6.4019,6.3195,1.42e+13
350,6.4019,6.3195,1.42e+13
350,6.2422,6.3195,1.42e+13
350,6.4034,6.3195,1.42e+13
350,6.2300,6.3195,1.42e+13
350,6.3901,6.3195,1.42e+13
350,6.2610,6.3195,1.42e+13
350,6.2909,6.3195,1.42e+13
350,6.3440,6.3195,1.42e+13
350,6.2421,6.3195,1.42e+13
350,6.3385,6.3195,1.42e+13
350,6.4013,6.3195,1.42e+13
350,6.3006,6.3195,1.42e+13
350,6.2944,6.3195,1.42e+13
350,6.3449,6.3195,1.42e+13
350,6.3524,6.3195,1.42e+13
350,6.2363,6.3195,1.42e+13
400,6.2170,6.1999,1.62e+13
400,6.2170,6.1999,1.62e+13
400,6.1717,6.1999,1.62e+13
400,6.2515,6.1999,1.62e+13
400,6.2324,6.1999,1.62e+13
400,6.2960,6.1999,1.62e+13
400,6.3249,6.1999,1.62e+13
400,6.1780,6.1999,1.62e+13
400,6.2157,6.1999,1.62e+13
400,6.3122,6.1999,1.62e+13
400,6.2825,6.1999,1.62e+13
400,6.1190,6.1999,1.62e+13
400,6.2246,6.1999,1.62e+13
400,6.2089,6.1999,1.62e+13
400,6.1538,6.1999,1.62e+13
400,6.3200,6.1999,1.62e+13
400,6.0991,6.1999,1.62e+13
450,6.2249,6.1172,1.82e+13
450,6.2249,6.1172,1.82e+13
450,6.0522,6.1172,1.82e+13
450,6.1993,6.1172,1.82e+13
450,6.0731,6.1172,1.82e+13
450,6.1551,6.1172,1.82e+13
450,6.1724,6.1172,1.82e+13
450,6.1893,6.1172,1.82e+13
450,6.2738,6.1172,1.82e+13
450,6.1536,6.1172,1.82e+13
450,6.1265,6.1172,1.82e+13
450,6.1989,6.1172,1.82e+13
450,6.1636,6.1172,1.82e+13
450,6.1731,6.1172,1.82e+13
450,6.1159,6.1172,1.82e+13
450,5.9850,6.1172,1.82e+13
450,6.0546,6.1172,1.82e+13
500,6.0937,6.0545,2.02e+13
500,6.0937,6.0545,2.02e+13
500,6.2307,6.0545,2.02e+13
500,5.9680,6.0545,2.02e+13
500,5.8878,6.0545,2.02e+13
500,6.0632,6.0545,2.02e+13
500,6.0383,6.0545,2.02e+13
500,6.1294,6.0545,2.02e+13
500,5.9027,6.0545,2.02e+13
500,6.2107,6.0545,2.02e+13
500,6.0662,6.0545,2.02e+13
500,6.0458,6.0545,2.02e+13
500,6.0567,6.0545,2.02e+13
500,6.1659,6.0545,2.02e+13
500,6.1855,6.0545,2.02e+13
500,6.0469,6.0545,2.02e+13
500,6.0738,6.0545,2.02e+13
550,5.9314,6.0116,2.22e+13
550,5.9314,6.0116,2.22e+13
550,5.9841,6.0116,2.22e+13
550,5.9108,6.0116,2.22e+13
550,6.0491,6.0116,2.22e+13
550,6.0021,6.0116,2.22e+13
550,6.1119,6.0116,2.22e+13
550,5.9289,6.0116,2.22e+13
550,5.9487,6.0116,2.22e+13
550,6.0748,6.0116,2.22e+13
550,6.1736,6.0116,2.22e+13
550,5.8839,6.0116,2.22e+13
550,5.9100,6.0116,2.22e+13
550,5.9840,6.0116,2.22e+13
550,5.9583,6.0116,2.22e+13
550,5.9755,6.0116,2.22e+13
550,6.0599,6.0116,2.22e+13
600,5.9340,5.9821,2.43e+13
600,5.9340,5.9821,2.43e+13
600,5.9053,5.9821,2.43e+13
600,5.9928,5.9821,2.43e+13
600,5.9183,5.9821,2.43e+13
600,6.0732,5.9821,2.43e+13
600,6.0685,5.9821,2.43e+13
600,5.9936,5.9821,2.43e+13
600,5.9896,5.9821,2.43e+13
600,6.0459,5.9821,2.43e+13
600,5.8843,5.9821,2.43e+13
600,5.9018,5.9821,2.43e+13
600,5.9296,5.9821,2.43e+13
600,6.1208,5.9821,2.43e+13
600,5.9782,5.9821,2.43e+13
600,6.0853,5.9821,2.43e+13
600,6.0398,5.9821,2.43e+13
650,6.0794,5.9635,2.63e+13
650,6.0794,5.9635,2.63e+13
650,5.9368,5.9635,2.63e+13
650,5.8589,5.9635,2.63e+13
650,6.0472,5.9635,2.63e+13
650,5.9370,5.9635,2.63e+13
650,5.8122,5.9635,2.63e+13
650,6.1046,5.9635,2.63e+13
650,6.0041,5.9635,2.63e+13
650,6.0001,5.9635,2.63e+13
650,5.8106,5.9635,2.63e+13
650,6.0776,5.9635,2.63e+13
650,5.9393,5.9635,2.63e+13
650,6.0210,5.9635,2.63e+13
650,5.8577,5.9635,2.63e+13
650,5.9669,5.9635,2.63e+13
650,5.8393,5.9635,2.63e+13
700,5.8809,5.9531,2.83e+13
700,5.8809,5.9531,2.83e+13
700,5.8964,5.9531,2.83e+13
700,5.9116,5.9531,2.83e+13
700,6.0375,5.9531,2.83e+13
700,5.9694,5.9531,2.83e+13
700,5.9687,5.9531,2.83e+13
700,5.8607,5.9531,2.83e+13
700,5.9607,5.9531,2.83e+13
700,6.0125,5.9531,2.83e+13
700,6.0431,5.9531,2.83e+13
700,6.0565,5.9531,2.83e+13
700,5.8754,5.9531,2.83e+13
700,5.9736,5.9531,2.83e+13
700,6.0478,5.9531,2.83e+13
700,6.0025,5.9531,2.83e+13
700,5.8169,5.9531,2.83e+13
750,5.8994,5.9482,3.03e+13
750,5.8994,5.9482,3.03e+13
750,6.0007,5.9482,3.03e+13
750,5.9163,5.9482,3.03e+13
750,6.0054,5.9482,3.03e+13
750,5.8575,5.9482,3.03e+13
750,5.9860,5.9482,3.03e+13
750,6.0108,5.9482,3.03e+13
750,5.9015,5.9482,3.03e+13
750,5.8508,5.9482,3.03e+13
750,5.8051,5.9482,3.03e+13
750,5.8620,5.9482,3.03e+13
750,5.9002,5.9482,3.03e+13
750,5.9308,5.9482,3.03e+13
750,5.9601,5.9482,3.03e+13
750,5.9071,5.9482,3.03e+13
750,5.8848,5.9482,3.03e+13
