step,training_loss,validation_loss,total_flops_profiler
0,10.8011,10.7985,0.00e+00
0,10.8020,10.7985,0.00e+00
0,10.7953,10.7985,0.00e+00
0,10.7984,10.7985,0.00e+00
0,10.7992,10.7985,0.00e+00
0,10.7981,10.7985,0.00e+00
0,10.7975,10.7985,0.00e+00
0,10.7978,10.7985,0.00e+00
0,10.7996,10.7985,0.00e+00
0,10.7977,10.7985,0.00e+00
0,10.8023,10.7985,0.00e+00
0,10.8008,10.7985,0.00e+00
0,10.7965,10.7985,0.00e+00
0,10.7987,10.7985,0.00e+00
0,10.7983,10.7985,0.00e+00
50,7.0903,7.1241,4.19e+12
50,7.0903,7.1241,4.19e+12
50,7.2293,7.1241,4.19e+12
50,7.1406,7.1241,4.19e+12
50,7.0810,7.1241,4.19e+12
50,7.0855,7.1241,4.19e+12
50,6.9841,7.1241,4.19e+12
50,7.1551,7.1241,4.19e+12
50,7.0950,7.1241,4.19e+12
50,7.1282,7.1241,4.19e+12
50,7.1545,7.1241,4.19e+12
50,7.0145,7.1241,4.19e+12
50,7.0271,7.1241,4.19e+12
50,7.1664,7.1241,4.19e+12
50,7.1735,7.1241,4.19e+12
50,7.1386,7.1241,4.19e+12
50,7.1081,7.1241,4.19e+12
100,6.5489,6.4118,8.39e+12
100,6.5489,6.4118,8.39e+12
100,6.4970,6.4118,8.39e+12
100,6.4054,6.4118,8.39e+12
100,6.5213,6.4118,8.39e+12
100,6.3628,6.4118,8.39e+12
100,6.4829,6.4118,8.39e+12
100,6.4573,6.4118,8.39e+12
100,6.3144,6.4118,8.39e+12
100,6.3858,6.4118,8.39e+12
100,6.2511,6.4118,8.39e+12
100,6.3063,6.4118,8.39e+12
100,6.4287,6.4118,8.39e+12
100,6.3228,6.4118,8.39e+12
100,6.2585,6.4118,8.39e+12
100,6.5478,6.4118,8.39e+12
100,6.5053,6.4118,8.39e+12
150,6.0644,6.0725,1.26e+13
150,6.0644,6.0725,1.26e+13
150,6.0843,6.0725,1.26e+13
150,6.1463,6.0725,1.26e+13
150,6.0360,6.0725,1.26e+13
150,6.1092,6.0725,1.26e+13
150,6.0057,6.0725,1.26e+13
150,6.1173,6.0725,1.26e+13
150,6.1585,6.0725,1.26e+13
150,6.0306,6.0725,1.26e+13
150,6.1850,6.0725,1.26e+13
150,5.9449,6.0725,1.26e+13
150,6.1267,6.0725,1.26e+13
150,6.1280,6.0725,1.26e+13
150,5.9541,6.0725,1.26e+13
150,6.1200,6.0725,1.26e+13
150,6.0855,6.0725,1.26e+13
200,5.8308,5.9094,1.68e+13
200,5.8308,5.9094,1.68e+13
200,5.9741,5.9094,1.68e+13
200,5.9018,5.9094,1.68e+13
200,5.8698,5.9094,1.68e+13
200,5.9140,5.9094,1.68e+13
200,5.9564,5.9094,1.68e+13
200,6.0294,5.9094,1.68e+13
200,5.9007,5.9094,1.68e+13
200,5.8171,5.9094,1.68e+13
200,5.9417,5.9094,1.68e+13
200,5.9799,5.9094,1.68e+13
200,5.9106,5.9094,1.68e+13
200,5.8857,5.9094,1.68e+13
200,5.7354,5.9094,1.68e+13
200,5.6998,5.9094,1.68e+13
200,6.0239,5.9094,1.68e+13
250,5.8841,5.8381,2.10e+13
250,5.8841,5.8381,2.10e+13
250,5.6066,5.8381,2.10e+13
250,5.6902,5.8381,2.10e+13
250,5.7650,5.8381,2.10e+13
250,5.8241,5.8381,2.10e+13
250,5.9256,5.8381,2.10e+13
250,5.9612,5.8381,2.10e+13
250,5.8124,5.8381,2.10e+13
250,5.7745,5.8381,2.10e+13
250,5.8595,5.8381,2.10e+13
250,5.7392,5.8381,2.10e+13
250,5.8271,5.8381,2.10e+13
250,5.6299,5.8381,2.10e+13
250,5.7647,5.8381,2.10e+13
250,5.8749,5.8381,2.10e+13
250,5.8445,5.8381,2.10e+13
300,5.9342,5.8232,2.52e+13
300,5.9342,5.8232,2.52e+13
300,5.9308,5.8232,2.52e+13
300,5.8462,5.8232,2.52e+13
300,5.7594,5.8232,2.52e+13
300,5.8419,5.8232,2.52e+13
300,5.7884,5.8232,2.52e+13
300,5.7458,5.8232,2.52e+13
300,5.7751,5.8232,2.52e+13
300,5.8673,5.8232,2.52e+13
300,5.8933,5.8232,2.52e+13
300,5.8561,5.8232,2.52e+13
300,5.8402,5.8232,2.52e+13
300,5.9378,5.8232,2.52e+13
300,5.7585,5.8232,2.52e+13
300,5.8922,5.8232,2.52e+13
300,5.9117,5.8232,2.52e+13
