step,training_loss,validation_loss,total_flops_profiler
0,10.7701,10.7670,0.00e+00
0,10.7663,10.7670,0.00e+00
0,10.7622,10.7670,0.00e+00
0,10.7660,10.7670,0.00e+00
0,10.7695,10.7670,0.00e+00
0,10.7640,10.7670,0.00e+00
0,10.7664,10.7670,0.00e+00
0,10.7641,10.7670,0.00e+00
0,10.7675,10.7670,0.00e+00
0,10.7667,10.7670,0.00e+00
0,10.7712,10.7670,0.00e+00
0,10.7658,10.7670,0.00e+00
0,10.7662,10.7670,0.00e+00
0,10.7646,10.7670,0.00e+00
0,10.7670,10.7670,0.00e+00
50,7.0891,7.1231,4.28e+12
50,7.0891,7.1231,4.28e+12
50,7.2251,7.1231,4.28e+12
50,7.1385,7.1231,4.28e+12
50,7.0761,7.1231,4.28e+12
50,7.0853,7.1231,4.28e+12
50,6.9854,7.1231,4.28e+12
50,7.1538,7.1231,4.28e+12
50,7.0917,7.1231,4.28e+12
50,7.1205,7.1231,4.28e+12
50,7.1614,7.1231,4.28e+12
50,7.0081,7.1231,4.28e+12
50,7.0228,7.1231,4.28e+12
50,7.1695,7.1231,4.28e+12
50,7.1737,7.1231,4.28e+12
50,7.1401,7.1231,4.28e+12
50,7.1060,7.1231,4.28e+12
100,6.5116,6.3554,8.55e+12
100,6.5116,6.3554,8.55e+12
100,6.4365,6.3554,8.55e+12
100,6.3506,6.3554,8.55e+12
100,6.4499,6.3554,8.55e+12
100,6.3113,6.3554,8.55e+12
100,6.4258,6.3554,8.55e+12
100,6.3972,6.3554,8.55e+12
100,6.2562,6.3554,8.55e+12
100,6.3154,6.3554,8.55e+12
100,6.2049,6.3554,8.55e+12
100,6.2599,6.3554,8.55e+12
100,6.3584,6.3554,8.55e+12
100,6.2698,6.3554,8.55e+12
100,6.2045,6.3554,8.55e+12
100,6.4790,6.3554,8.55e+12
100,6.4431,6.3554,8.55e+12
150,6.0233,6.0354,1.28e+13
150,6.0233,6.0354,1.28e+13
150,6.0426,6.0354,1.28e+13
150,6.1115,6.0354,1.28e+13
150,5.9948,6.0354,1.28e+13
150,6.0678,6.0354,1.28e+13
150,5.9601,6.0354,1.28e+13
150,6.0973,6.0354,1.28e+13
150,6.1188,6.0354,1.28e+13
150,5.9884,6.0354,1.28e+13
150,6.1415,6.0354,1.28e+13
150,5.9129,6.0354,1.28e+13
150,6.0923,6.0354,1.28e+13
150,6.0847,6.0354,1.28e+13
150,5.9199,6.0354,1.28e+13
150,6.0888,6.0354,1.28e+13
150,6.0603,6.0354,1.28e+13
200,5.8144,5.8752,1.71e+13
200,5.8144,5.8752,1.71e+13
200,5.9331,5.8752,1.71e+13
200,5.8671,5.8752,1.71e+13
200,5.8414,5.8752,1.71e+13
200,5.8700,5.8752,1.71e+13
200,5.9259,5.8752,1.71e+13
200,5.9913,5.8752,1.71e+13
200,5.8641,5.8752,1.71e+13
200,5.7744,5.8752,1.71e+13
200,5.9100,5.8752,1.71e+13
200,5.9388,5.8752,1.71e+13
200,5.8854,5.8752,1.71e+13
200,5.8492,5.8752,1.71e+13
200,5.7065,5.8752,1.71e+13
200,5.6608,5.8752,1.71e+13
200,5.9841,5.8752,1.71e+13
250,5.8605,5.8051,2.14e+13
250,5.8605,5.8051,2.14e+13
250,5.5652,5.8051,2.14e+13
250,5.6593,5.8051,2.14e+13
250,5.7352,5.8051,2.14e+13
250,5.7963,5.8051,2.14e+13
250,5.8981,5.8051,2.14e+13
250,5.9306,5.8051,2.14e+13
250,5.7864,5.8051,2.14e+13
250,5.7481,5.8051,2.14e+13
250,5.8276,5.8051,2.14e+13
250,5.6977,5.8051,2.14e+13
250,5.7959,5.8051,2.14e+13
250,5.5953,5.8051,2.14e+13
250,5.7317,5.8051,2.14e+13
250,5.8466,5.8051,2.14e+13
250,5.8050,5.8051,2.14e+13
300,5.8893,5.7907,2.57e+13
300,5.8893,5.7907,2.57e+13
300,5.9079,5.7907,2.57e+13
300,5.8184,5.7907,2.57e+13
300,5.7210,5.7907,2.57e+13
300,5.8173,5.7907,2.57e+13
300,5.7599,5.7907,2.57e+13
300,5.7101,5.7907,2.57e+13
300,5.7425,5.7907,2.57e+13
300,5.8319,5.7907,2.57e+13
300,5.8620,5.7907,2.57e+13
300,5.8252,5.7907,2.57e+13
300,5.8093,5.7907,2.57e+13
300,5.8982,5.7907,2.57e+13
300,5.7239,5.7907,2.57e+13
300,5.8455,5.7907,2.57e+13
300,5.8731,5.7907,2.57e+13
