step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,10.6863,10.6757,1.96e+13,2.00e+13,1310720
40,10.4658,10.4532,3.93e+13,4.01e+13,2621440
60,10.2256,10.2149,5.89e+13,6.01e+13,3932160
80,9.9806,9.9730,7.85e+13,8.01e+13,5242880
100,9.7513,9.7378,9.81e+13,1.00e+14,6553600
120,9.5452,9.5398,1.18e+14,1.20e+14,7864320
140,9.4093,9.3991,1.37e+14,1.40e+14,9175040
160,9.3108,9.2895,1.57e+14,1.60e+14,10485760
180,9.2179,9.1970,1.77e+14,1.80e+14,11796480
200,9.1076,9.1201,1.96e+14,2.00e+14,13107200
