step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
20,8.8876,8.8228,2.33e+13,2.37e+13,1310720
40,8.3827,8.3478,4.66e+13,4.75e+13,2621440
60,8.1810,8.1649,7.00e+13,7.12e+13,3932160
80,7.9850,7.9800,9.33e+13,9.49e+13,5242880
100,7.8035,7.7975,1.17e+14,1.19e+14,6553600
120,7.6725,7.6500,1.40e+14,1.42e+14,7864320
140,7.5862,7.5604,1.63e+14,1.66e+14,9175040
160,7.5710,7.5509,1.87e+14,1.90e+14,10485760
180,7.4855,7.4727,2.10e+14,2.14e+14,11796480
200,7.5091,7.5352,2.33e+14,2.37e+14,13107200
220,7.4779,7.4411,2.57e+14,2.61e+14,14417920
240,7.4208,7.4490,2.80e+14,2.85e+14,15728640
260,7.4231,7.4122,3.03e+14,3.09e+14,17039360
280,7.3898,7.4071,3.26e+14,3.32e+14,18350080
300,7.4254,7.3871,3.50e+14,3.56e+14,19660800
320,7.4467,7.4753,3.73e+14,3.80e+14,20971520
340,7.3952,7.4014,3.96e+14,4.04e+14,22282240
360,7.4133,7.3823,4.20e+14,4.27e+14,23592960
380,7.4043,7.3936,4.43e+14,4.51e+14,24903680
