step,training_loss,validation_loss,total_flops_profiler
0,10.8063,10.8068,0.00e+00
0,10.8064,10.8068,0.00e+00
0,10.8084,10.8068,0.00e+00
0,10.8055,10.8068,0.00e+00
0,10.8070,10.8068,0.00e+00
0,10.8066,10.8068,0.00e+00
0,10.8056,10.8068,0.00e+00
0,10.8078,10.8068,0.00e+00
0,10.8069,10.8068,0.00e+00
0,10.8086,10.8068,0.00e+00
0,10.8059,10.8068,0.00e+00
0,10.8065,10.8068,0.00e+00
0,10.8058,10.8068,0.00e+00
0,10.8074,10.8068,0.00e+00
0,10.8072,10.8068,0.00e+00
50,8.8970,8.8698,2.02e+12
50,8.8970,8.8698,2.02e+12
50,8.8540,8.8698,2.02e+12
50,8.8644,8.8698,2.02e+12
50,8.8448,8.8698,2.02e+12
50,8.8979,8.8698,2.02e+12
50,8.8718,8.8698,2.02e+12
50,8.8546,8.8698,2.02e+12
50,8.8727,8.8698,2.02e+12
50,8.8361,8.8698,2.02e+12
50,8.8903,8.8698,2.02e+12
50,8.8710,8.8698,2.02e+12
50,8.8411,8.8698,2.02e+12
50,8.8311,8.8698,2.02e+12
50,8.8507,8.8698,2.02e+12
50,8.8923,8.8698,2.02e+12
50,8.8385,8.8698,2.02e+12
100,7.8156,7.7145,4.04e+12
100,7.8156,7.7145,4.04e+12
100,7.7017,7.7145,4.04e+12
100,7.7255,7.7145,4.04e+12
100,7.6707,7.7145,4.04e+12
100,7.7205,7.7145,4.04e+12
100,7.6945,7.7145,4.04e+12
100,7.7605,7.7145,4.04e+12
100,7.7694,7.7145,4.04e+12
100,7.7813,7.7145,4.04e+12
100,7.6995,7.7145,4.04e+12
100,7.7024,7.7145,4.04e+12
100,7.7169,7.7145,4.04e+12
100,7.7560,7.7145,4.04e+12
100,7.7437,7.7145,4.04e+12
100,7.5897,7.7145,4.04e+12
100,7.7796,7.7145,4.04e+12
150,7.3123,7.2543,6.07e+12
150,7.3123,7.2543,6.07e+12
150,7.2569,7.2543,6.07e+12
150,7.1825,7.2543,6.07e+12
150,7.3030,7.2543,6.07e+12
150,7.2604,7.2543,6.07e+12
150,7.3469,7.2543,6.07e+12
150,7.1888,7.2543,6.07e+12
150,7.2544,7.2543,6.07e+12
150,7.1989,7.2543,6.07e+12
150,7.2474,7.2543,6.07e+12
150,7.2992,7.2543,6.07e+12
150,7.3040,7.2543,6.07e+12
150,7.2158,7.2543,6.07e+12
150,7.2695,7.2543,6.07e+12
150,7.1848,7.2543,6.07e+12
150,7.2280,7.2543,6.07e+12
200,7.0306,6.9659,8.09e+12
200,7.0306,6.9659,8.09e+12
200,6.9424,6.9659,8.09e+12
200,7.0312,6.9659,8.09e+12
200,6.9452,6.9659,8.09e+12
200,6.8752,6.9659,8.09e+12
200,6.8459,6.9659,8.09e+12
200,7.0075,6.9659,8.09e+12
200,6.9618,6.9659,8.09e+12
200,6.8728,6.9659,8.09e+12
200,6.9535,6.9659,8.09e+12
200,7.0501,6.9659,8.09e+12
200,6.9476,6.9659,8.09e+12
200,7.0381,6.9659,8.09e+12
200,6.8890,6.9659,8.09e+12
200,6.9358,6.9659,8.09e+12
200,7.0520,6.9659,8.09e+12
250,6.7167,6.6988,1.01e+13
250,6.7167,6.6988,1.01e+13
250,6.7584,6.6988,1.01e+13
250,6.7145,6.6988,1.01e+13
250,6.7611,6.6988,1.01e+13
250,6.6129,6.6988,1.01e+13
250,6.6778,6.6988,1.01e+13
250,6.6127,6.6988,1.01e+13
250,6.6484,6.6988,1.01e+13
250,6.6223,6.6988,1.01e+13
250,6.6806,6.6988,1.01e+13
250,6.7222,6.6988,1.01e+13
250,6.7317,6.6988,1.01e+13
250,6.5880,6.6988,1.01e+13
250,6.7221,6.6988,1.01e+13
250,6.6186,6.6988,1.01e+13
250,6.6867,6.6988,1.01e+13
300,6.4980,6.4874,1.21e+13
300,6.4980,6.4874,1.21e+13
300,6.5066,6.4874,1.21e+13
300,6.4032,6.4874,1.21e+13
300,6.4406,6.4874,1.21e+13
300,6.4278,6.4874,1.21e+13
300,6.3552,6.4874,1.21e+13
300,6.3949,6.4874,1.21e+13
300,6.5887,6.4874,1.21e+13
300,6.4630,6.4874,1.21e+13
300,6.4660,6.4874,1.21e+13
300,6.4050,6.4874,1.21e+13
300,6.5695,6.4874,1.21e+13
300,6.5347,6.4874,1.21e+13
300,6.5660,6.4874,1.21e+13
300,6.5417,6.4874,1.21e+13
300,6.5471,6.4874,1.21e+13
350,6.2955,6.3371,1.42e+13
350,6.2955,6.3371,1.42e+13
350,6.3660,6.3371,1.42e+13
350,6.2786,6.3371,1.42e+13
350,6.3115,6.3371,1.42e+13
350,6.3814,6.3371,1.42e+13
350,6.4472,6.3371,1.42e+13
350,6.2779,6.3371,1.42e+13
350,6.3035,6.3371,1.42e+13
350,6.3967,6.3371,1.42e+13
350,6.3568,6.3371,1.42e+13
350,6.3456,6.3371,1.42e+13
350,6.3468,6.3371,1.42e+13
350,6.3639,6.3371,1.42e+13
350,6.3499,6.3371,1.42e+13
350,6.3975,6.3371,1.42e+13
350,6.3315,6.3371,1.42e+13
400,6.2250,6.2307,1.62e+13
400,6.2250,6.2307,1.62e+13
400,6.3918,6.2307,1.62e+13
400,6.2138,6.2307,1.62e+13
400,6.3165,6.2307,1.62e+13
400,6.2145,6.2307,1.62e+13
400,6.1920,6.2307,1.62e+13
400,6.3864,6.2307,1.62e+13
400,6.2165,6.2307,1.62e+13
400,6.2162,6.2307,1.62e+13
400,6.2802,6.2307,1.62e+13
400,6.2242,6.2307,1.62e+13
400,6.3267,6.2307,1.62e+13
400,6.2923,6.2307,1.62e+13
400,6.2519,6.2307,1.62e+13
400,6.1406,6.2307,1.62e+13
400,6.2610,6.2307,1.62e+13
450,6.1428,6.1529,1.82e+13
450,6.1428,6.1529,1.82e+13
450,6.1248,6.1529,1.82e+13
450,6.2044,6.1529,1.82e+13
450,6.2446,6.1529,1.82e+13
450,6.0951,6.1529,1.82e+13
450,6.2030,6.1529,1.82e+13
450,6.1034,6.1529,1.82e+13
450,6.1331,6.1529,1.82e+13
450,6.2782,6.1529,1.82e+13
450,6.2950,6.1529,1.82e+13
450,6.0600,6.1529,1.82e+13
