step,training_loss,validation_loss,total_flops_profiler
0,10.8242,10.8241,0.00e+00
0,10.8249,10.8241,0.00e+00
0,10.8231,10.8241,0.00e+00
0,10.8220,10.8241,0.00e+00
0,10.8243,10.8241,0.00e+00
0,10.8234,10.8241,0.00e+00
0,10.8226,10.8241,0.00e+00
0,10.8233,10.8241,0.00e+00
0,10.8236,10.8241,0.00e+00
0,10.8244,10.8241,0.00e+00
0,10.8254,10.8241,0.00e+00
0,10.8237,10.8241,0.00e+00
0,10.8247,10.8241,0.00e+00
0,10.8249,10.8241,0.00e+00
0,10.8225,10.8241,0.00e+00
50,10.5843,10.5766,2.02e+12
50,10.5843,10.5766,2.02e+12
50,10.5751,10.5766,2.02e+12
50,10.5787,10.5766,2.02e+12
50,10.5791,10.5766,2.02e+12
50,10.5767,10.5766,2.02e+12
50,10.5736,10.5766,2.02e+12
50,10.5797,10.5766,2.02e+12
50,10.5766,10.5766,2.02e+12
50,10.5746,10.5766,2.02e+12
50,10.5805,10.5766,2.02e+12
50,10.5729,10.5766,2.02e+12
50,10.5771,10.5766,2.02e+12
50,10.5751,10.5766,2.02e+12
50,10.5818,10.5766,2.02e+12
50,10.5761,10.5766,2.02e+12
50,10.5794,10.5766,2.02e+12
100,10.3410,10.3308,4.04e+12
100,10.3410,10.3308,4.04e+12
100,10.3215,10.3308,4.04e+12
100,10.3308,10.3308,4.04e+12
100,10.3289,10.3308,4.04e+12
100,10.3147,10.3308,4.04e+12
100,10.3283,10.3308,4.04e+12
100,10.3364,10.3308,4.04e+12
100,10.3283,10.3308,4.04e+12
100,10.3239,10.3308,4.04e+12
100,10.3358,10.3308,4.04e+12
100,10.3279,10.3308,4.04e+12
100,10.3273,10.3308,4.04e+12
100,10.3322,10.3308,4.04e+12
100,10.3202,10.3308,4.04e+12
100,10.3265,10.3308,4.04e+12
100,10.3382,10.3308,4.04e+12
150,10.1046,10.1097,6.07e+12
150,10.1046,10.1097,6.07e+12
150,10.1088,10.1097,6.07e+12
150,10.1178,10.1097,6.07e+12
150,10.1025,10.1097,6.07e+12
150,10.1326,10.1097,6.07e+12
150,10.1164,10.1097,6.07e+12
150,10.1107,10.1097,6.07e+12
150,10.1065,10.1097,6.07e+12
150,10.1099,10.1097,6.07e+12
150,10.1164,10.1097,6.07e+12
150,10.1181,10.1097,6.07e+12
150,10.1075,10.1097,6.07e+12
150,10.1118,10.1097,6.07e+12
