step,training_loss,validation_loss,total_flops_profiler
0,10.8261,10.8261,0.00e+00
0,10.8271,10.8261,0.00e+00
0,10.8252,10.8261,0.00e+00
0,10.8240,10.8261,0.00e+00
0,10.8263,10.8261,0.00e+00
0,10.8252,10.8261,0.00e+00
0,10.8246,10.8261,0.00e+00
0,10.8252,10.8261,0.00e+00
0,10.8255,10.8261,0.00e+00
0,10.8264,10.8261,0.00e+00
0,10.8274,10.8261,0.00e+00
0,10.8256,10.8261,0.00e+00
0,10.8265,10.8261,0.00e+00
0,10.8269,10.8261,0.00e+00
0,10.8245,10.8261,0.00e+00
50,10.8068,10.8075,2.02e+12
50,10.8068,10.8075,2.02e+12
50,10.8078,10.8075,2.02e+12
50,10.8084,10.8075,2.02e+12
50,10.8092,10.8075,2.02e+12
50,10.8071,10.8075,2.02e+12
50,10.8066,10.8075,2.02e+12
50,10.8072,10.8075,2.02e+12
50,10.8072,10.8075,2.02e+12
50,10.8068,10.8075,2.02e+12
50,10.8091,10.8075,2.02e+12
50,10.8082,10.8075,2.02e+12
50,10.8070,10.8075,2.02e+12
50,10.8091,10.8075,2.02e+12
50,10.8087,10.8075,2.02e+12
50,10.8087,10.8075,2.02e+12
50,10.8077,10.8075,2.02e+12
100,10.7947,10.7945,4.04e+12
100,10.7947,10.7945,4.04e+12
100,10.7943,10.7945,4.04e+12
100,10.7958,10.7945,4.04e+12
100,10.7950,10.7945,4.04e+12
100,10.7914,10.7945,4.04e+12
100,10.7960,10.7945,4.04e+12
100,10.7938,10.7945,4.04e+12
100,10.7937,10.7945,4.04e+12
100,10.7945,10.7945,4.04e+12
100,10.7959,10.7945,4.04e+12
100,10.7954,10.7945,4.04e+12
100,10.7920,10.7945,4.04e+12
100,10.7935,10.7945,4.04e+12
100,10.7945,10.7945,4.04e+12
100,10.7957,10.7945,4.04e+12
100,10.7964,10.7945,4.04e+12
150,10.7828,10.7839,6.07e+12
150,10.7828,10.7839,6.07e+12
150,10.7824,10.7839,6.07e+12
150,10.7847,10.7839,6.07e+12
150,10.7851,10.7839,6.07e+12
150,10.7860,10.7839,6.07e+12
150,10.7848,10.7839,6.07e+12
150,10.7837,10.7839,6.07e+12
150,10.7832,10.7839,6.07e+12
150,10.7842,10.7839,6.07e+12
150,10.7860,10.7839,6.07e+12
150,10.7859,10.7839,6.07e+12
150,10.7830,10.7839,6.07e+12
150,10.7836,10.7839,6.07e+12
150,10.7847,10.7839,6.07e+12
150,10.7870,10.7839,6.07e+12
150,10.7858,10.7839,6.07e+12
200,10.7732,10.7739,8.09e+12
200,10.7732,10.7739,8.09e+12
200,10.7752,10.7739,8.09e+12
200,10.7735,10.7739,8.09e+12
200,10.7710,10.7739,8.09e+12
200,10.7738,10.7739,8.09e+12
200,10.7731,10.7739,8.09e+12
200,10.7745,10.7739,8.09e+12
200,10.7725,10.7739,8.09e+12
200,10.7723,10.7739,8.09e+12
200,10.7755,10.7739,8.09e+12
