step,training_loss,validation_loss,total_flops_profiler
0,10.8259,10.8259,0.00e+00
0,10.8268,10.8259,0.00e+00
0,10.8250,10.8259,0.00e+00
0,10.8238,10.8259,0.00e+00
0,10.8261,10.8259,0.00e+00
0,10.8250,10.8259,0.00e+00
0,10.8245,10.8259,0.00e+00
0,10.8250,10.8259,0.00e+00
0,10.8254,10.8259,0.00e+00
0,10.8262,10.8259,0.00e+00
0,10.8272,10.8259,0.00e+00
0,10.8254,10.8259,0.00e+00
0,10.8263,10.8259,0.00e+00
0,10.8268,10.8259,0.00e+00
0,10.8244,10.8259,0.00e+00
50,10.0933,10.0492,2.02e+12
50,10.0933,10.0492,2.02e+12
50,10.0464,10.0492,2.02e+12
50,10.0549,10.0492,2.02e+12
50,10.0533,10.0492,2.02e+12
50,10.0514,10.0492,2.02e+12
50,10.0443,10.0492,2.02e+12
50,10.0619,10.0492,2.02e+12
50,10.0493,10.0492,2.02e+12
50,10.0440,10.0492,2.02e+12
50,10.0544,10.0492,2.02e+12
50,10.0367,10.0492,2.02e+12
50,10.0487,10.0492,2.02e+12
50,10.0418,10.0492,2.02e+12
50,10.0625,10.0492,2.02e+12
50,10.0493,10.0492,2.02e+12
50,10.0570,10.0492,2.02e+12
100,8.4322,8.3739,4.04e+12
100,8.4322,8.3739,4.04e+12
100,8.3260,8.3739,4.04e+12
100,8.3734,8.3739,4.04e+12
100,8.3522,8.3739,4.04e+12
100,8.2725,8.3739,4.04e+12
100,8.3419,8.3739,4.04e+12
100,8.4126,8.3739,4.04e+12
100,8.3632,8.3739,4.04e+12
100,8.3309,8.3739,4.04e+12
100,8.3959,8.3739,4.04e+12
100,8.3631,8.3739,4.04e+12
100,8.3697,8.3739,4.04e+12
100,8.3794,8.3739,4.04e+12
100,8.2997,8.3739,4.04e+12
100,8.3524,8.3739,4.04e+12
100,8.4192,8.3739,4.04e+12
150,7.4788,7.5878,6.07e+12
150,7.4788,7.5878,6.07e+12
150,7.5846,7.5878,6.07e+12
150,7.6545,7.5878,6.07e+12
150,7.5622,7.5878,6.07e+12
150,7.7040,7.5878,6.07e+12
150,7.6176,7.5878,6.07e+12
150,7.6117,7.5878,6.07e+12
150,7.5787,7.5878,6.07e+12
150,7.5770,7.5878,6.07e+12
150,7.5693,7.5878,6.07e+12
150,7.6039,7.5878,6.07e+12
150,7.5434,7.5878,6.07e+12
150,7.5973,7.5878,6.07e+12
150,7.6139,7.5878,6.07e+12
150,7.5845,7.5878,6.07e+12
