step,training_loss,validation_loss,total_flops_profiler
0,10.8252,10.8242,0.00e+00
0,10.8221,10.8242,0.00e+00
0,10.8234,10.8242,0.00e+00
0,10.8246,10.8242,0.00e+00
0,10.8255,10.8242,0.00e+00
0,10.8227,10.8242,0.00e+00
0,10.8243,10.8242,0.00e+00
0,10.8242,10.8242,0.00e+00
0,10.8240,10.8242,0.00e+00
0,10.8247,10.8242,0.00e+00
0,10.8249,10.8242,0.00e+00
0,10.8231,10.8242,0.00e+00
0,10.8234,10.8242,0.00e+00
0,10.8249,10.8242,0.00e+00
0,10.8245,10.8242,0.00e+00
50,10.0815,10.0608,2.02e+12
50,10.0815,10.0608,2.02e+12
50,10.0587,10.0608,2.02e+12
50,10.0599,10.0608,2.02e+12
50,10.0597,10.0608,2.02e+12
50,10.0480,10.0608,2.02e+12
50,10.0536,10.0608,2.02e+12
50,10.0583,10.0608,2.02e+12
50,10.0637,10.0608,2.02e+12
50,10.0678,10.0608,2.02e+12
50,10.0673,10.0608,2.02e+12
50,10.0567,10.0608,2.02e+12
50,10.0559,10.0608,2.02e+12
50,10.0570,10.0608,2.02e+12
50,10.0642,10.0608,2.02e+12
50,10.0603,10.0608,2.02e+12
50,10.0699,10.0608,2.02e+12
100,8.3785,8.3523,4.04e+12
100,8.3785,8.3523,4.04e+12
100,8.3191,8.3523,4.04e+12
100,8.3297,8.3523,4.04e+12
100,8.4152,8.3523,4.04e+12
100,8.3225,8.3523,4.04e+12
100,8.3128,8.3523,4.04e+12
100,8.3414,8.3523,4.04e+12
100,8.3475,8.3523,4.04e+12
100,8.3904,8.3523,4.04e+12
100,8.3670,8.3523,4.04e+12
100,8.3438,8.3523,4.04e+12
100,8.2993,8.3523,4.04e+12
100,8.3427,8.3523,4.04e+12
100,8.3640,8.3523,4.04e+12
100,8.3612,8.3523,4.04e+12
100,8.3619,8.3523,4.04e+12
150,7.5760,7.4913,6.07e+12
150,7.5760,7.4913,6.07e+12
150,7.5243,7.4913,6.07e+12
150,7.5179,7.4913,6.07e+12
150,7.4256,7.4913,6.07e+12
150,7.4743,7.4913,6.07e+12
150,7.4527,7.4913,6.07e+12
150,7.5595,7.4913,6.07e+12
150,7.5364,7.4913,6.07e+12
150,7.4918,7.4913,6.07e+12
150,7.4329,7.4913,6.07e+12
150,7.4849,7.4913,6.07e+12
150,7.5348,7.4913,6.07e+12
150,7.4762,7.4913,6.07e+12
150,7.4441,7.4913,6.07e+12
150,7.4731,7.4913,6.07e+12
150,7.5841,7.4913,6.07e+12
200,7.1455,7.1703,8.09e+12
200,7.1455,7.1703,8.09e+12
200,7.1762,7.1703,8.09e+12
200,7.0995,7.1703,8.09e+12
200,7.1761,7.1703,8.09e+12
200,7.2557,7.1703,8.09e+12
200,7.1210,7.1703,8.09e+12
200,7.2483,7.1703,8.09e+12
200,7.0951,7.1703,8.09e+12
200,7.1321,7.1703,8.09e+12
200,7.1128,7.1703,8.09e+12
200,7.1155,7.1703,8.09e+12
200,7.2425,7.1703,8.09e+12
200,7.1686,7.1703,8.09e+12
200,7.1644,7.1703,8.09e+12
200,7.1658,7.1703,8.09e+12
200,7.2150,7.1703,8.09e+12
250,6.7958,6.8906,1.01e+13
250,6.7958,6.8906,1.01e+13
250,6.8218,6.8906,1.01e+13
250,6.8580,6.8906,1.01e+13
250,6.9141,6.8906,1.01e+13
250,6.9476,6.8906,1.01e+13
250,6.8489,6.8906,1.01e+13
250,6.8124,6.8906,1.01e+13
250,6.9026,6.8906,1.01e+13
250,6.8059,6.8906,1.01e+13
250,6.7987,6.8906,1.01e+13
250,6.8852,6.8906,1.01e+13
250,6.8998,6.8906,1.01e+13
250,6.8201,6.8906,1.01e+13
250,6.8594,6.8906,1.01e+13
250,6.9840,6.8906,1.01e+13
250,6.8648,6.8906,1.01e+13
300,6.6433,6.6593,1.21e+13
300,6.6433,6.6593,1.21e+13
300,6.6309,6.6593,1.21e+13
300,6.6627,6.6593,1.21e+13
300,6.5351,6.6593,1.21e+13
300,6.6183,6.6593,1.21e+13
300,6.6408,6.6593,1.21e+13
300,6.6358,6.6593,1.21e+13
300,6.6794,6.6593,1.21e+13
300,6.6440,6.6593,1.21e+13
300,6.6428,6.6593,1.21e+13
300,6.7009,6.6593,1.21e+13
300,6.7315,6.6593,1.21e+13
300,6.6952,6.6593,1.21e+13
300,6.6178,6.6593,1.21e+13
300,6.5768,6.6593,1.21e+13
300,6.6559,6.6593,1.21e+13
350,6.4666,6.4858,1.42e+13
350,6.4666,6.4858,1.42e+13
350,6.7091,6.4858,1.42e+13
350,6.5384,6.4858,1.42e+13
350,6.5006,6.4858,1.42e+13
350,6.3502,6.4858,1.42e+13
350,6.5122,6.4858,1.42e+13
350,6.4422,6.4858,1.42e+13
350,6.5295,6.4858,1.42e+13
350,6.4642,6.4858,1.42e+13
350,6.3675,6.4858,1.42e+13
350,6.4730,6.4858,1.42e+13
350,6.4339,6.4858,1.42e+13
350,6.5799,6.4858,1.42e+13
350,6.5949,6.4858,1.42e+13
350,6.4831,6.4858,1.42e+13
350,6.4476,6.4858,1.42e+13
400,6.2705,6.3569,1.62e+13
400,6.2705,6.3569,1.62e+13
400,6.3192,6.3569,1.62e+13
400,6.2598,6.3569,1.62e+13
400,6.3381,6.3569,1.62e+13
400,6.3850,6.3569,1.62e+13
400,6.3592,6.3569,1.62e+13
400,6.4337,6.3569,1.62e+13
