step,training_loss,validation_loss,total_flops_profiler
0,10.8250,10.8256,0.00e+00
0,10.8252,10.8256,0.00e+00
0,10.8265,10.8256,0.00e+00
0,10.8234,10.8256,0.00e+00
0,10.8258,10.8256,0.00e+00
0,10.8258,10.8256,0.00e+00
0,10.8237,10.8256,0.00e+00
0,10.8261,10.8256,0.00e+00
0,10.8261,10.8256,0.00e+00
0,10.8261,10.8256,0.00e+00
0,10.8246,10.8256,0.00e+00
0,10.8261,10.8256,0.00e+00
0,10.8255,10.8256,0.00e+00
0,10.8262,10.8256,0.00e+00
0,10.8257,10.8256,0.00e+00
50,10.8201,10.8177,2.02e+12
50,10.8201,10.8177,2.02e+12
50,10.8168,10.8177,2.02e+12
50,10.8177,10.8177,2.02e+12
50,10.8185,10.8177,2.02e+12
50,10.8177,10.8177,2.02e+12
50,10.8167,10.8177,2.02e+12
50,10.8194,10.8177,2.02e+12
50,10.8180,10.8177,2.02e+12
50,10.8169,10.8177,2.02e+12
50,10.8174,10.8177,2.02e+12
50,10.8163,10.8177,2.02e+12
50,10.8170,10.8177,2.02e+12
50,10.8175,10.8177,2.02e+12
50,10.8168,10.8177,2.02e+12
50,10.8166,10.8177,2.02e+12
50,10.8170,10.8177,2.02e+12
100,10.7746,10.7704,4.04e+12
100,10.7746,10.7704,4.04e+12
100,10.7702,10.7704,4.04e+12
100,10.7696,10.7704,4.04e+12
100,10.7684,10.7704,4.04e+12
100,10.7714,10.7704,4.04e+12
100,10.7681,10.7704,4.04e+12
100,10.7710,10.7704,4.04e+12
100,10.7739,10.7704,4.04e+12
100,10.7705,10.7704,4.04e+12
100,10.7702,10.7704,4.04e+12
100,10.7676,10.7704,4.04e+12
100,10.7700,10.7704,4.04e+12
100,10.7700,10.7704,4.04e+12
100,10.7733,10.7704,4.04e+12
100,10.7691,10.7704,4.04e+12
100,10.7717,10.7704,4.04e+12
150,10.7056,10.7025,6.07e+12
150,10.7056,10.7025,6.07e+12
150,10.7030,10.7025,6.07e+12
150,10.6991,10.7025,6.07e+12
150,10.7038,10.7025,6.07e+12
150,10.7007,10.7025,6.07e+12
150,10.7066,10.7025,6.07e+12
150,10.7021,10.7025,6.07e+12
150,10.7022,10.7025,6.07e+12
150,10.7011,10.7025,6.07e+12
150,10.7001,10.7025,6.07e+12
150,10.7042,10.7025,6.07e+12
150,10.7075,10.7025,6.07e+12
150,10.7010,10.7025,6.07e+12
150,10.7036,10.7025,6.07e+12
150,10.7010,10.7025,6.07e+12
150,10.7030,10.7025,6.07e+12
200,10.6591,10.6583,8.09e+12
200,10.6591,10.6583,8.09e+12
200,10.6549,10.6583,8.09e+12
200,10.6605,10.6583,8.09e+12
200,10.6552,10.6583,8.09e+12
200,10.6545,10.6583,8.09e+12
200,10.6535,10.6583,8.09e+12
200,10.6573,10.6583,8.09e+12
200,10.6586,10.6583,8.09e+12
200,10.6546,10.6583,8.09e+12
