step,training_loss,validation_loss,total_flops_profiler
0,10.8338,10.8367,0.00e+00
0,10.8375,10.8367,0.00e+00
0,10.8367,10.8367,0.00e+00
0,10.8360,10.8367,0.00e+00
0,10.8349,10.8367,0.00e+00
0,10.8374,10.8367,0.00e+00
0,10.8373,10.8367,0.00e+00
0,10.8329,10.8367,0.00e+00
0,10.8346,10.8367,0.00e+00
0,10.8352,10.8367,0.00e+00
0,10.8355,10.8367,0.00e+00
0,10.8354,10.8367,0.00e+00
0,10.8397,10.8367,0.00e+00
0,10.8381,10.8367,0.00e+00
0,10.8371,10.8367,0.00e+00
50,9.0548,9.0157,9.00e+13
50,9.0548,9.0157,9.00e+13
50,8.9532,9.0157,9.00e+13
50,8.9860,9.0157,9.00e+13
50,8.9888,9.0157,9.00e+13
50,9.0096,9.0157,9.00e+13
50,8.9703,9.0157,9.00e+13
50,8.9791,9.0157,9.00e+13
50,8.9881,9.0157,9.00e+13
50,8.9948,9.0157,9.00e+13
50,9.0531,9.0157,9.00e+13
50,8.9886,9.0157,9.00e+13
50,9.0588,9.0157,9.00e+13
50,9.0014,9.0157,9.00e+13
50,9.0567,9.0157,9.00e+13
50,9.0019,9.0157,9.00e+13
50,9.0564,9.0157,9.00e+13
100,8.1916,8.2234,1.80e+14
100,8.1916,8.2234,1.80e+14
100,8.2078,8.2234,1.80e+14
100,8.3586,8.2234,1.80e+14
100,8.1536,8.2234,1.80e+14
100,8.3131,8.2234,1.80e+14
100,8.2120,8.2234,1.80e+14
100,8.2095,8.2234,1.80e+14
100,8.1298,8.2234,1.80e+14
100,8.2628,8.2234,1.80e+14
100,8.1538,8.2234,1.80e+14
100,8.1635,8.2234,1.80e+14
100,8.2079,8.2234,1.80e+14
100,8.0788,8.2234,1.80e+14
100,8.2023,8.2234,1.80e+14
100,8.2259,8.2234,1.80e+14
100,8.2341,8.2234,1.80e+14
150,7.9827,7.9412,2.70e+14
150,7.9827,7.9412,2.70e+14
150,8.0465,7.9412,2.70e+14
150,7.9061,7.9412,2.70e+14
150,7.8788,7.9412,2.70e+14
150,7.7721,7.9412,2.70e+14
150,7.9566,7.9412,2.70e+14
150,7.9607,7.9412,2.70e+14
150,8.0996,7.9412,2.70e+14
150,7.8786,7.9412,2.70e+14
150,7.8589,7.9412,2.70e+14
150,7.9383,7.9412,2.70e+14
150,8.0082,7.9412,2.70e+14
150,7.9531,7.9412,2.70e+14
150,7.9758,7.9412,2.70e+14
150,7.9885,7.9412,2.70e+14
150,7.8159,7.9412,2.70e+14
200,7.6843,7.7729,3.60e+14
200,7.6843,7.7729,3.60e+14
200,7.7774,7.7729,3.60e+14
200,7.7975,7.7729,3.60e+14
200,7.8398,7.7729,3.60e+14
200,7.8047,7.7729,3.60e+14
200,7.7192,7.7729,3.60e+14
200,7.7322,7.7729,3.60e+14
200,7.7842,7.7729,3.60e+14
200,7.6326,7.7729,3.60e+14
200,7.7681,7.7729,3.60e+14
200,7.8744,7.7729,3.60e+14
200,7.7103,7.7729,3.60e+14
200,7.6716,7.7729,3.60e+14
200,7.8395,7.7729,3.60e+14
200,7.8248,7.7729,3.60e+14
200,7.5593,7.7729,3.60e+14
250,7.6868,7.6337,4.50e+14
250,7.6868,7.6337,4.50e+14
250,7.6550,7.6337,4.50e+14
250,7.6644,7.6337,4.50e+14
250,7.5972,7.6337,4.50e+14
250,7.6592,7.6337,4.50e+14
250,7.5699,7.6337,4.50e+14
250,7.6641,7.6337,4.50e+14
250,7.7230,7.6337,4.50e+14
250,7.5522,7.6337,4.50e+14
250,7.7258,7.6337,4.50e+14
250,7.6354,7.6337,4.50e+14
250,7.6476,7.6337,4.50e+14
250,7.6538,7.6337,4.50e+14
250,7.6628,7.6337,4.50e+14
250,7.6767,7.6337,4.50e+14
250,7.6405,7.6337,4.50e+14
300,7.5536,7.5056,5.40e+14
300,7.5536,7.5056,5.40e+14
300,7.4782,7.5056,5.40e+14
300,7.4623,7.5056,5.40e+14
300,7.2763,7.5056,5.40e+14
300,7.6177,7.5056,5.40e+14
300,7.6194,7.5056,5.40e+14
300,7.4369,7.5056,5.40e+14
300,7.5997,7.5056,5.40e+14
300,7.5076,7.5056,5.40e+14
300,7.5707,7.5056,5.40e+14
300,7.6884,7.5056,5.40e+14
300,7.5089,7.5056,5.40e+14
300,7.5500,7.5056,5.40e+14
300,7.6328,7.5056,5.40e+14
300,7.5365,7.5056,5.40e+14
300,7.5756,7.5056,5.40e+14
350,7.5970,7.3973,6.30e+14
350,7.5970,7.3973,6.30e+14
350,7.4346,7.3973,6.30e+14
350,7.5205,7.3973,6.30e+14
350,7.3988,7.3973,6.30e+14
350,7.3698,7.3973,6.30e+14
350,7.4429,7.3973,6.30e+14
350,7.4364,7.3973,6.30e+14
350,7.4336,7.3973,6.30e+14
350,7.3714,7.3973,6.30e+14
350,7.4070,7.3973,6.30e+14
350,7.3938,7.3973,6.30e+14
350,7.4526,7.3973,6.30e+14
350,7.4393,7.3973,6.30e+14
350,7.4417,7.3973,6.30e+14
350,7.2596,7.3973,6.30e+14
350,7.4692,7.3973,6.30e+14
400,7.1295,7.3122,7.20e+14
400,7.1295,7.3122,7.20e+14
400,7.1912,7.3122,7.20e+14
400,7.2537,7.3122,7.20e+14
400,7.3585,7.3122,7.20e+14
400,7.2277,7.3122,7.20e+14
400,7.4191,7.3122,7.20e+14
400,7.2927,7.3122,7.20e+14
400,7.3049,7.3122,7.20e+14
400,7.2364,7.3122,7.20e+14
400,7.4622,7.3122,7.20e+14
400,7.3827,7.3122,7.20e+14
400,7.2892,7.3122,7.20e+14
400,7.3416,7.3122,7.20e+14
400,7.2666,7.3122,7.20e+14
400,7.2305,7.3122,7.20e+14
400,7.1609,7.3122,7.20e+14
450,7.1624,7.2456,8.10e+14
450,7.1624,7.2456,8.10e+14
450,7.2314,7.2456,8.10e+14
450,7.1637,7.2456,8.10e+14
450,7.2639,7.2456,8.10e+14
450,7.1964,7.2456,8.10e+14
450,7.2221,7.2456,8.10e+14
450,7.2610,7.2456,8.10e+14
450,7.1690,7.2456,8.10e+14
450,7.2398,7.2456,8.10e+14
450,7.0750,7.2456,8.10e+14
450,7.0954,7.2456,8.10e+14
450,7.2839,7.2456,8.10e+14
450,7.1173,7.2456,8.10e+14
450,7.2763,7.2456,8.10e+14
450,7.1887,7.2456,8.10e+14
450,7.3340,7.2456,8.10e+14
500,7.0834,7.1914,9.00e+14
500,7.0834,7.1914,9.00e+14
500,7.3006,7.1914,9.00e+14
500,7.3217,7.1914,9.00e+14
500,7.1500,7.1914,9.00e+14
500,7.1412,7.1914,9.00e+14
500,7.0359,7.1914,9.00e+14
500,7.2744,7.1914,9.00e+14
500,7.0769,7.1914,9.00e+14
500,7.1462,7.1914,9.00e+14
500,7.1144,7.1914,9.00e+14
500,7.2642,7.1914,9.00e+14
500,7.2190,7.1914,9.00e+14
500,7.1097,7.1914,9.00e+14
500,7.1685,7.1914,9.00e+14
500,7.1517,7.1914,9.00e+14
500,7.2938,7.1914,9.00e+14
550,7.0047,7.1451,9.90e+14
550,7.0047,7.1451,9.90e+14
550,7.0550,7.1451,9.90e+14
550,7.0700,7.1451,9.90e+14
550,7.2009,7.1451,9.90e+14
550,7.2051,7.1451,9.90e+14
550,7.0864,7.1451,9.90e+14
550,7.2316,7.1451,9.90e+14
550,6.9931,7.1451,9.90e+14
550,7.2488,7.1451,9.90e+14
550,7.0580,7.1451,9.90e+14
550,7.1702,7.1451,9.90e+14
550,7.1884,7.1451,9.90e+14
550,7.2225,7.1451,9.90e+14
550,7.0762,7.1451,9.90e+14
550,7.0237,7.1451,9.90e+14
550,6.9903,7.1451,9.90e+14
600,7.2552,7.1038,1.08e+15
600,7.2552,7.1038,1.08e+15
600,7.0978,7.1038,1.08e+15
600,7.1569,7.1038,1.08e+15
600,7.0568,7.1038,1.08e+15
600,7.1419,7.1038,1.08e+15
600,7.0319,7.1038,1.08e+15
600,7.0471,7.1038,1.08e+15
600,7.2396,7.1038,1.08e+15
600,7.0895,7.1038,1.08e+15
600,7.0786,7.1038,1.08e+15
600,6.9838,7.1038,1.08e+15
600,7.2442,7.1038,1.08e+15
600,7.0231,7.1038,1.08e+15
600,7.1866,7.1038,1.08e+15
600,7.0789,7.1038,1.08e+15
600,6.9754,7.1038,1.08e+15
650,7.0253,7.0669,1.17e+15
650,7.0253,7.0669,1.17e+15
650,6.9489,7.0669,1.17e+15
650,7.2750,7.0669,1.17e+15
650,7.0453,7.0669,1.17e+15
650,7.0945,7.0669,1.17e+15
650,6.9752,7.0669,1.17e+15
650,7.0460,7.0669,1.17e+15
650,7.1275,7.0669,1.17e+15
650,7.0717,7.0669,1.17e+15
650,7.1650,7.0669,1.17e+15
650,7.0556,7.0669,1.17e+15
650,6.9836,7.0669,1.17e+15
650,7.0047,7.0669,1.17e+15
650,7.0124,7.0669,1.17e+15
650,7.0317,7.0669,1.17e+15
650,7.0960,7.0669,1.17e+15
700,7.0159,7.0355,1.26e+15
700,7.0159,7.0355,1.26e+15
700,7.0209,7.0355,1.26e+15
700,7.0906,7.0355,1.26e+15
700,7.0906,7.0355,1.26e+15
700,7.0493,7.0355,1.26e+15
700,6.9472,7.0355,1.26e+15
700,7.0676,7.0355,1.26e+15
700,7.0708,7.0355,1.26e+15
700,7.1613,7.0355,1.26e+15
700,7.0165,7.0355,1.26e+15
700,7.0016,7.0355,1.26e+15
700,6.9853,7.0355,1.26e+15
700,7.0528,7.0355,1.26e+15
700,7.1789,7.0355,1.26e+15
700,7.0314,7.0355,1.26e+15
700,7.0397,7.0355,1.26e+15
750,7.0478,7.0138,1.35e+15
750,7.0478,7.0138,1.35e+15
750,7.0252,7.0138,1.35e+15
750,7.0449,7.0138,1.35e+15
750,7.0812,7.0138,1.35e+15
750,6.9994,7.0138,1.35e+15
750,6.9474,7.0138,1.35e+15
750,6.9870,7.0138,1.35e+15
750,6.9096,7.0138,1.35e+15
750,6.8904,7.0138,1.35e+15
750,7.0171,7.0138,1.35e+15
750,6.9443,7.0138,1.35e+15
750,7.0655,7.0138,1.35e+15
750,7.0391,7.0138,1.35e+15
750,7.1102,7.0138,1.35e+15
750,6.8603,7.0138,1.35e+15
750,7.0095,7.0138,1.35e+15
800,7.0460,7.0112,1.44e+15
800,7.0460,7.0112,1.44e+15
800,7.0362,7.0112,1.44e+15
800,6.9289,7.0112,1.44e+15
800,6.9890,7.0112,1.44e+15
800,6.9748,7.0112,1.44e+15
800,6.9642,7.0112,1.44e+15
800,7.0460,7.0112,1.44e+15
