step,training_loss,validation_loss,total_flops_profiler
0,10.8714,10.8704,0.00e+00
0,10.8749,10.8704,0.00e+00
0,10.8688,10.8704,0.00e+00
0,10.8699,10.8704,0.00e+00
0,10.8691,10.8704,0.00e+00
0,10.8672,10.8704,0.00e+00
0,10.8720,10.8704,0.00e+00
0,10.8761,10.8704,0.00e+00
0,10.8732,10.8704,0.00e+00
0,10.8778,10.8704,0.00e+00
0,10.8779,10.8704,0.00e+00
0,10.8695,10.8704,0.00e+00
0,10.8744,10.8704,0.00e+00
0,10.8693,10.8704,0.00e+00
0,10.8668,10.8704,0.00e+00
50,8.7955,8.7198,1.04e+14
50,8.7955,8.7198,1.04e+14
50,8.7217,8.7198,1.04e+14
50,8.7888,8.7198,1.04e+14
50,8.7525,8.7198,1.04e+14
50,8.7402,8.7198,1.04e+14
50,8.6089,8.7198,1.04e+14
50,8.7172,8.7198,1.04e+14
50,8.7919,8.7198,1.04e+14
50,8.7712,8.7198,1.04e+14
50,8.6996,8.7198,1.04e+14
50,8.6480,8.7198,1.04e+14
50,8.7454,8.7198,1.04e+14
50,8.6815,8.7198,1.04e+14
50,8.6424,8.7198,1.04e+14
50,8.6939,8.7198,1.04e+14
50,8.7293,8.7198,1.04e+14
100,8.0415,7.9985,2.08e+14
100,8.0415,7.9985,2.08e+14
100,8.0021,7.9985,2.08e+14
100,7.9894,7.9985,2.08e+14
100,7.9982,7.9985,2.08e+14
100,7.9508,7.9985,2.08e+14
100,7.9972,7.9985,2.08e+14
