step,training_loss,validation_loss,total_flops_profiler
0,10.8145,10.8127,0.00e+00
0,10.8131,10.8127,0.00e+00
0,10.8135,10.8127,0.00e+00
0,10.8130,10.8127,0.00e+00
0,10.8129,10.8127,0.00e+00
0,10.8124,10.8127,0.00e+00
0,10.8120,10.8127,0.00e+00
0,10.8113,10.8127,0.00e+00
0,10.8123,10.8127,0.00e+00
0,10.8119,10.8127,0.00e+00
0,10.8122,10.8127,0.00e+00
0,10.8134,10.8127,0.00e+00
0,10.8130,10.8127,0.00e+00
0,10.8120,10.8127,0.00e+00
0,10.8140,10.8127,0.00e+00
50,8.8879,8.8673,2.02e+12
50,8.8879,8.8673,2.02e+12
50,8.8791,8.8673,2.02e+12
50,8.8958,8.8673,2.02e+12
50,8.8450,8.8673,2.02e+12
50,8.8880,8.8673,2.02e+12
50,8.8270,8.8673,2.02e+12
50,8.9013,8.8673,2.02e+12
50,8.9138,8.8673,2.02e+12
50,8.8621,8.8673,2.02e+12
50,8.8091,8.8673,2.02e+12
50,8.8787,8.8673,2.02e+12
50,8.8738,8.8673,2.02e+12
50,8.8846,8.8673,2.02e+12
50,8.8506,8.8673,2.02e+12
50,8.8641,8.8673,2.02e+12
50,8.8146,8.8673,2.02e+12
100,7.7281,7.7257,4.04e+12
100,7.7281,7.7257,4.04e+12
100,7.7062,7.7257,4.04e+12
100,7.7511,7.7257,4.04e+12
100,7.7037,7.7257,4.04e+12
100,7.7127,7.7257,4.04e+12
100,7.6783,7.7257,4.04e+12
100,7.6530,7.7257,4.04e+12
100,7.7521,7.7257,4.04e+12
100,7.6572,7.7257,4.04e+12
100,7.7612,7.7257,4.04e+12
100,7.6537,7.7257,4.04e+12
100,7.7325,7.7257,4.04e+12
100,7.7370,7.7257,4.04e+12
100,7.7759,7.7257,4.04e+12
100,7.6598,7.7257,4.04e+12
100,7.7874,7.7257,4.04e+12
150,7.3026,7.2750,6.06e+12
150,7.3026,7.2750,6.06e+12
150,7.2280,7.2750,6.06e+12
150,7.2706,7.2750,6.06e+12
150,7.2772,7.2750,6.06e+12
150,7.2660,7.2750,6.06e+12
150,7.2689,7.2750,6.06e+12
150,7.3233,7.2750,6.06e+12
150,7.2361,7.2750,6.06e+12
150,7.3220,7.2750,6.06e+12
150,7.2425,7.2750,6.06e+12
150,7.2466,7.2750,6.06e+12
150,7.2825,7.2750,6.06e+12
150,7.2597,7.2750,6.06e+12
150,7.2287,7.2750,6.06e+12
150,7.2814,7.2750,6.06e+12
150,7.2972,7.2750,6.06e+12
200,6.9044,6.9789,8.09e+12
200,6.9044,6.9789,8.09e+12
200,6.9906,6.9789,8.09e+12
200,6.9885,6.9789,8.09e+12
200,6.9326,6.9789,8.09e+12
200,6.9415,6.9789,8.09e+12
200,7.0329,6.9789,8.09e+12
200,6.9614,6.9789,8.09e+12
200,7.0113,6.9789,8.09e+12
200,7.0094,6.9789,8.09e+12
200,7.0274,6.9789,8.09e+12
200,6.9424,6.9789,8.09e+12
200,6.9398,6.9789,8.09e+12
200,7.0209,6.9789,8.09e+12
200,6.9970,6.9789,8.09e+12
200,6.9263,6.9789,8.09e+12
200,6.9611,6.9789,8.09e+12
250,6.8739,6.7335,1.01e+13
250,6.8739,6.7335,1.01e+13
250,6.8212,6.7335,1.01e+13
250,6.8114,6.7335,1.01e+13
250,6.6474,6.7335,1.01e+13
250,6.7567,6.7335,1.01e+13
250,6.7014,6.7335,1.01e+13
250,6.7612,6.7335,1.01e+13
250,6.6730,6.7335,1.01e+13
250,6.6616,6.7335,1.01e+13
250,6.7063,6.7335,1.01e+13
250,6.6470,6.7335,1.01e+13
250,6.7142,6.7335,1.01e+13
250,6.8032,6.7335,1.01e+13
250,6.7780,6.7335,1.01e+13
250,6.6567,6.7335,1.01e+13
250,6.7823,6.7335,1.01e+13
300,6.5447,6.5367,1.21e+13
300,6.5447,6.5367,1.21e+13
300,6.5336,6.5367,1.21e+13
300,6.5533,6.5367,1.21e+13
300,6.4164,6.5367,1.21e+13
300,6.5412,6.5367,1.21e+13
300,6.6104,6.5367,1.21e+13
300,6.6009,6.5367,1.21e+13
300,6.5157,6.5367,1.21e+13
300,6.4768,6.5367,1.21e+13
300,6.5378,6.5367,1.21e+13
300,6.5784,6.5367,1.21e+13
300,6.5049,6.5367,1.21e+13
300,6.3621,6.5367,1.21e+13
300,6.5142,6.5367,1.21e+13
300,6.4976,6.5367,1.21e+13
300,6.4849,6.5367,1.21e+13
350,6.4800,6.3954,1.42e+13
350,6.4800,6.3954,1.42e+13
350,6.3200,6.3954,1.42e+13
350,6.4755,6.3954,1.42e+13
350,6.3137,6.3954,1.42e+13
350,6.4717,6.3954,1.42e+13
350,6.3371,6.3954,1.42e+13
350,6.3682,6.3954,1.42e+13
350,6.4328,6.3954,1.42e+13
350,6.3224,6.3954,1.42e+13
350,6.4068,6.3954,1.42e+13
350,6.4714,6.3954,1.42e+13
350,6.3766,6.3954,1.42e+13
350,6.3678,6.3954,1.42e+13
350,6.4197,6.3954,1.42e+13
350,6.4314,6.3954,1.42e+13
350,6.3066,6.3954,1.42e+13
400,6.3161,6.2934,1.62e+13
400,6.3161,6.2934,1.62e+13
400,6.2636,6.2934,1.62e+13
400,6.3423,6.2934,1.62e+13
400,6.3176,6.2934,1.62e+13
400,6.3891,6.2934,1.62e+13
400,6.4055,6.2934,1.62e+13
400,6.2753,6.2934,1.62e+13
400,6.2907,6.2934,1.62e+13
400,6.4075,6.2934,1.62e+13
400,6.3752,6.2934,1.62e+13
400,6.2039,6.2934,1.62e+13
400,6.3117,6.2934,1.62e+13
400,6.2965,6.2934,1.62e+13
400,6.2460,6.2934,1.62e+13
400,6.4109,6.2934,1.62e+13
400,6.1853,6.2934,1.62e+13
450,6.3245,6.2181,1.82e+13
450,6.3245,6.2181,1.82e+13
450,6.1608,6.2181,1.82e+13
450,6.2984,6.2181,1.82e+13
450,6.1685,6.2181,1.82e+13
450,6.2475,6.2181,1.82e+13
450,6.2708,6.2181,1.82e+13
450,6.2906,6.2181,1.82e+13
450,6.3717,6.2181,1.82e+13
450,6.2643,6.2181,1.82e+13
450,6.2336,6.2181,1.82e+13
450,6.2819,6.2181,1.82e+13
450,6.2694,6.2181,1.82e+13
450,6.2798,6.2181,1.82e+13
450,6.2250,6.2181,1.82e+13
450,6.0965,6.2181,1.82e+13
450,6.1692,6.2181,1.82e+13
500,6.2030,6.1643,2.02e+13
500,6.2030,6.1643,2.02e+13
500,6.3316,6.1643,2.02e+13
500,6.0673,6.1643,2.02e+13
500,6.0069,6.1643,2.02e+13
500,6.1763,6.1643,2.02e+13
500,6.1483,6.1643,2.02e+13
500,6.2286,6.1643,2.02e+13
500,6.0232,6.1643,2.02e+13
500,6.3208,6.1643,2.02e+13
500,6.1738,6.1643,2.02e+13
500,6.1474,6.1643,2.02e+13
500,6.1750,6.1643,2.02e+13
500,6.2496,6.1643,2.02e+13
500,6.2835,6.1643,2.02e+13
500,6.1596,6.1643,2.02e+13
500,6.1859,6.1643,2.02e+13
550,6.0518,6.1261,2.22e+13
550,6.0518,6.1261,2.22e+13
550,6.0932,6.1261,2.22e+13
550,6.0344,6.1261,2.22e+13
550,6.1501,6.1261,2.22e+13
550,6.1250,6.1261,2.22e+13
550,6.2233,6.1261,2.22e+13
550,6.0325,6.1261,2.22e+13
550,6.0603,6.1261,2.22e+13
550,6.1905,6.1261,2.22e+13
550,6.2847,6.1261,2.22e+13
550,6.0093,6.1261,2.22e+13
550,6.0462,6.1261,2.22e+13
550,6.0872,6.1261,2.22e+13
550,6.0648,6.1261,2.22e+13
550,6.0941,6.1261,2.22e+13
550,6.1751,6.1261,2.22e+13
600,6.0433,6.1001,2.43e+13
600,6.0433,6.1001,2.43e+13
600,6.0367,6.1001,2.43e+13
600,6.1006,6.1001,2.43e+13
600,6.0412,6.1001,2.43e+13
600,6.1892,6.1001,2.43e+13
600,6.1816,6.1001,2.43e+13
600,6.1228,6.1001,2.43e+13
600,6.1078,6.1001,2.43e+13
600,6.1603,6.1001,2.43e+13
600,6.0063,6.1001,2.43e+13
600,6.0478,6.1001,2.43e+13
600,6.0572,6.1001,2.43e+13
600,6.2303,6.1001,2.43e+13
600,6.0954,6.1001,2.43e+13
600,6.2002,6.1001,2.43e+13
600,6.1539,6.1001,2.43e+13
650,6.1943,6.0836,2.63e+13
650,6.1943,6.0836,2.63e+13
650,6.0437,6.0836,2.63e+13
650,5.9774,6.0836,2.63e+13
650,6.1541,6.0836,2.63e+13
650,6.0524,6.0836,2.63e+13
650,5.9423,6.0836,2.63e+13
650,6.2324,6.0836,2.63e+13
650,6.1287,6.0836,2.63e+13
650,6.1171,6.0836,2.63e+13
650,5.9379,6.0836,2.63e+13
650,6.1725,6.0836,2.63e+13
650,6.0541,6.0836,2.63e+13
650,6.1399,6.0836,2.63e+13
650,5.9813,6.0836,2.63e+13
650,6.0849,6.0836,2.63e+13
650,5.9682,6.0836,2.63e+13
700,6.0027,6.0745,2.83e+13
700,6.0027,6.0745,2.83e+13
700,6.0275,6.0745,2.83e+13
700,6.0357,6.0745,2.83e+13
700,6.1469,6.0745,2.83e+13
700,6.1159,6.0745,2.83e+13
700,6.0904,6.0745,2.83e+13
700,5.9818,6.0745,2.83e+13
700,6.0822,6.0745,2.83e+13
700,6.1328,6.0745,2.83e+13
700,6.1608,6.0745,2.83e+13
700,6.1673,6.0745,2.83e+13
700,6.0089,6.0745,2.83e+13
700,6.0880,6.0745,2.83e+13
700,6.1621,6.0745,2.83e+13
