step,training_loss,validation_loss,total_flops_profiler
0,10.8082,10.8085,0.00e+00
0,10.8081,10.8085,0.00e+00
0,10.8083,10.8085,0.00e+00
0,10.8081,10.8085,0.00e+00
0,10.8102,10.8085,0.00e+00
0,10.8068,10.8085,0.00e+00
0,10.8083,10.8085,0.00e+00
0,10.8079,10.8085,0.00e+00
0,10.8107,10.8085,0.00e+00
0,10.8098,10.8085,0.00e+00
0,10.8095,10.8085,0.00e+00
0,10.8067,10.8085,0.00e+00
0,10.8095,10.8085,0.00e+00
0,10.8090,10.8085,0.00e+00
0,10.8079,10.8085,0.00e+00
50,8.8604,8.8674,2.02e+12
50,8.8604,8.8674,2.02e+12
50,8.8615,8.8674,2.02e+12
50,8.8580,8.8674,2.02e+12
50,8.8653,8.8674,2.02e+12
50,8.8307,8.8674,2.02e+12
50,8.8416,8.8674,2.02e+12
50,8.8588,8.8674,2.02e+12
50,8.8769,8.8674,2.02e+12
50,8.8855,8.8674,2.02e+12
50,8.8836,8.8674,2.02e+12
50,8.8667,8.8674,2.02e+12
50,8.8478,8.8674,2.02e+12
50,8.8442,8.8674,2.02e+12
50,8.8723,8.8674,2.02e+12
50,8.8646,8.8674,2.02e+12
50,8.8968,8.8674,2.02e+12
100,7.7399,7.7465,4.04e+12
100,7.7399,7.7465,4.04e+12
100,7.7036,7.7465,4.04e+12
100,7.7343,7.7465,4.04e+12
100,7.8296,7.7465,4.04e+12
100,7.7141,7.7465,4.04e+12
100,7.6981,7.7465,4.04e+12
100,7.7373,7.7465,4.04e+12
100,7.7321,7.7465,4.04e+12
100,7.8000,7.7465,4.04e+12
100,7.7629,7.7465,4.04e+12
100,7.7087,7.7465,4.04e+12
100,7.6555,7.7465,4.04e+12
100,7.7326,7.7465,4.04e+12
100,7.7534,7.7465,4.04e+12
100,7.7632,7.7465,4.04e+12
100,7.7473,7.7465,4.04e+12
150,7.5556,7.4784,6.06e+12
150,7.5556,7.4784,6.06e+12
150,7.5201,7.4784,6.06e+12
150,7.5093,7.4784,6.06e+12
150,7.4056,7.4784,6.06e+12
150,7.4570,7.4784,6.06e+12
150,7.4435,7.4784,6.06e+12
150,7.5564,7.4784,6.06e+12
150,7.5313,7.4784,6.06e+12
150,7.4854,7.4784,6.06e+12
