step,training_loss,validation_loss,total_flops_profiler
0,10.7759,10.7746,0.00e+00
0,10.7744,10.7746,0.00e+00
0,10.7750,10.7746,0.00e+00
0,10.7728,10.7746,0.00e+00
0,10.7806,10.7746,0.00e+00
0,10.7691,10.7746,0.00e+00
0,10.7754,10.7746,0.00e+00
0,10.7755,10.7746,0.00e+00
0,10.7741,10.7746,0.00e+00
0,10.7680,10.7746,0.00e+00
0,10.7743,10.7746,0.00e+00
0,10.7759,10.7746,0.00e+00
0,10.7786,10.7746,0.00e+00
0,10.7750,10.7746,0.00e+00
0,10.7756,10.7746,0.00e+00
25,10.3900,10.3846,1.62e+13
25,10.3900,10.3846,1.62e+13
25,10.3906,10.3846,1.62e+13
25,10.3822,10.3846,1.62e+13
25,10.3733,10.3846,1.62e+13
25,10.3853,10.3846,1.62e+13
25,10.3911,10.3846,1.62e+13
25,10.3874,10.3846,1.62e+13
25,10.3794,10.3846,1.62e+13
25,10.3710,10.3846,1.62e+13
25,10.3829,10.3846,1.62e+13
25,10.3967,10.3846,1.62e+13
25,10.3887,10.3846,1.62e+13
25,10.3832,10.3846,1.62e+13
25,10.3738,10.3846,1.62e+13
25,10.3800,10.3846,1.62e+13
25,10.3947,10.3846,1.62e+13
50,10.0728,10.0622,3.24e+13
50,10.0728,10.0622,3.24e+13
50,10.0731,10.0622,3.24e+13
50,10.0483,10.0622,3.24e+13
50,10.0538,10.0622,3.24e+13
50,10.0819,10.0622,3.24e+13
50,10.0742,10.0622,3.24e+13
50,10.0526,10.0622,3.24e+13
50,10.0569,10.0622,3.24e+13
50,10.0909,10.0622,3.24e+13
50,10.0590,10.0622,3.24e+13
50,10.0670,10.0622,3.24e+13
50,10.0483,10.0622,3.24e+13
50,10.0425,10.0622,3.24e+13
50,10.0650,10.0622,3.24e+13
50,10.0376,10.0622,3.24e+13
50,10.0311,10.0622,3.24e+13
75,9.8966,9.8943,4.87e+13
75,9.8966,9.8943,4.87e+13
75,9.9099,9.8943,4.87e+13
75,9.8819,9.8943,4.87e+13
75,9.8874,9.8943,4.87e+13
75,9.9157,9.8943,4.87e+13
75,9.8849,9.8943,4.87e+13
75,9.8802,9.8943,4.87e+13
75,9.8805,9.8943,4.87e+13
75,9.8887,9.8943,4.87e+13
75,9.8959,9.8943,4.87e+13
75,9.8793,9.8943,4.87e+13
75,9.8925,9.8943,4.87e+13
75,9.8865,9.8943,4.87e+13
75,9.9101,9.8943,4.87e+13
75,9.8908,9.8943,4.87e+13
75,9.8907,9.8943,4.87e+13
100,9.8059,9.7828,6.49e+13
100,9.8059,9.7828,6.49e+13
100,9.7752,9.7828,6.49e+13
100,9.7317,9.7828,6.49e+13
100,9.8276,9.7828,6.49e+13
100,9.7735,9.7828,6.49e+13
100,9.7654,9.7828,6.49e+13
100,9.7592,9.7828,6.49e+13
100,9.7994,9.7828,6.49e+13
100,9.7752,9.7828,6.49e+13
100,9.7712,9.7828,6.49e+13
100,9.7561,9.7828,6.49e+13
100,9.8144,9.7828,6.49e+13
100,9.7919,9.7828,6.49e+13
100,9.7675,9.7828,6.49e+13
100,9.8016,9.7828,6.49e+13
100,9.7792,9.7828,6.49e+13
125,9.7088,9.6894,8.11e+13
125,9.7088,9.6894,8.11e+13
125,9.6522,9.6894,8.11e+13
125,9.6784,9.6894,8.11e+13
125,9.6793,9.6894,8.11e+13
125,9.6871,9.6894,8.11e+13
125,9.6799,9.6894,8.11e+13
125,9.6957,9.6894,8.11e+13
125,9.6978,9.6894,8.11e+13
125,9.6957,9.6894,8.11e+13
125,9.6892,9.6894,8.11e+13
125,9.7042,9.6894,8.11e+13
125,9.7111,9.6894,8.11e+13
125,9.7181,9.6894,8.11e+13
125,9.6752,9.6894,8.11e+13
125,9.7029,9.6894,8.11e+13
125,9.6886,9.6894,8.11e+13
150,9.5913,9.6060,9.73e+13
150,9.5913,9.6060,9.73e+13
150,9.6117,9.6060,9.73e+13
150,9.6066,9.6060,9.73e+13
150,9.6286,9.6060,9.73e+13
150,9.6215,9.6060,9.73e+13
150,9.5923,9.6060,9.73e+13
150,9.6045,9.6060,9.73e+13
150,9.6098,9.6060,9.73e+13
150,9.6242,9.6060,9.73e+13
150,9.5990,9.6060,9.73e+13
150,9.6352,9.6060,9.73e+13
150,9.6206,9.6060,9.73e+13
150,9.6199,9.6060,9.73e+13
150,9.5713,9.6060,9.73e+13
150,9.5911,9.6060,9.73e+13
150,9.6014,9.6060,9.73e+13
175,9.5441,9.5305,1.14e+14
175,9.5441,9.5305,1.14e+14
175,9.5125,9.5305,1.14e+14
175,9.5505,9.5305,1.14e+14
175,9.5519,9.5305,1.14e+14
175,9.5949,9.5305,1.14e+14
175,9.5685,9.5305,1.14e+14
175,9.5053,9.5305,1.14e+14
175,9.5132,9.5305,1.14e+14
175,9.4984,9.5305,1.14e+14
175,9.5451,9.5305,1.14e+14
175,9.5135,9.5305,1.14e+14
175,9.5278,9.5305,1.14e+14
175,9.5066,9.5305,1.14e+14
175,9.5479,9.5305,1.14e+14
