step,training_loss,validation_loss,total_flops_profiler
0,10.9824,10.9831,0.00e+00
0,10.9325,10.9831,0.00e+00
0,10.9568,10.9831,0.00e+00
0,10.9752,10.9831,0.00e+00
0,10.9502,10.9831,0.00e+00
0,11.0253,10.9831,0.00e+00
0,10.9678,10.9831,0.00e+00
0,10.9969,10.9831,0.00e+00
0,10.9760,10.9831,0.00e+00
0,10.9709,10.9831,0.00e+00
0,10.9801,10.9831,0.00e+00
0,10.9612,10.9831,0.00e+00
0,11.0024,10.9831,0.00e+00
0,10.9727,10.9831,0.00e+00
0,10.9826,10.9831,0.00e+00
20,18.0535,17.9794,2.70e+13
20,18.0535,17.9794,2.70e+13
20,18.1307,17.9794,2.70e+13
20,17.8990,17.9794,2.70e+13
20,17.6972,17.9794,2.70e+13
20,18.1436,17.9794,2.70e+13
20,17.9642,17.9794,2.70e+13
20,17.9860,17.9794,2.70e+13
20,18.0697,17.9794,2.70e+13
20,17.9173,17.9794,2.70e+13
20,18.0869,17.9794,2.70e+13
20,18.1276,17.9794,2.70e+13
20,17.9869,17.9794,2.70e+13
20,17.9430,17.9794,2.70e+13
20,17.9759,17.9794,2.70e+13
20,18.0810,17.9794,2.70e+13
20,18.0250,17.9794,2.70e+13
40,15.5668,15.6434,5.40e+13
40,15.5668,15.6434,5.40e+13
40,15.5996,15.6434,5.40e+13
40,15.8172,15.6434,5.40e+13
40,15.5958,15.6434,5.40e+13
40,15.7159,15.6434,5.40e+13
40,15.7731,15.6434,5.40e+13
40,15.7902,15.6434,5.40e+13
40,15.8388,15.6434,5.40e+13
40,15.9827,15.6434,5.40e+13
40,15.4639,15.6434,5.40e+13
40,15.4950,15.6434,5.40e+13
40,15.5497,15.6434,5.40e+13
40,15.8432,15.6434,5.40e+13
40,15.6633,15.6434,5.40e+13
40,15.6992,15.6434,5.40e+13
40,15.7702,15.6434,5.40e+13
60,12.9550,12.8470,8.09e+13
60,12.9550,12.8470,8.09e+13
60,12.8395,12.8470,8.09e+13
60,13.1098,12.8470,8.09e+13
60,13.1007,12.8470,8.09e+13
60,12.7357,12.8470,8.09e+13
60,12.7365,12.8470,8.09e+13
60,12.8601,12.8470,8.09e+13
60,12.7915,12.8470,8.09e+13
60,12.8247,12.8470,8.09e+13
60,12.7819,12.8470,8.09e+13
60,12.9050,12.8470,8.09e+13
60,12.8082,12.8470,8.09e+13
60,12.7893,12.8470,8.09e+13
60,12.7665,12.8470,8.09e+13
60,12.5909,12.8470,8.09e+13
60,12.9562,12.8470,8.09e+13
80,11.1934,10.8060,1.08e+14
80,11.1934,10.8060,1.08e+14
80,10.7631,10.8060,1.08e+14
80,10.9091,10.8060,1.08e+14
80,10.6983,10.8060,1.08e+14
80,10.6040,10.8060,1.08e+14
80,10.7294,10.8060,1.08e+14
80,10.9267,10.8060,1.08e+14
80,10.7213,10.8060,1.08e+14
80,10.9502,10.8060,1.08e+14
80,10.8578,10.8060,1.08e+14
80,10.8426,10.8060,1.08e+14
80,11.0143,10.8060,1.08e+14
80,10.9118,10.8060,1.08e+14
80,10.8058,10.8060,1.08e+14
80,10.8636,10.8060,1.08e+14
80,10.8811,10.8060,1.08e+14
100,9.6328,9.5688,1.35e+14
100,9.6328,9.5688,1.35e+14
100,9.7735,9.5688,1.35e+14
100,9.5635,9.5688,1.35e+14
100,9.4753,9.5688,1.35e+14
100,9.5706,9.5688,1.35e+14
100,9.7240,9.5688,1.35e+14
100,9.5471,9.5688,1.35e+14
100,9.4197,9.5688,1.35e+14
100,9.4892,9.5688,1.35e+14
100,9.6464,9.5688,1.35e+14
100,9.4047,9.5688,1.35e+14
100,9.4189,9.5688,1.35e+14
100,9.5596,9.5688,1.35e+14
100,9.6470,9.5688,1.35e+14
100,9.5475,9.5688,1.35e+14
100,9.6356,9.5688,1.35e+14
120,8.9076,8.8428,1.62e+14
120,8.9076,8.8428,1.62e+14
120,9.1138,8.8428,1.62e+14
120,8.9173,8.8428,1.62e+14
120,8.8360,8.8428,1.62e+14
120,8.9427,8.8428,1.62e+14
120,8.9347,8.8428,1.62e+14
120,9.1027,8.8428,1.62e+14
120,8.7653,8.8428,1.62e+14
120,8.8311,8.8428,1.62e+14
120,8.9358,8.8428,1.62e+14
120,8.8148,8.8428,1.62e+14
120,8.9259,8.8428,1.62e+14
120,8.9020,8.8428,1.62e+14
120,8.8295,8.8428,1.62e+14
120,8.6491,8.8428,1.62e+14
120,8.8061,8.8428,1.62e+14
