step,training_loss,validation_loss,total_flops_profiler
0,10.7739,10.7740,0.00e+00
0,10.7727,10.7740,0.00e+00
0,10.7755,10.7740,0.00e+00
0,10.7732,10.7740,0.00e+00
0,10.7743,10.7740,0.00e+00
0,10.7764,10.7740,0.00e+00
0,10.7711,10.7740,0.00e+00
0,10.7780,10.7740,0.00e+00
0,10.7733,10.7740,0.00e+00
0,10.7734,10.7740,0.00e+00
0,10.7746,10.7740,0.00e+00
0,10.7748,10.7740,0.00e+00
0,10.7737,10.7740,0.00e+00
0,10.7758,10.7740,0.00e+00
0,10.7728,10.7740,0.00e+00
20,7.8351,7.7535,6.35e+12
20,7.8351,7.7535,6.35e+12
20,7.8259,7.7535,6.35e+12
20,7.7425,7.7535,6.35e+12
20,7.7582,7.7535,6.35e+12
20,7.7484,7.7535,6.35e+12
20,7.7060,7.7535,6.35e+12
20,7.8384,7.7535,6.35e+12
20,7.7549,7.7535,6.35e+12
20,7.7307,7.7535,6.35e+12
20,7.7590,7.7535,6.35e+12
20,7.6813,7.7535,6.35e+12
20,7.7903,7.7535,6.35e+12
20,7.7740,7.7535,6.35e+12
20,7.7368,7.7535,6.35e+12
20,7.7233,7.7535,6.35e+12
20,7.7521,7.7535,6.35e+12
40,6.9614,6.9682,1.27e+13
40,6.9614,6.9682,1.27e+13
40,6.8811,6.9682,1.27e+13
40,6.9136,6.9682,1.27e+13
40,6.9920,6.9682,1.27e+13
40,6.9988,6.9682,1.27e+13
40,6.9705,6.9682,1.27e+13
40,6.9413,6.9682,1.27e+13
40,6.9298,6.9682,1.27e+13
40,6.8939,6.9682,1.27e+13
40,6.9211,6.9682,1.27e+13
40,7.0004,6.9682,1.27e+13
40,6.9384,6.9682,1.27e+13
40,6.9713,6.9682,1.27e+13
40,6.9476,6.9682,1.27e+13
40,6.9706,6.9682,1.27e+13
40,7.0114,6.9682,1.27e+13
60,6.5319,6.4676,1.90e+13
60,6.5319,6.4676,1.90e+13
60,6.4731,6.4676,1.90e+13
60,6.4402,6.4676,1.90e+13
60,6.5301,6.4676,1.90e+13
