step,training_loss,validation_loss,total_flops_profiler
0,10.7140,10.7010,0.00e+00
0,10.6946,10.7010,0.00e+00
0,10.7002,10.7010,0.00e+00
0,10.7061,10.7010,0.00e+00
0,10.7065,10.7010,0.00e+00
0,10.7153,10.7010,0.00e+00
0,10.7011,10.7010,0.00e+00
0,10.7100,10.7010,0.00e+00
0,10.6998,10.7010,0.00e+00
0,10.7113,10.7010,0.00e+00
0,10.7046,10.7010,0.00e+00
0,10.7130,10.7010,0.00e+00
0,10.7029,10.7010,0.00e+00
0,10.7028,10.7010,0.00e+00
0,10.7035,10.7010,0.00e+00
20,9.0839,9.0173,1.98e+13
20,9.0839,9.0173,1.98e+13
20,9.0256,9.0173,1.98e+13
20,9.0057,9.0173,1.98e+13
20,9.0268,9.0173,1.98e+13
20,9.0270,9.0173,1.98e+13
20,8.9975,9.0173,1.98e+13
20,9.0561,9.0173,1.98e+13
20,8.9764,9.0173,1.98e+13
20,8.9984,9.0173,1.98e+13
20,8.9952,9.0173,1.98e+13
20,8.9167,9.0173,1.98e+13
20,8.9989,9.0173,1.98e+13
20,9.0089,9.0173,1.98e+13
20,9.1471,9.0173,1.98e+13
20,8.9753,9.0173,1.98e+13
20,8.9867,9.0173,1.98e+13
40,8.1844,8.1216,3.95e+13
40,8.1844,8.1216,3.95e+13
40,8.0858,8.1216,3.95e+13
40,8.1632,8.1216,3.95e+13
40,8.1670,8.1216,3.95e+13
40,8.0753,8.1216,3.95e+13
40,8.1550,8.1216,3.95e+13
40,8.0381,8.1216,3.95e+13
40,8.1219,8.1216,3.95e+13
40,8.0471,8.1216,3.95e+13
40,8.1625,8.1216,3.95e+13
40,8.2388,8.1216,3.95e+13
40,8.2303,8.1216,3.95e+13
40,8.1480,8.1216,3.95e+13
40,8.0249,8.1216,3.95e+13
40,8.2521,8.1216,3.95e+13
40,8.0609,8.1216,3.95e+13
60,7.2495,7.3725,5.93e+13
60,7.2495,7.3725,5.93e+13
60,7.3629,7.3725,5.93e+13
60,7.2497,7.3725,5.93e+13
60,7.3916,7.3725,5.93e+13
60,7.4592,7.3725,5.93e+13
60,7.3584,7.3725,5.93e+13
60,7.2946,7.3725,5.93e+13
60,7.3344,7.3725,5.93e+13
60,7.3809,7.3725,5.93e+13
60,7.5146,7.3725,5.93e+13
60,7.3034,7.3725,5.93e+13
60,7.4975,7.3725,5.93e+13
60,7.3314,7.3725,5.93e+13
60,7.2934,7.3725,5.93e+13
60,7.4991,7.3725,5.93e+13
60,7.3655,7.3725,5.93e+13
80,7.0642,7.0604,7.90e+13
80,7.0642,7.0604,7.90e+13
80,7.1648,7.0604,7.90e+13
80,7.0224,7.0604,7.90e+13
80,7.0987,7.0604,7.90e+13
80,6.8680,7.0604,7.90e+13
80,7.0341,7.0604,7.90e+13
80,6.9449,7.0604,7.90e+13
80,7.0547,7.0604,7.90e+13
80,7.0407,7.0604,7.90e+13
80,7.0769,7.0604,7.90e+13
80,7.0922,7.0604,7.90e+13
80,6.9673,7.0604,7.90e+13
80,7.1422,7.0604,7.90e+13
80,6.9249,7.0604,7.90e+13
80,6.9853,7.0604,7.90e+13
80,7.0568,7.0604,7.90e+13
100,6.9948,6.9201,9.88e+13
100,6.9948,6.9201,9.88e+13
100,6.8701,6.9201,9.88e+13
100,6.9201,6.9201,9.88e+13
100,6.8190,6.9201,9.88e+13
100,6.9730,6.9201,9.88e+13
100,6.9044,6.9201,9.88e+13
100,6.9332,6.9201,9.88e+13
100,6.8897,6.9201,9.88e+13
100,6.7892,6.9201,9.88e+13
100,6.9288,6.9201,9.88e+13
100,6.9550,6.9201,9.88e+13
100,7.0322,6.9201,9.88e+13
100,6.9126,6.9201,9.88e+13
100,6.9102,6.9201,9.88e+13
100,6.8616,6.9201,9.88e+13
100,6.9545,6.9201,9.88e+13
120,6.8435,6.8312,1.19e+14
120,6.8435,6.8312,1.19e+14
120,6.7302,6.8312,1.19e+14
120,6.8340,6.8312,1.19e+14
120,6.9183,6.8312,1.19e+14
120,6.7783,6.8312,1.19e+14
120,6.7718,6.8312,1.19e+14
120,6.9702,6.8312,1.19e+14
120,6.8365,6.8312,1.19e+14
120,6.8606,6.8312,1.19e+14
120,6.6822,6.8312,1.19e+14
120,6.7540,6.8312,1.19e+14
120,6.8643,6.8312,1.19e+14
120,6.8216,6.8312,1.19e+14
120,6.9321,6.8312,1.19e+14
120,6.7237,6.8312,1.19e+14
120,6.8417,6.8312,1.19e+14
140,6.8499,6.7499,1.38e+14
140,6.8499,6.7499,1.38e+14
140,6.7503,6.7499,1.38e+14
140,6.6867,6.7499,1.38e+14
140,6.7733,6.7499,1.38e+14
140,6.7969,6.7499,1.38e+14
140,6.5550,6.7499,1.38e+14
140,6.7529,6.7499,1.38e+14
140,6.7890,6.7499,1.38e+14
140,6.7635,6.7499,1.38e+14
140,6.8000,6.7499,1.38e+14
140,6.7091,6.7499,1.38e+14
140,6.6238,6.7499,1.38e+14
140,6.8342,6.7499,1.38e+14
140,6.7836,6.7499,1.38e+14
140,6.7427,6.7499,1.38e+14
140,6.6729,6.7499,1.38e+14
160,6.6754,6.6796,1.58e+14
160,6.6754,6.6796,1.58e+14
160,6.5375,6.6796,1.58e+14
160,6.6058,6.6796,1.58e+14
160,6.6557,6.6796,1.58e+14
160,6.7096,6.6796,1.58e+14
160,6.6011,6.6796,1.58e+14
160,6.5522,6.6796,1.58e+14
160,6.6954,6.6796,1.58e+14
160,6.8374,6.6796,1.58e+14
160,6.6918,6.6796,1.58e+14
160,6.5998,6.6796,1.58e+14
160,6.6376,6.6796,1.58e+14
160,6.7070,6.6796,1.58e+14
160,6.6223,6.6796,1.58e+14
160,6.5394,6.6796,1.58e+14
160,6.6178,6.6796,1.58e+14
180,6.6363,6.6046,1.78e+14
180,6.6363,6.6046,1.78e+14
180,6.5190,6.6046,1.78e+14
180,6.6620,6.6046,1.78e+14
180,6.4934,6.6046,1.78e+14
180,6.6183,6.6046,1.78e+14
180,6.5978,6.6046,1.78e+14
180,6.6443,6.6046,1.78e+14
180,6.7447,6.6046,1.78e+14
180,6.5602,6.6046,1.78e+14
180,6.6530,6.6046,1.78e+14
180,6.5512,6.6046,1.78e+14
180,6.7563,6.6046,1.78e+14
180,6.6832,6.6046,1.78e+14
180,6.7316,6.6046,1.78e+14
180,6.7107,6.6046,1.78e+14
180,6.6839,6.6046,1.78e+14
200,6.5082,6.5496,1.98e+14
200,6.5082,6.5496,1.98e+14
200,6.5335,6.5496,1.98e+14
200,6.6447,6.5496,1.98e+14
200,6.5149,6.5496,1.98e+14
200,6.6423,6.5496,1.98e+14
200,6.3567,6.5496,1.98e+14
200,6.5388,6.5496,1.98e+14
200,6.6877,6.5496,1.98e+14
200,6.4517,6.5496,1.98e+14
200,6.5906,6.5496,1.98e+14
200,6.5920,6.5496,1.98e+14
200,6.5568,6.5496,1.98e+14
200,6.4884,6.5496,1.98e+14
