step,training_loss,validation_loss,total_flops_profiler
0,10.7639,10.7613,0.00e+00
0,10.7596,10.7613,0.00e+00
0,10.7618,10.7613,0.00e+00
0,10.7615,10.7613,0.00e+00
0,10.7593,10.7613,0.00e+00
0,10.7676,10.7613,0.00e+00
0,10.7657,10.7613,0.00e+00
0,10.7619,10.7613,0.00e+00
0,10.7611,10.7613,0.00e+00
0,10.7528,10.7613,0.00e+00
0,10.7590,10.7613,0.00e+00
0,10.7634,10.7613,0.00e+00
0,10.7595,10.7613,0.00e+00
0,10.7671,10.7613,0.00e+00
0,10.7607,10.7613,0.00e+00
20,9.8970,9.8499,1.30e+13
20,9.8970,9.8499,1.30e+13
20,9.8542,9.8499,1.30e+13
20,9.8456,9.8499,1.30e+13
20,9.8462,9.8499,1.30e+13
20,9.8305,9.8499,1.30e+13
20,9.8598,9.8499,1.30e+13
20,9.8567,9.8499,1.30e+13
20,9.8614,9.8499,1.30e+13
20,9.8406,9.8499,1.30e+13
20,9.8706,9.8499,1.30e+13
20,9.8533,9.8499,1.30e+13
20,9.8739,9.8499,1.30e+13
20,9.8655,9.8499,1.30e+13
20,9.8396,9.8499,1.30e+13
20,9.8353,9.8499,1.30e+13
20,9.8801,9.8499,1.30e+13
40,9.6104,9.5973,2.59e+13
40,9.6104,9.5973,2.59e+13
40,9.5849,9.5973,2.59e+13
40,9.5976,9.5973,2.59e+13
40,9.6176,9.5973,2.59e+13
40,9.6111,9.5973,2.59e+13
40,9.6288,9.5973,2.59e+13
40,9.6160,9.5973,2.59e+13
40,9.5824,9.5973,2.59e+13
40,9.5968,9.5973,2.59e+13
40,9.5951,9.5973,2.59e+13
40,9.5958,9.5973,2.59e+13
40,9.6049,9.5973,2.59e+13
40,9.6253,9.5973,2.59e+13
40,9.6042,9.5973,2.59e+13
40,9.5891,9.5973,2.59e+13
40,9.6076,9.5973,2.59e+13
60,9.5122,9.4855,3.89e+13
60,9.5122,9.4855,3.89e+13
60,9.4966,9.4855,3.89e+13
60,9.5122,9.4855,3.89e+13
60,9.4669,9.4855,3.89e+13
60,9.4752,9.4855,3.89e+13
60,9.5125,9.4855,3.89e+13
60,9.5403,9.4855,3.89e+13
60,9.4999,9.4855,3.89e+13
60,9.5169,9.4855,3.89e+13
60,9.4386,9.4855,3.89e+13
60,9.4961,9.4855,3.89e+13
60,9.4849,9.4855,3.89e+13
60,9.4934,9.4855,3.89e+13
60,9.4729,9.4855,3.89e+13
60,9.4926,9.4855,3.89e+13
60,9.4861,9.4855,3.89e+13
80,9.3731,9.3925,5.19e+13
80,9.3731,9.3925,5.19e+13
80,9.4101,9.3925,5.19e+13
80,9.3737,9.3925,5.19e+13
80,9.3932,9.3925,5.19e+13
80,9.3842,9.3925,5.19e+13
80,9.3948,9.3925,5.19e+13
80,9.3722,9.3925,5.19e+13
80,9.3820,9.3925,5.19e+13
80,9.3444,9.3925,5.19e+13
80,9.3926,9.3925,5.19e+13
80,9.3719,9.3925,5.19e+13
80,9.3866,9.3925,5.19e+13
80,9.3954,9.3925,5.19e+13
80,9.3881,9.3925,5.19e+13
80,9.4073,9.3925,5.19e+13
80,9.4023,9.3925,5.19e+13
100,9.2799,9.3120,6.49e+13
100,9.2799,9.3120,6.49e+13
100,9.3329,9.3120,6.49e+13
100,9.3567,9.3120,6.49e+13
100,9.3218,9.3120,6.49e+13
100,9.3311,9.3120,6.49e+13
100,9.3199,9.3120,6.49e+13
100,9.2970,9.3120,6.49e+13
100,9.3240,9.3120,6.49e+13
100,9.3416,9.3120,6.49e+13
100,9.2967,9.3120,6.49e+13
100,9.3471,9.3120,6.49e+13
100,9.3453,9.3120,6.49e+13
100,9.3149,9.3120,6.49e+13
100,9.3186,9.3120,6.49e+13
100,9.3663,9.3120,6.49e+13
