step,training_loss,validation_loss,total_flops_profiler
0,10.8099,10.8100,0.00e+00
0,10.8115,10.8100,0.00e+00
0,10.8095,10.8100,0.00e+00
0,10.8120,10.8100,0.00e+00
0,10.8089,10.8100,0.00e+00
0,10.8110,10.8100,0.00e+00
0,10.8106,10.8100,0.00e+00
0,10.8112,10.8100,0.00e+00
0,10.8108,10.8100,0.00e+00
0,10.8073,10.8100,0.00e+00
0,10.8072,10.8100,0.00e+00
0,10.8102,10.8100,0.00e+00
0,10.8104,10.8100,0.00e+00
0,10.8136,10.8100,0.00e+00
0,10.8111,10.8100,0.00e+00
20,10.7126,10.7083,1.30e+13
20,10.7126,10.7083,1.30e+13
20,10.7081,10.7083,1.30e+13
20,10.7120,10.7083,1.30e+13
20,10.7029,10.7083,1.30e+13
20,10.7072,10.7083,1.30e+13
20,10.7073,10.7083,1.30e+13
20,10.7054,10.7083,1.30e+13
20,10.7098,10.7083,1.30e+13
20,10.7095,10.7083,1.30e+13
20,10.7093,10.7083,1.30e+13
20,10.7117,10.7083,1.30e+13
20,10.7116,10.7083,1.30e+13
20,10.7139,10.7083,1.30e+13
20,10.7111,10.7083,1.30e+13
20,10.7045,10.7083,1.30e+13
20,10.7115,10.7083,1.30e+13
40,10.6416,10.6377,2.59e+13
40,10.6416,10.6377,2.59e+13
40,10.6338,10.6377,2.59e+13
40,10.6382,10.6377,2.59e+13
40,10.6386,10.6377,2.59e+13
40,10.6388,10.6377,2.59e+13
40,10.6393,10.6377,2.59e+13
40,10.6420,10.6377,2.59e+13
40,10.6358,10.6377,2.59e+13
40,10.6372,10.6377,2.59e+13
40,10.6354,10.6377,2.59e+13
40,10.6393,10.6377,2.59e+13
40,10.6359,10.6377,2.59e+13
40,10.6404,10.6377,2.59e+13
40,10.6381,10.6377,2.59e+13
40,10.6354,10.6377,2.59e+13
40,10.6445,10.6377,2.59e+13
60,10.5896,10.5833,3.89e+13
60,10.5896,10.5833,3.89e+13
60,10.5870,10.5833,3.89e+13
60,10.5908,10.5833,3.89e+13
60,10.5822,10.5833,3.89e+13
60,10.5797,10.5833,3.89e+13
60,10.5793,10.5833,3.89e+13
60,10.5901,10.5833,3.89e+13
60,10.5850,10.5833,3.89e+13
60,10.5866,10.5833,3.89e+13
60,10.5813,10.5833,3.89e+13
60,10.5825,10.5833,3.89e+13
60,10.5763,10.5833,3.89e+13
60,10.5862,10.5833,3.89e+13
60,10.5844,10.5833,3.89e+13
60,10.5821,10.5833,3.89e+13
60,10.5871,10.5833,3.89e+13
80,10.5411,10.5368,5.19e+13
80,10.5411,10.5368,5.19e+13
80,10.5368,10.5368,5.19e+13
80,10.5355,10.5368,5.19e+13
80,10.5381,10.5368,5.19e+13
80,10.5273,10.5368,5.19e+13
80,10.5393,10.5368,5.19e+13
80,10.5293,10.5368,5.19e+13
80,10.5303,10.5368,5.19e+13
80,10.5367,10.5368,5.19e+13
80,10.5391,10.5368,5.19e+13
80,10.5312,10.5368,5.19e+13
80,10.5387,10.5368,5.19e+13
80,10.5333,10.5368,5.19e+13
80,10.5350,10.5368,5.19e+13
80,10.5415,10.5368,5.19e+13
80,10.5402,10.5368,5.19e+13
100,10.4875,10.4960,6.49e+13
100,10.4875,10.4960,6.49e+13
100,10.4969,10.4960,6.49e+13
100,10.4987,10.4960,6.49e+13
100,10.5035,10.4960,6.49e+13
100,10.5000,10.4960,6.49e+13
100,10.4895,10.4960,6.49e+13
100,10.4927,10.4960,6.49e+13
100,10.4916,10.4960,6.49e+13
100,10.5000,10.4960,6.49e+13
100,10.4952,10.4960,6.49e+13
100,10.5030,10.4960,6.49e+13
100,10.4995,10.4960,6.49e+13
100,10.4884,10.4960,6.49e+13
100,10.5018,10.4960,6.49e+13
100,10.5029,10.4960,6.49e+13
100,10.5000,10.4960,6.49e+13
120,10.4533,10.4605,7.78e+13
120,10.4533,10.4605,7.78e+13
120,10.4582,10.4605,7.78e+13
120,10.4541,10.4605,7.78e+13
120,10.4716,10.4605,7.78e+13
120,10.4646,10.4605,7.78e+13
120,10.4695,10.4605,7.78e+13
120,10.4669,10.4605,7.78e+13
120,10.4664,10.4605,7.78e+13
120,10.4553,10.4605,7.78e+13
120,10.4647,10.4605,7.78e+13
120,10.4559,10.4605,7.78e+13
120,10.4638,10.4605,7.78e+13
120,10.4587,10.4605,7.78e+13
120,10.4588,10.4605,7.78e+13
120,10.4502,10.4605,7.78e+13
120,10.4665,10.4605,7.78e+13
140,10.4318,10.4298,9.08e+13
140,10.4318,10.4298,9.08e+13
140,10.4385,10.4298,9.08e+13
140,10.4285,10.4298,9.08e+13
140,10.4270,10.4298,9.08e+13
140,10.4178,10.4298,9.08e+13
140,10.4365,10.4298,9.08e+13
140,10.4238,10.4298,9.08e+13
140,10.4190,10.4298,9.08e+13
140,10.4335,10.4298,9.08e+13
140,10.4309,10.4298,9.08e+13
140,10.4274,10.4298,9.08e+13
140,10.4186,10.4298,9.08e+13
140,10.4437,10.4298,9.08e+13
140,10.4364,10.4298,9.08e+13
140,10.4307,10.4298,9.08e+13
140,10.4243,10.4298,9.08e+13
160,10.4015,10.4035,1.04e+14
160,10.4015,10.4035,1.04e+14
160,10.4061,10.4035,1.04e+14
160,10.4094,10.4035,1.04e+14
160,10.4049,10.4035,1.04e+14
160,10.3959,10.4035,1.04e+14
160,10.3977,10.4035,1.04e+14
160,10.4092,10.4035,1.04e+14
160,10.3993,10.4035,1.04e+14
160,10.3991,10.4035,1.04e+14
160,10.4085,10.4035,1.04e+14
160,10.3989,10.4035,1.04e+14
160,10.3972,10.4035,1.04e+14
160,10.3965,10.4035,1.04e+14
160,10.4004,10.4035,1.04e+14
160,10.3983,10.4035,1.04e+14
160,10.4156,10.4035,1.04e+14
180,10.3778,10.3810,1.17e+14
180,10.3778,10.3810,1.17e+14
