# historical_transformer: lr = 0.037421 * hidden_dim^(-0.7599), R^2=0.2648
hidden_dim,learning_rate,log10_lr
32,0.00268775,-2.5706
48,0.00197506,-2.7044
64,0.00158724,-2.7994
80,0.00133968,-2.8730
96,0.00116637,-2.9332
112,0.00103744,-2.9840
128,0.00093734,-3.0281
144,0.00085709,-3.0670
160,0.00079115,-3.1017
176,0.00073587,-3.1332
192,0.00068879,-3.1619
208,0.00064815,-3.1883
224,0.00061266,-3.2128
240,0.00058136,-3.2356
256,0.00055354,-3.2569
272,0.00052862,-3.2769
288,0.00050615,-3.2957
304,0.00048578,-3.3136
320,0.00046721,-3.3305
336,0.00045020,-3.3466
352,0.00043457,-3.3619
368,0.00042013,-3.3766
384,0.00040676,-3.3907
400,0.00039434,-3.4041
416,0.00038276,-3.4171
432,0.00037194,-3.4295
448,0.00036180,-3.4415
464,0.00035228,-3.4531
480,0.00034332,-3.4643
496,0.00033487,-3.4751
512,0.00032689,-3.4856
