# historical_transformer_fair_combined: lr = 0.030009 * hidden_dim^(-0.6528), R^2=0.6194
hidden_dim,learning_rate,log10_lr
32,0.00312434,-2.5052
48,0.00239781,-2.6202
64,0.00198729,-2.7017
80,0.00171792,-2.7650
96,0.00152517,-2.8167
112,0.00137917,-2.8604
128,0.00126405,-2.8982
144,0.00117051,-2.9316
160,0.00109271,-2.9615
176,0.00102680,-2.9885
192,0.00097011,-3.0132
208,0.00092072,-3.0359
224,0.00087724,-3.0569
240,0.00083861,-3.0764
256,0.00080402,-3.0947
272,0.00077282,-3.1119
288,0.00074452,-3.1281
304,0.00071870,-3.1435
320,0.00069504,-3.1580
336,0.00067325,-3.1718
352,0.00065311,-3.1850
368,0.00063443,-3.1976
384,0.00061705,-3.2097
400,0.00060083,-3.2213
416,0.00058564,-3.2324
432,0.00057139,-3.2431
448,0.00055798,-3.2534
464,0.00054535,-3.2633
480,0.00053341,-3.2729
496,0.00052212,-3.2822
512,0.00051141,-3.2912
