# historical_transformer_fair_combined_iter2: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.1600 * log10(N) + -1.8423,  R^2 = 0.2666
# Equivalently: eta* = 1.437652e-02 * N^(-0.1600)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,74833,0.00238693,-2.6222
48,133201,0.00217659,-2.6622
64,246865,0.00197200,-2.7051
80,434257,0.00180162,-2.7443
96,713809,0.00166391,-2.7789
112,1103953,0.00155179,-2.8092
128,1623121,0.00145898,-2.8359
144,2289745,0.00138083,-2.8599
160,3122257,0.00131400,-2.8814
176,4139089,0.00125604,-2.9010
192,5358673,0.00120521,-2.9189
208,6799441,0.00116015,-2.9355
224,8479825,0.00111988,-2.9508
240,10418257,0.00108359,-2.9651
256,12633169,0.00105068,-2.9785
272,15142993,0.00102066,-2.9911
288,17966161,0.00099312,-3.0030
304,21121105,0.00096775,-3.0142
320,24626257,0.00094426,-3.0249
336,28500049,0.00092245,-3.0351
352,32760913,0.00090211,-3.0447
368,37427281,0.00088310,-3.0540
384,42517585,0.00086526,-3.0629
400,48050257,0.00084849,-3.0714
416,54043729,0.00083268,-3.0795
432,60516433,0.00081775,-3.0874
448,67486801,0.00080361,-3.0950
464,74973265,0.00079020,-3.1023
480,82994257,0.00077745,-3.1093
496,91568209,0.00076532,-3.1162
512,100713553,0.00075375,-3.1228
