# historical_transformer_fair_combined_iter3: lr = 0.039755 * hidden_dim^(-0.7221), R^2=0.7136
hidden_dim,learning_rate,log10_lr
32,0.00325492,-2.4875
48,0.00242878,-2.6146
64,0.00197320,-2.7048
80,0.00167955,-2.7748
96,0.00147237,-2.8320
112,0.00131728,-2.8803
128,0.00119619,-2.9222
144,0.00109866,-2.9591
160,0.00101818,-2.9922
176,0.00095046,-3.0221
192,0.00089258,-3.0494
208,0.00084246,-3.0745
224,0.00079856,-3.0977
240,0.00075975,-3.1193
256,0.00072516,-3.1396
272,0.00069410,-3.1586
288,0.00066603,-3.1765
304,0.00064053,-3.1935
320,0.00061724,-3.2095
336,0.00059587,-3.2248
352,0.00057619,-3.2394
368,0.00055799,-3.2534
384,0.00054110,-3.2667
400,0.00052539,-3.2795
416,0.00051071,-3.2918
432,0.00049698,-3.3037
448,0.00048410,-3.3151
464,0.00047199,-3.3261
480,0.00046058,-3.3367
496,0.00044980,-3.3470
512,0.00043961,-3.3569
