# historical_transformer_fair_combined_iter3: parabolic-vertex scaling law, eta* = 0.032873 * d^(-0.6895), R^2=0.6566
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.00301374,-2.5209
48,0.00227876,-2.6423
64,0.00186878,-2.7284
80,0.00160230,-2.7953
96,0.00141303,-2.8498
112,0.00127056,-2.8960
128,0.00115881,-2.9360
144,0.00106843,-2.9713
160,0.00099357,-3.0028
176,0.00093038,-3.0313
192,0.00087620,-3.0574
208,0.00082916,-3.0814
224,0.00078786,-3.1036
240,0.00075126,-3.1242
256,0.00071856,-3.1435
272,0.00068915,-3.1617
288,0.00066252,-3.1788
304,0.00063828,-3.1950
320,0.00061610,-3.2104
336,0.00059572,-3.2250
352,0.00057691,-3.2389
368,0.00055950,-3.2522
384,0.00054332,-3.2649
400,0.00052824,-3.2772
416,0.00051415,-3.2889
432,0.00050095,-3.3002
448,0.00048854,-3.3111
464,0.00047686,-3.3216
480,0.00046585,-3.3318
496,0.00045543,-3.3416
512,0.00044557,-3.3511
