# historical_transformer_iter2_combined: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.2410 * log10(N) + -1.2964,  R^2 = 0.6733
# Equivalently: eta* = 5.053634e-02 * N^(-0.2410)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,83025,0.00329821,-2.4817
48,160849,0.00281238,-2.5509
64,312401,0.00239666,-2.6204
80,562257,0.00208022,-2.6819
96,934993,0.00184029,-2.7351
112,1455185,0.00165423,-2.7814
128,2147409,0.00150618,-2.8221
144,3036241,0.00138558,-2.8584
160,4146257,0.00128536,-2.8910
176,5502033,0.00120065,-2.9206
192,7128145,0.00112803,-2.9477
208,9049169,0.00106500,-2.9726
224,11289681,0.00100972,-2.9958
240,13874257,0.00096079,-3.0174
256,16827473,0.00091714,-3.0376
272,20173905,0.00087792,-3.0565
288,23938129,0.00084246,-3.0745
304,28144721,0.00081023,-3.0914
320,32818257,0.00078079,-3.1075
336,37983313,0.00075377,-3.1228
352,43664465,0.00072887,-3.1373
368,49886289,0.00070585,-3.1513
384,56673361,0.00068448,-3.1646
400,64050257,0.00066459,-3.1774
416,72041553,0.00064603,-3.1897
432,80671825,0.00062866,-3.2016
448,89965649,0.00061235,-3.2130
464,99947601,0.00059702,-3.2240
480,110642257,0.00058258,-3.2346
496,122074193,0.00056894,-3.2449
512,134267985,0.00055603,-3.2549
