# historical_transformer_iter3: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.2567 * log10(N) + -1.2719,  R^2 = 0.7919
# Equivalently: eta* = 5.346602e-02 * N^(-0.2567)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,74833,0.00299758,-2.5232
48,133201,0.00258513,-2.5875
64,246865,0.00220644,-2.6563
80,434257,0.00190862,-2.7193
96,713809,0.00168000,-2.7747
112,1103953,0.00150208,-2.8233
128,1623121,0.00136056,-2.8663
144,2289745,0.00124553,-2.9046
160,3122257,0.00115021,-2.9392
176,4139089,0.00106990,-2.9707
192,5358673,0.00100127,-2.9994
208,6799441,0.00094190,-3.0260
224,8479825,0.00088998,-3.0506
240,10418257,0.00084416,-3.0736
256,12633169,0.00080340,-3.0951
272,15142993,0.00076688,-3.1153
288,17966161,0.00073395,-3.1343
304,21121105,0.00070409,-3.1524
320,24626257,0.00067688,-3.1695
336,28500049,0.00065196,-3.1858
352,32760913,0.00062906,-3.2013
368,37427281,0.00060791,-3.2162
384,42517585,0.00058833,-3.2304
400,48050257,0.00057014,-3.2440
416,54043729,0.00055320,-3.2571
432,60516433,0.00053736,-3.2697
448,67486801,0.00052253,-3.2819
464,74973265,0.00050861,-3.2936
480,82994257,0.00049551,-3.3049
496,91568209,0.00048316,-3.3159
512,100713553,0.00047149,-3.3265
