# lstm_layer2_large: parabolic-vertex scaling law, eta* = 0.312361 * d^(-0.6018), R^2=0.9781
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.03880073,-1.4112
48,0.03039948,-1.5171
64,0.02556680,-1.5923
80,0.02235398,-1.6506
96,0.02003100,-1.6983
112,0.01825632,-1.7386
128,0.01684663,-1.7735
144,0.01569382,-1.8043
160,0.01472961,-1.8318
176,0.01390851,-1.8567
192,0.01319894,-1.8795
208,0.01257821,-1.9004
224,0.01202956,-1.9198
240,0.01154031,-1.9378
256,0.01110068,-1.9547
272,0.01070297,-1.9705
288,0.01034107,-1.9854
304,0.01001000,-1.9996
320,0.00970572,-2.0130
336,0.00942488,-2.0257
352,0.00916468,-2.0379
368,0.00892276,-2.0495
384,0.00869712,-2.0606
400,0.00848606,-2.0713
416,0.00828811,-2.0815
432,0.00810199,-2.0914
448,0.00792659,-2.1009
464,0.00776095,-2.1101
480,0.00760421,-2.1189
496,0.00745562,-2.1275
512,0.00731452,-2.1358
