# modern_transformer_iter2_combined: parabolic+argmin scaling law vs non-embedding N
# Fit: log10(eta*) = -0.4431 * log10(N) + 0.2651,  R^2 = 0.9698
# Equivalently: eta* = 1.841293e+00 * N^(-0.4431)
# N is computed per hidden_dim via experiment_utils.calculate_non_embedding_params
# (Kaplan et al. 2020 definition; matches Bjorck 2025 / Chinchilla protocol).
hidden_dim,N_non_embedding,learning_rate,log10_lr
32,83025,0.01217952,-1.9144
48,160849,0.00908615,-2.0416
64,312401,0.00677094,-2.1694
80,562257,0.00521880,-2.2824
96,934993,0.00416592,-2.3803
112,1455185,0.00342448,-2.4654
128,2147409,0.00288217,-2.5403
144,3036241,0.00247215,-2.6069
160,4146257,0.00215338,-2.6669
176,5502033,0.00189969,-2.7213
192,7128145,0.00169379,-2.7711
208,9049169,0.00152386,-2.8171
224,11289681,0.00138159,-2.8596
240,13874257,0.00126099,-2.8993
256,16827473,0.00115766,-2.9364
272,20173905,0.00106827,-2.9713
288,23938129,0.00099029,-3.0042
304,28144721,0.00092175,-3.0354
320,32818257,0.00086109,-3.0649
336,37983313,0.00080710,-3.0931
352,43664465,0.00075876,-3.1199
368,49886289,0.00071528,-3.1455
384,56673361,0.00067597,-3.1701
400,64050257,0.00064030,-3.1936
416,72041553,0.00060780,-3.2162
432,80671825,0.00057808,-3.2380
448,89965649,0.00055082,-3.2590
464,99947601,0.00052573,-3.2792
480,110642257,0.00050258,-3.2988
496,122074193,0.00048115,-3.3177
512,134267985,0.00046128,-3.3360
