step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.5646,10.5666,8.03e+12,8.28e+12,819200
200,9.5530,9.5194,1.61e+13,1.66e+13,1638400
300,8.5945,8.5699,2.41e+13,2.48e+13,2457600
400,8.0281,8.0471,3.21e+13,3.31e+13,3276800
500,7.8583,7.7944,4.01e+13,4.14e+13,4096000
600,7.6623,7.6967,4.82e+13,4.97e+13,4915200
700,7.6497,7.6689,5.62e+13,5.79e+13,5734400
800,7.6061,7.6616,6.42e+13,6.62e+13,6553600
900,7.7240,7.6582,7.22e+13,7.45e+13,7372800
1000,7.5614,7.6562,8.03e+13,8.28e+13,8192000
1100,7.6708,7.6551,8.83e+13,9.10e+13,9011200
1200,7.6802,7.6534,9.63e+13,9.93e+13,9830400
1300,7.5691,7.6368,1.04e+14,1.08e+14,10649600
1400,7.6993,7.6094,1.12e+14,1.16e+14,11468800
1500,7.5566,7.5797,1.20e+14,1.24e+14,12288000
1600,7.5381,7.5501,1.28e+14,1.32e+14,13107200
1700,7.5249,7.5240,1.36e+14,1.41e+14,13926400
1800,7.4558,7.5012,1.44e+14,1.49e+14,14745600
1900,7.5068,7.4790,1.52e+14,1.57e+14,15564800
