step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.4696,10.4795,2.70e+13,2.73e+13,819200
200,9.6393,9.6097,5.40e+13,5.45e+13,1638400
300,8.8304,8.8105,8.09e+13,8.18e+13,2457600
400,8.3117,8.3255,1.08e+14,1.09e+14,3276800
500,8.0878,8.0295,1.35e+14,1.36e+14,4096000
600,7.8244,7.8529,1.62e+14,1.64e+14,4915200
700,7.7363,7.7539,1.89e+14,1.91e+14,5734400
800,7.6521,7.7033,2.16e+14,2.18e+14,6553600
900,7.7423,7.6798,2.43e+14,2.45e+14,7372800
1000,7.5782,7.6686,2.70e+14,2.73e+14,8192000
1100,7.6775,7.6610,2.97e+14,3.00e+14,9011200
1200,7.6559,7.6296,3.24e+14,3.27e+14,9830400
1300,7.5373,7.6068,3.51e+14,3.54e+14,10649600
1400,7.6696,7.5804,3.78e+14,3.82e+14,11468800
1500,7.5322,7.5547,4.05e+14,4.09e+14,12288000
1600,7.5159,7.5296,4.32e+14,4.36e+14,13107200
1700,7.5007,7.5038,4.59e+14,4.63e+14,13926400
1800,7.4363,7.4774,4.86e+14,4.91e+14,14745600
1900,7.4808,7.4511,5.13e+14,5.18e+14,15564800
