step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,9.7770,9.7490,1.25e+14,1.26e+14,819200
200,8.0742,8.0388,2.50e+14,2.51e+14,1638400
300,7.2858,7.3363,3.75e+14,3.77e+14,2457600
400,7.2463,7.0157,5.00e+14,5.02e+14,3276800
500,6.6535,6.8157,6.25e+14,6.28e+14,4096000
600,6.5469,6.6902,7.51e+14,7.54e+14,4915200
700,6.7032,6.6039,8.76e+14,8.79e+14,5734400
800,6.4163,6.5335,1.00e+15,1.00e+15,6553600
900,6.2555,6.4717,1.13e+15,1.13e+15,7372800
1000,6.6164,6.4182,1.25e+15,1.26e+15,8192000
1100,6.5479,6.3682,1.38e+15,1.38e+15,9011200
1200,6.4827,6.3302,1.50e+15,1.51e+15,9830400
1300,6.4390,6.2910,1.63e+15,1.63e+15,10649600
1400,6.4874,6.2590,1.75e+15,1.76e+15,11468800
1500,6.0706,6.2253,1.88e+15,1.88e+15,12288000
1600,6.1011,6.1974,2.00e+15,2.01e+15,13107200
1700,6.4945,6.1651,2.13e+15,2.14e+15,13926400
1800,6.2688,6.1424,2.25e+15,2.26e+15,14745600
1900,6.2434,6.1210,2.38e+15,2.39e+15,15564800
2000,6.0476,6.0946,2.50e+15,2.51e+15,16384000
2100,5.9931,6.0773,2.63e+15,2.64e+15,17203200
2200,6.0890,6.0548,2.75e+15,2.76e+15,18022400
2300,5.9848,6.0347,2.88e+15,2.89e+15,18841600
2400,6.0296,6.0169,3.00e+15,3.01e+15,19660800
2500,6.0553,6.0022,3.13e+15,3.14e+15,20480000
2600,5.9740,5.9843,3.25e+15,3.27e+15,21299200
2700,5.9768,5.9683,3.38e+15,3.39e+15,22118400
2800,5.8758,5.9536,3.50e+15,3.52e+15,22937600
2900,6.0140,5.9390,3.63e+15,3.64e+15,23756800
3000,5.8874,5.9264,3.75e+15,3.77e+15,24576000
3100,5.8921,5.9130,3.88e+15,3.89e+15,25395200
