step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.0235,10.0440,3.94e+13,3.97e+13,819200
200,8.5433,8.4902,7.87e+13,7.93e+13,1638400
300,7.7705,7.7515,1.18e+14,1.19e+14,2457600
400,7.6378,7.6669,1.57e+14,1.59e+14,3276800
500,7.6421,7.5765,1.97e+14,1.98e+14,4096000
600,7.4390,7.4742,2.36e+14,2.38e+14,4915200
700,7.3531,7.3786,2.75e+14,2.78e+14,5734400
800,7.2360,7.2894,3.15e+14,3.17e+14,6553600
900,7.2820,7.2024,3.54e+14,3.57e+14,7372800
1000,7.0100,7.1235,3.94e+14,3.97e+14,8192000
1100,7.0776,7.0570,4.33e+14,4.36e+14,9011200
1200,7.0356,7.0010,4.72e+14,4.76e+14,9830400
1300,6.8753,6.9517,5.12e+14,5.16e+14,10649600
1400,6.9773,6.9120,5.51e+14,5.55e+14,11468800
1500,6.8588,6.8707,5.90e+14,5.95e+14,12288000
1600,6.7805,6.8365,6.30e+14,6.35e+14,13107200
1700,6.8173,6.8068,6.69e+14,6.74e+14,13926400
1800,6.7296,6.7809,7.08e+14,7.14e+14,14745600
1900,6.7802,6.7565,7.48e+14,7.54e+14,15564800
