step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.3223,10.3381,3.94e+13,3.97e+13,819200
200,9.3209,9.2850,7.87e+13,7.93e+13,1638400
300,8.4361,8.4167,1.18e+14,1.19e+14,2457600
400,7.9557,7.9748,1.57e+14,1.59e+14,3276800
500,7.8376,7.7743,1.97e+14,1.98e+14,4096000
600,7.6621,7.6985,2.36e+14,2.38e+14,4915200
700,7.6469,7.6652,2.75e+14,2.78e+14,5734400
800,7.5618,7.6135,3.15e+14,3.17e+14,6553600
900,7.6423,7.5712,3.54e+14,3.57e+14,7372800
1000,7.4297,7.5230,3.94e+14,3.97e+14,8192000
1100,7.4899,7.4771,4.33e+14,4.36e+14,9011200
1200,7.4613,7.4318,4.72e+14,4.76e+14,9830400
1300,7.3179,7.3890,5.12e+14,5.16e+14,10649600
1400,7.4379,7.3478,5.51e+14,5.55e+14,11468800
1500,7.2918,7.3077,5.90e+14,5.95e+14,12288000
1600,7.2402,7.2666,6.30e+14,6.35e+14,13107200
1700,7.2317,7.2266,6.69e+14,6.74e+14,13926400
1800,7.1485,7.1898,7.08e+14,7.14e+14,14745600
1900,7.1877,7.1557,7.48e+14,7.54e+14,15564800
