step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.5793,7.7361,2.70e+13,2.73e+13,819200
200,7.7702,7.6990,5.40e+13,5.45e+13,1638400
300,7.7138,7.6929,8.09e+13,8.18e+13,2457600
400,7.6563,7.6840,1.08e+14,1.09e+14,3276800
500,7.7521,7.6799,1.35e+14,1.36e+14,4096000
600,7.6351,7.6767,1.62e+14,1.64e+14,4915200
700,7.6598,7.6743,1.89e+14,1.91e+14,5734400
800,7.6148,7.6702,2.16e+14,2.18e+14,6553600
900,7.7373,7.6682,2.43e+14,2.45e+14,7372800
1000,7.5687,7.6662,2.70e+14,2.73e+14,8192000
1100,7.6780,7.6660,2.97e+14,3.00e+14,9011200
1200,7.6892,7.6644,3.24e+14,3.27e+14,9830400
1300,7.5981,7.6639,3.51e+14,3.54e+14,10649600
1400,7.7531,7.6627,3.78e+14,3.82e+14,11468800
1500,7.6351,7.6641,4.05e+14,4.09e+14,12288000
1600,7.6531,7.6617,4.32e+14,4.36e+14,13107200
1700,7.6590,7.6610,4.59e+14,4.63e+14,13926400
1800,7.6090,7.6601,4.86e+14,4.91e+14,14745600
1900,7.6902,7.6598,5.13e+14,5.18e+14,15564800
