step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.5703,7.7540,2.70e+13,2.73e+13,819200
200,7.8202,7.7445,5.40e+13,5.45e+13,1638400
300,7.7299,7.7064,8.09e+13,8.18e+13,2457600
400,7.6642,7.6917,1.08e+14,1.09e+14,3276800
500,7.7555,7.6842,1.35e+14,1.36e+14,4096000
600,7.6402,7.6805,1.62e+14,1.64e+14,4915200
700,7.6669,7.6801,1.89e+14,1.91e+14,5734400
800,7.6289,7.6998,2.16e+14,2.18e+14,6553600
900,7.7425,7.6721,2.43e+14,2.45e+14,7372800
1000,7.5721,7.6692,2.70e+14,2.73e+14,8192000
1100,7.6808,7.6697,2.97e+14,3.00e+14,9011200
1200,7.6928,7.6682,3.24e+14,3.27e+14,9830400
1300,7.6015,7.6672,3.51e+14,3.54e+14,10649600
1400,7.7586,7.6665,3.78e+14,3.82e+14,11468800
1500,7.6371,7.6671,4.05e+14,4.09e+14,12288000
1600,7.6576,7.6643,4.32e+14,4.36e+14,13107200
1700,7.6623,7.6644,4.59e+14,4.63e+14,13926400
1800,7.6148,7.6640,4.86e+14,4.91e+14,14745600
1900,7.6926,7.6623,5.13e+14,5.18e+14,15564800
