step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,9.7997,9.8145,8.03e+12,8.28e+12,819200
200,7.8722,7.8050,1.61e+13,1.66e+13,1638400
300,7.6835,7.6662,2.41e+13,2.48e+13,2457600
400,7.6107,7.6372,3.21e+13,3.31e+13,3276800
500,7.5664,7.5025,4.01e+13,4.14e+13,4096000
600,7.3912,7.4296,4.82e+13,4.97e+13,4915200
700,7.3557,7.3815,5.62e+13,5.79e+13,5734400
800,7.2295,7.2791,6.42e+13,6.62e+13,6553600
900,7.2377,7.1700,7.22e+13,7.45e+13,7372800
1000,6.9728,7.0862,8.03e+13,8.28e+13,8192000
1100,7.0360,7.0219,8.83e+13,9.10e+13,9011200
1200,6.9961,6.9635,9.63e+13,9.93e+13,9830400
1300,6.8269,6.9111,1.04e+14,1.08e+14,10649600
1400,6.9318,6.8603,1.12e+14,1.16e+14,11468800
1500,6.8048,6.8174,1.20e+14,1.24e+14,12288000
1600,6.7195,6.7757,1.28e+14,1.32e+14,13107200
1700,6.7524,6.7407,1.36e+14,1.41e+14,13926400
1800,6.6622,6.7091,1.44e+14,1.49e+14,14745600
1900,6.7056,6.6805,1.52e+14,1.57e+14,15564800
