step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.5643,7.7623,1.68e+13,1.70e+13,819200
200,7.8120,7.7383,3.36e+13,3.41e+13,1638400
300,7.7300,7.7068,5.03e+13,5.11e+13,2457600
400,7.6607,7.6898,6.71e+13,6.82e+13,3276800
500,7.7575,7.6858,8.39e+13,8.52e+13,4096000
600,7.6407,7.6839,1.01e+14,1.02e+14,4915200
700,7.6648,7.6783,1.17e+14,1.19e+14,5734400
800,7.6188,7.6734,1.34e+14,1.36e+14,6553600
900,7.7420,7.6713,1.51e+14,1.53e+14,7372800
1000,7.5726,7.6693,1.68e+14,1.70e+14,8192000
1100,7.6811,7.6696,1.85e+14,1.87e+14,9011200
1200,7.6918,7.6674,2.01e+14,2.04e+14,9830400
1300,7.6024,7.6669,2.18e+14,2.22e+14,10649600
1400,7.7581,7.6656,2.35e+14,2.39e+14,11468800
1500,7.6371,7.6674,2.52e+14,2.56e+14,12288000
1600,7.6567,7.6642,2.68e+14,2.73e+14,13107200
1700,7.6620,7.6631,2.85e+14,2.90e+14,13926400
1800,7.6142,7.6627,3.02e+14,3.07e+14,14745600
1900,7.6925,7.6633,3.19e+14,3.24e+14,15564800
