step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.5780,7.6463,2.00e+14,2.01e+14,819200
200,6.9364,6.9572,4.00e+14,4.01e+14,1638400
300,6.5424,6.6009,6.00e+14,6.02e+14,2457600
400,7.8440,7.7448,7.99e+14,8.02e+14,3276800
500,7.6386,7.7118,9.99e+14,1.00e+15,4096000
600,7.5646,7.6908,1.20e+15,1.20e+15,4915200
700,7.7046,7.6806,1.40e+15,1.40e+15,5734400
800,7.6148,7.6763,1.60e+15,1.60e+15,6553600
900,7.8179,7.6702,1.80e+15,1.80e+15,7372800
1000,7.6192,7.6702,2.00e+15,2.01e+15,8192000
1100,7.4617,7.6664,2.20e+15,2.21e+15,9011200
1200,7.7559,7.6647,2.40e+15,2.41e+15,9830400
1300,7.7254,7.6650,2.60e+15,2.61e+15,10649600
1400,7.6620,7.6622,2.80e+15,2.81e+15,11468800
1500,7.8162,7.6619,3.00e+15,3.01e+15,12288000
1600,7.7619,7.6637,3.20e+15,3.21e+15,13107200
1700,7.6997,7.6598,3.40e+15,3.41e+15,13926400
1800,7.6630,7.6597,3.60e+15,3.61e+15,14745600
1900,7.5136,7.6588,3.80e+15,3.81e+15,15564800
2000,7.6418,7.6581,4.00e+15,4.01e+15,16384000
2100,7.5917,7.6587,4.20e+15,4.21e+15,17203200
2200,7.5311,7.6611,4.40e+15,4.41e+15,18022400
2300,7.4609,7.6577,4.60e+15,4.61e+15,18841600
2400,7.7255,7.6558,4.80e+15,4.81e+15,19660800
2500,7.5582,7.6563,5.00e+15,5.01e+15,20480000
2600,7.8422,7.6562,5.20e+15,5.21e+15,21299200
2700,7.7464,7.6580,5.40e+15,5.41e+15,22118400
2800,7.7209,7.6571,5.60e+15,5.61e+15,22937600
2900,7.7010,7.6565,5.80e+15,5.81e+15,23756800
3000,7.6263,7.6562,6.00e+15,6.02e+15,24576000
3100,7.5192,7.6561,6.20e+15,6.22e+15,25395200
3200,7.6600,7.6557,6.40e+15,6.42e+15,26214400
3300,7.7147,7.6537,6.60e+15,6.62e+15,27033600
3400,7.5822,7.6550,6.80e+15,6.82e+15,27852800
3500,7.7579,7.6537,7.00e+15,7.02e+15,28672000
3600,7.6995,7.6531,7.20e+15,7.22e+15,29491200
3700,7.7582,7.6516,7.39e+15,7.42e+15,30310400
3800,7.5297,7.6537,7.59e+15,7.62e+15,31129600
3900,7.7178,7.6532,7.79e+15,7.82e+15,31948800
4000,7.7127,7.6532,7.99e+15,8.02e+15,32768000
4100,7.5880,7.6528,8.19e+15,8.22e+15,33587200
4200,7.6716,7.6527,8.39e+15,8.42e+15,34406400
4300,7.6896,7.6540,8.59e+15,8.62e+15,35225600
4400,7.7285,7.6526,8.79e+15,8.82e+15,36044800
4500,7.7107,7.6513,8.99e+15,9.02e+15,36864000
4600,7.7648,7.6524,9.19e+15,9.22e+15,37683200
4700,7.6925,7.6518,9.39e+15,9.42e+15,38502400
4800,7.7001,7.6502,9.59e+15,9.62e+15,39321600
4900,7.6795,7.6518,9.79e+15,9.82e+15,40140800
