step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.5259,7.7104,8.03e+12,8.28e+12,819200
200,7.8031,7.7309,1.61e+13,1.66e+13,1638400
300,7.7135,7.6904,2.41e+13,2.48e+13,2457600
400,7.6208,7.6561,3.21e+13,3.31e+13,3276800
500,7.7200,7.6504,4.01e+13,4.14e+13,4096000
600,7.6014,7.6439,4.82e+13,4.97e+13,4915200
700,7.6212,7.6398,5.62e+13,5.79e+13,5734400
800,7.5784,7.6287,6.42e+13,6.62e+13,6553600
900,7.6884,7.6234,7.22e+13,7.45e+13,7372800
1000,7.4349,7.5454,8.03e+13,8.28e+13,8192000
1100,7.5478,7.5393,8.83e+13,9.10e+13,9011200
1200,7.6232,7.6033,9.63e+13,9.93e+13,9830400
1300,7.3783,7.4457,1.04e+14,1.08e+14,10649600
1400,7.4341,7.3547,1.12e+14,1.16e+14,11468800
1500,7.2165,7.2557,1.20e+14,1.24e+14,12288000
1600,7.1152,7.1415,1.28e+14,1.32e+14,13107200
1700,7.0743,7.0543,1.36e+14,1.41e+14,13926400
1800,6.9180,6.9874,1.44e+14,1.49e+14,14745600
1900,6.9696,6.9595,1.52e+14,1.57e+14,15564800
