step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.7815,10.7848,1.23e+13,1.25e+13,819200
200,10.5383,10.5290,2.45e+13,2.50e+13,1638400
300,10.1994,10.1950,3.68e+13,3.76e+13,2457600
400,9.9468,9.9488,4.91e+13,5.01e+13,3276800
500,9.7631,9.7474,6.13e+13,6.26e+13,4096000
600,9.5676,9.5752,7.36e+13,7.51e+13,4915200
700,9.4191,9.4238,8.59e+13,8.76e+13,5734400
800,9.2720,9.2887,9.81e+13,1.00e+14,6553600
900,9.1894,9.1670,1.10e+14,1.13e+14,7372800
1000,9.0176,9.0568,1.23e+14,1.25e+14,8192000
1100,8.9642,8.9569,1.35e+14,1.38e+14,9011200
1200,8.8748,8.8652,1.47e+14,1.50e+14,9830400
1300,8.7537,8.7807,1.59e+14,1.63e+14,10649600
1400,8.7455,8.7029,1.72e+14,1.75e+14,11468800
1500,8.6186,8.6313,1.84e+14,1.88e+14,12288000
1600,8.5477,8.5643,1.96e+14,2.00e+14,13107200
1700,8.5088,8.5028,2.09e+14,2.13e+14,13926400
1800,8.4243,8.4449,2.21e+14,2.25e+14,14745600
1900,8.3968,8.3910,2.33e+14,2.38e+14,15564800
