step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.4700,10.4796,2.70e+13,2.73e+13,819200
200,9.6435,9.6141,5.40e+13,5.45e+13,1638400
300,8.8392,8.8195,8.10e+13,8.18e+13,2457600
400,8.3207,8.3344,1.08e+14,1.09e+14,3276800
500,8.0933,8.0358,1.35e+14,1.36e+14,4096000
600,7.8291,7.8574,1.62e+14,1.64e+14,4915200
700,7.7388,7.7558,1.89e+14,1.91e+14,5734400
800,7.6524,7.7039,2.16e+14,2.18e+14,6553600
900,7.7303,7.6664,2.43e+14,2.45e+14,7372800
1000,7.5460,7.6357,2.70e+14,2.73e+14,8192000
1100,7.6238,7.6085,2.97e+14,3.00e+14,9011200
1200,7.6080,7.5811,3.24e+14,3.27e+14,9830400
1300,7.4828,7.5517,3.51e+14,3.54e+14,10649600
1400,7.6086,7.5206,3.78e+14,3.82e+14,11468800
1500,7.4687,7.4892,4.05e+14,4.09e+14,12288000
1600,7.4434,7.4594,4.32e+14,4.36e+14,13107200
1700,7.4310,7.4319,4.59e+14,4.63e+14,13926400
1800,7.3650,7.4044,4.86e+14,4.91e+14,14745600
1900,7.4052,7.3776,5.13e+14,5.18e+14,15564800
