step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.8200,7.8789,1.57e+13,1.62e+13,819200
200,7.3723,7.6539,3.15e+13,3.24e+13,1638400
300,6.9715,7.1689,4.73e+13,4.87e+13,2457600
400,6.5931,6.8820,6.31e+13,6.49e+13,3276800
500,6.4459,6.7199,7.89e+13,8.11e+13,4096000
600,6.2248,6.6041,9.47e+13,9.73e+13,4915200
700,6.4339,6.5020,1.11e+14,1.14e+14,5734400
800,6.3079,6.4317,1.26e+14,1.30e+14,6553600
900,6.0851,6.3716,1.42e+14,1.46e+14,7372800
1000,6.1641,6.3092,1.58e+14,1.62e+14,8192000
1100,6.0149,6.2525,1.74e+14,1.78e+14,9011200
1200,6.0241,6.2233,1.90e+14,1.95e+14,9830400
1300,6.0420,6.1732,2.05e+14,2.11e+14,10649600
1400,5.8777,6.1454,2.21e+14,2.27e+14,11468800
1500,5.7762,6.1249,2.37e+14,2.43e+14,12288000
1600,5.9067,6.0999,2.53e+14,2.60e+14,13107200
1700,5.9135,6.0863,2.69e+14,2.76e+14,13926400
1800,5.9596,6.0717,2.84e+14,2.92e+14,14745600
1900,5.9907,6.0583,3.00e+14,3.08e+14,15564800
