step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.8047,7.8267,6.26e+13,6.87e+13,819200
200,7.5766,7.8725,1.26e+14,1.37e+14,1638400
300,7.4541,7.6118,1.89e+14,2.06e+14,2457600
400,7.1570,7.3942,2.52e+14,2.75e+14,3276800
500,7.1144,7.3454,3.16e+14,3.43e+14,4096000
600,6.8346,7.1439,3.79e+14,4.12e+14,4915200
700,6.9614,7.0046,4.42e+14,4.81e+14,5734400
800,6.7815,6.9053,5.05e+14,5.49e+14,6553600
900,6.5472,6.8346,5.69e+14,6.18e+14,7372800
1000,6.6148,6.7309,6.32e+14,6.87e+14,8192000
1100,6.5186,6.6896,6.95e+14,7.55e+14,9011200
1200,6.4894,6.6544,7.58e+14,8.24e+14,9830400
1300,6.4888,6.5985,8.21e+14,8.93e+14,10649600
1400,6.2924,6.5606,8.85e+14,9.61e+14,11468800
1500,6.2580,6.5382,9.48e+14,1.03e+15,12288000
1600,6.3338,6.5041,1.01e+15,1.10e+15,13107200
1700,6.3366,6.4893,1.07e+15,1.17e+15,13926400
1800,6.3895,6.4839,1.14e+15,1.24e+15,14745600
1900,6.4109,6.4695,1.20e+15,1.30e+15,15564800
