step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,10.3920,10.3880,8.23e+13,8.26e+13,819200
200,9.8152,9.8143,1.65e+14,1.65e+14,1638400
300,9.1439,9.1327,2.47e+14,2.48e+14,2457600
400,8.5908,8.5963,3.29e+14,3.31e+14,3276800
500,8.1408,8.1988,4.11e+14,4.13e+14,4096000
600,7.9218,7.9058,4.94e+14,4.96e+14,4915200
700,7.6895,7.7049,5.76e+14,5.78e+14,5734400
800,7.5743,7.5692,6.58e+14,6.61e+14,6553600
900,7.4350,7.4732,7.41e+14,7.44e+14,7372800
1000,7.3216,7.3988,8.23e+14,8.26e+14,8192000
1100,7.2888,7.3390,9.05e+14,9.09e+14,9011200
1200,7.2491,7.2901,9.88e+14,9.92e+14,9830400
1300,7.1437,7.2505,1.07e+15,1.07e+15,10649600
1400,7.2859,7.2188,1.15e+15,1.16e+15,11468800
1500,7.1373,7.1936,1.23e+15,1.24e+15,12288000
1600,7.0795,7.1739,1.32e+15,1.32e+15,13107200
1700,7.0886,7.1582,1.40e+15,1.40e+15,13926400
1800,7.0547,7.1460,1.48e+15,1.49e+15,14745600
1900,7.1967,7.1365,1.56e+15,1.57e+15,15564800
2000,7.0767,7.1284,1.65e+15,1.65e+15,16384000
