step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.3397,7.5618,1.71e+13,1.74e+13,819200
200,7.2557,7.1715,3.42e+13,3.47e+13,1638400
300,7.0990,7.0524,5.13e+13,5.21e+13,2457600
400,nan,nan,6.84e+13,6.95e+13,3276800
500,nan,nan,8.55e+13,8.68e+13,4096000
600,nan,nan,1.03e+14,1.04e+14,4915200
700,nan,nan,1.20e+14,1.22e+14,5734400
800,nan,nan,1.37e+14,1.39e+14,6553600
900,nan,nan,1.54e+14,1.56e+14,7372800
1000,nan,nan,1.71e+14,1.74e+14,8192000
1100,nan,nan,1.88e+14,1.91e+14,9011200
1200,nan,nan,2.05e+14,2.08e+14,9830400
1300,nan,nan,2.22e+14,2.26e+14,10649600
1400,nan,nan,2.39e+14,2.43e+14,11468800
1500,nan,nan,2.57e+14,2.60e+14,12288000
1600,nan,nan,2.74e+14,2.78e+14,13107200
1700,nan,nan,2.91e+14,2.95e+14,13926400
1800,nan,nan,3.08e+14,3.13e+14,14745600
1900,nan,nan,3.25e+14,3.30e+14,15564800
