step,training_loss,validation_loss,total_flops_profiler,theoretical_flops,tokens
100,7.4629,7.3909,8.23e+13,8.26e+13,819200
200,6.6179,6.6750,1.65e+14,1.65e+14,1638400
300,6.3919,6.3065,2.47e+14,2.48e+14,2457600
400,6.0499,6.0917,3.29e+14,3.31e+14,3276800
500,5.7537,5.9424,4.11e+14,4.13e+14,4096000
600,5.8007,5.8193,4.94e+14,4.96e+14,4915200
700,5.6439,5.7334,5.76e+14,5.78e+14,5734400
800,5.6454,5.6527,6.58e+14,6.61e+14,6553600
900,5.5315,5.5872,7.41e+14,7.44e+14,7372800
1000,5.3827,5.5196,8.23e+14,8.26e+14,8192000
1100,5.3589,5.4646,9.05e+14,9.09e+14,9011200
1200,5.2867,5.4157,9.88e+14,9.92e+14,9830400
1300,5.2666,5.3767,1.07e+15,1.07e+15,10649600
1400,5.2821,5.3314,1.15e+15,1.16e+15,11468800
1500,5.2236,5.3002,1.23e+15,1.24e+15,12288000
1600,5.0515,5.2716,1.32e+15,1.32e+15,13107200
1700,5.0422,5.2469,1.40e+15,1.40e+15,13926400
1800,5.0928,5.2253,1.48e+15,1.49e+15,14745600
1900,5.2069,5.2087,1.56e+15,1.57e+15,15564800
2000,5.1027,5.1961,1.65e+15,1.65e+15,16384000
